代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11326357.109999999403954
真實報酬,1326357.109999999403954

夏普值報酬,0.123935711000000
夏普值風險,0.042032734873808
夏普值,2.948552155173436

二次趨勢線,340.191535047847992 x^2 + 956.491691625575641 x + 10000000.000000000000000
二次加權預期報酬,30212.963705740501609
風險,94282.123792029990000
二次加權趨勢值,0.320452727310058
一次趨勢線,17412.268270684257004 x + 10000000.000000000000000
一次預期報酬,17412.268270684257004
一次風險,184688.583986473764526
一次趨勢值,0.094279071802075
找到最佳解世代,1917
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](1),KO[14](2),VZ[26](5),
Stock#,CAT[3](1),KO[14](2),VZ[26](5),
張數,42614,112764,101347,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,65.919999999925494,29.160000000149012,30.169999999925494,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3292849.699999999720603,3319801.320000000298023,3347521.580000000074506,9960173.599999999627471
FS( 3 ),3383617.520000000018626,3363779.279999999795109,3402248.959999999962747,10149646.759999999776483
FS( 4 ),3360605.959999999962747,3369417.479999999981374,3369817.919999999925494,10099842.359999999403954
FS( 5 ),3355492.279999999795109,3351375.240000000223517,3337386.879999999888241,10044255.399999998509884
FS( 6 ),3424953.100000000093132,3350247.600000000093132,3327252.179999999701977,10102453.879999998956919
FS( 7 ),3408333.640000000130385,3358141.080000000074506,3347521.580000000074506,10113997.300000000745058
FS( 8 ),3381060.680000000167638,3360396.360000000335276,3297861.549999999813735,10039319.589999999850988
FS( 9 ),3421543.979999999981374,3379566.240000000223517,3264417.040000000037253,10065528.260000001639128
FS( 10 ),3405350.659999999683350,3378438.600000000093132,3287726.849999999627471,10071517.109999999403954
FS( 11 ),3398532.419999999925494,3379566.240000000223517,3286713.379999999888241,10064813.039999999105930
FS( 12 ),3419413.279999999795109,3382949.160000000149012,3302928.900000000372529,10105292.339999999850988
FS( 13 ),3347395.619999999646097,3402119.040000000502914,3259349.689999999478459,10008865.349999999627471
FS( 14 ),3422822.399999999441206,3448352.279999999795109,3307996.250000000000000,10179171.929999999701977
