代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11386143.929999999701977
真實報酬,1386143.929999999701977

夏普值報酬,0.129914393000000
夏普值風險,0.037192629846780
夏普值,3.493014436870933

二次趨勢線,160.371358457184868 x^2 + 11314.326152421268489 x + 10000000.000000000000000
二次加權預期報酬,24892.434501796255063
風險,67281.498762305243872
二次加權趨勢值,0.369974435167344
一次趨勢線,18951.538561468882108 x + 10000000.000000000000000
一次預期報酬,18951.538561468882108
一次風險,98957.744043410973973
一次趨勢值,0.191511424847713
找到最佳解世代,2173
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](11),MRK[17](23),MSFT[18](3),NKE[19](1),XOM[29](4),
Stock#,AAPL[0](11),MRK[17](23),MSFT[18](3),NKE[19](1),XOM[29](4),
張數,28653,42363,62735,62208,22948,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.600000000093132,42.770000000018626,8.199999999953434,12.800000000046566,81.799999999813735,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2041260.319999999832362,2019910.610000000102445,1957340.199999999953434,2026127.360000000102445,2013998.280000000027940,10058636.769999999552965
FS( 3 ),2027220.350000000093132,2012708.899999999906868,1959849.599999999860302,2033592.319999999832362,2004589.599999999627471,10037960.769999999552965
FS( 4 ),2039254.610000000102445,2011861.640000000130385,1954203.449999999953434,2021150.720000000204891,2002294.799999999813735,10028765.219999998807907
FS( 5 ),2071919.030000000260770,2022452.390000000130385,1986198.300000000046566,2034214.400000000139698,2020423.719999999972060,10135207.840000001713634
FS( 6 ),2024641.580000000074506,2032619.509999999776483,2031994.850000000093132,2078382.079999999841675,2015375.159999999683350,10183013.179999999701977
FS( 7 ),1914614.059999999823049,2039397.590000000083819,2053952.100000000093132,2102643.200000000186265,2038782.119999999878928,10149389.070000000298023
FS( 8 ),1934957.690000000176951,2027112.320000000065193,2050815.349999999860302,2117573.120000000111759,2019046.839999999850988,10149505.320000000298023
FS( 9 ),1902866.330000000074506,2024570.540000000037253,2072145.250000000000000,2112596.480000000447035,2028685.000000000000000,10140863.600000001490116
FS( 10 ),1842408.500000000000000,2041515.739999999990687,2057716.199999999720603,2121305.600000000558794,2034880.959999999962747,10097827.000000000000000
FS( 11 ),1863898.250000000000000,2033890.399999999906868,2065871.750000000000000,2125038.080000000074506,2041076.919999999692664,10129775.400000000372529
FS( 12 ),1902006.739999999990687,2050411.969999999972060,2090338.399999999906868,2161118.719999999739230,2055763.639999999664724,10259639.469999998807907
FS( 13 ),1933238.510000000009313,2044481.149999999906868,2110413.599999999627471,2161740.799999999813735,2048879.239999999757856,10298753.299999998882413
FS( 14 ),1913181.409999999916181,2033890.399999999906868,2057088.849999999860302,2158008.320000000298023,2034651.479999999748543,10196820.459999999031425
FS( 15 ),2008309.370000000111759,2019910.610000000102445,2053952.100000000093132,2145566.719999999739230,2013768.799999999813735,10241507.599999999627471
FS( 16 ),2002005.710000000195578,2013556.160000000149012,2036386.300000000046566,2159874.559999999590218,2004819.079999999841675,10216641.809999998658895
FS( 17 ),1971060.470000000204891,2019486.979999999981374,2039523.049999999813735,2143700.480000000447035,1999770.519999999785796,10173541.500000000000000
FS( 18 ),1990257.979999999981374,2019910.610000000102445,2055834.150000000139698,2187868.160000000149012,1998164.159999999683350,10252035.060000000521541
FS( 19 ),1975931.479999999981374,2024570.540000000037253,2087201.650000000139698,2290511.360000000335276,1994263.000000000000000,10372478.030000001192093
FS( 20 ),1951576.430000000167638,2016945.199999999953434,2087829.000000000000000,2259407.360000000335276,1974527.719999999972060,10290285.710000000894070
FS( 21 ),1997421.229999999981374,2064815.390000000130385,2106649.500000000000000,2252564.480000000447035,1973609.799999999813735,10395060.400000002235174
FS( 22 ),2004011.419999999925494,2049141.079999999841675,2127979.400000000372529,2236390.400000000372529,1975445.639999999664724,10392967.940000001341105
FS( 23 ),1978796.780000000260770,2048717.449999999953434,2124215.299999999813735,2228303.360000000335276,1962135.799999999813735,10342168.690000001341105
FS( 24 ),1977077.600000000093132,2043210.259999999776483,2125470.000000000000000,2243855.360000000335276,1980953.159999999683350,10370566.379999998956919
FS( 25 ),1996561.640000000363216,2028806.840000000083819,2089083.699999999720603,2218972.160000000149012,1971315.000000000000000,10304739.339999999850988
FS( 26 ),1968768.229999999981374,2022876.020000000018626,2070890.549999999813735,2186001.919999999925494,1962365.280000000027940,10210902.000000000000000
FS( 27 ),1991690.630000000353903,2002541.780000000260770,2074654.649999999906868,2205286.400000000372529,1954333.479999999748543,10228506.940000001341105
FS( 28 ),2004297.950000000186265,2011861.640000000130385,2117941.799999999813735,2284290.559999999590218,1974527.719999999972060,10392919.669999999925494
FS( 29 ),2017191.800000000279397,2003389.040000000037253,2141153.750000000000000,2284912.639999999664724,1995410.399999999906868,10442057.630000000819564
FS( 30 ),2030372.180000000167638,1980513.020000000018626,2161228.950000000186265,2303575.040000000037253,2010326.599999999627471,10486015.790000000968575
FS( 31 ),2041260.319999999832362,1972887.679999999934807,2163738.349999999627471,2292377.600000000558794,1991738.719999999972060,10462002.669999999925494
FS( 32 ),2051288.870000000111759,1998305.479999999981374,2173148.599999999627471,2317882.879999999888241,2003671.679999999934807,10544297.509999997913837
FS( 33 ),2065042.309999999823049,1995763.699999999953434,2190714.400000000372529,2318504.959999999962747,2007572.839999999850988,10577598.210000000894070
FS( 34 ),2083093.700000000186265,1974582.199999999953434,2193223.799999999813735,2362050.559999999590218,2009179.199999999720603,10622129.459999999031425
FS( 35 ),2134096.040000000037253,1970345.899999999906868,2195105.849999999627471,2367027.200000000186265,2001835.839999999850988,10668410.829999998211861
FS( 36 ),2128078.910000000149012,1968651.379999999888241,2169384.500000000000000,2362672.639999999664724,2019046.839999999850988,10647834.269999999552965
FS( 37 ),2148709.069999999832362,1972464.050000000046566,2117941.799999999813735,2350231.040000000037253,2010556.079999999841675,10599902.040000000968575
FS( 38 ),2177362.069999999832362,1958060.629999999888241,2115432.399999999441206,2348986.879999999888241,2029143.959999999962747,10628985.940000001341105
FS( 39 ),2153007.020000000018626,1971616.790000000037253,2241529.750000000000000,2354585.600000000558794,2018817.359999999869615,10739556.519999999552965
FS( 40 ),2169052.700000000186265,1921204.820000000065193,2231492.150000000372529,2348986.879999999888241,2024783.839999999850988,10695520.390000000596046
FS( 41 ),2114898.530000000260770,1930948.310000000055879,2228355.400000000372529,2361428.480000000447035,2040847.439999999944121,10676478.160000000149012
FS( 42 ),2148709.069999999832362,1916544.890000000130385,2229610.099999999627471,2368271.360000000335276,2038093.679999999934807,10701229.099999999627471
FS( 43 ),2139540.110000000335276,1910190.440000000176951,2221454.549999999813735,2356451.839999999850988,2056681.559999999823049,10684318.500000001862645
FS( 44 ),2128651.970000000204891,1916121.259999999776483,2228982.750000000000000,2365783.040000000037253,2061271.159999999683350,10700810.179999999701977
FS( 45 ),2156158.850000000093132,1936879.129999999888241,2254704.099999999627471,2375736.320000000298023,2113592.599999999627471,10837071.000000000000000
FS( 46 ),2150714.780000000260770,1921628.449999999953434,2298618.599999999627471,2401241.600000000558794,2111068.319999999832362,10883271.750000000000000
FS( 47 ),2132376.860000000335276,1947046.250000000000000,2395230.500000000000000,2387555.839999999850988,2139294.359999999869615,11001503.809999998658895
FS( 48 ),2097706.729999999981374,1941115.429999999934807,2352570.700000000186265,2354585.600000000558794,2110379.879999999888241,10856358.339999999850988
FS( 49 ),2130944.210000000428408,1982631.169999999925494,2370136.500000000000000,2398753.280000000260770,2128049.839999999850988,11010515.000000000000000
FS( 50 ),2124640.550000000279397,1991103.770000000018626,2358216.850000000558794,2399997.439999999478459,2133327.879999999888241,11007286.489999998360872
FS( 51 ),2128651.970000000204891,2016097.940000000176951,2343787.799999999813735,2391288.320000000298023,2126672.959999999962747,11006498.990000002086163
FS( 52 ),2131230.739999999757856,2005507.190000000176951,2393975.799999999813735,2421148.160000000149012,2124837.120000000111759,11076699.010000001639128
FS( 53 ),2161889.450000000186265,2025841.429999999934807,2385192.900000000372529,2446031.360000000335276,2139294.359999999869615,11158249.500000000000000
