代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11512115.389999998733401
真實報酬,1512115.389999998733401

夏普值報酬,0.142511539000000
夏普值風險,0.045303537904710
夏普值,3.145704410541953

二次趨勢線,-4.769891082971682 x^2 + 26483.683299157732108 x + 10000000.000000000000000
二次加權預期報酬,26079.832520799460326
風險,83752.268735961610219
二次加權趨勢值,0.311392549890428
一次趨勢線,26256.531320655216405 x + 10000000.000000000000000
一次預期報酬,26256.531320655216405
一次風險,83780.074311931952252
一次趨勢值,0.313398281587771
找到最佳解世代,2271
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](2),KO[14](1),NKE[19](9),XOM[29](3),
Stock#,INTC[11](2),KO[14](1),NKE[19](9),XOM[29](3),
張數,137816,87229,138657,41044,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,17.759999999776483,16.859999999869615,14.290000000037253,9.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2519294.239999999757856,2502616.870000000111759,2529117.969999999739230,2506156.600000000093132,10057185.679999999701977
FS( 3 ),2539966.639999999664724,2510467.479999999981374,2573488.209999999962747,2516828.040000000037253,10140750.369999999180436
FS( 4 ),2497243.679999999701977,2513956.639999999664724,2566555.360000000335276,2485224.159999999683350,10062979.839999999850988
FS( 5 ),2466924.159999999683350,2522679.540000000037253,2570715.069999999832362,2493432.959999999962747,10053751.730000000447035
FS( 6 ),2480705.759999999776483,2542742.209999999962747,2562395.649999999906868,2505746.159999999683350,10091589.779999999329448
FS( 7 ),2476571.279999999795109,2552337.399999999906868,2556849.370000000111759,2511902.760000000242144,10097660.810000000521541
FS( 8 ),2557882.719999999739230,2531402.439999999944121,2588740.480000000447035,2503693.959999999962747,10181719.600000001490116
FS( 9 ),2582689.599999999627471,2512212.060000000055879,2609539.030000000260770,2504104.399999999906868,10208545.089999999850988
FS( 10 ),2579933.279999999795109,2504361.449999999720603,2653909.270000000018626,2503693.959999999962747,10241897.960000000894070
FS( 11 ),2614387.279999999795109,2508722.899999999906868,2656682.410000000149012,2502462.640000000130385,10282255.230000000447035
FS( 12 ),2592336.719999999739230,2510467.479999999981374,2678867.530000000260770,2494664.279999999795109,10276336.009999999776483
FS( 13 ),2608874.639999999664724,2528785.569999999832362,2716304.919999999925494,2526268.159999999683350,10380233.289999999105930
FS( 14 ),2637816.000000000000000,2534891.599999999627471,2692733.230000000447035,2525857.719999999739230,10391298.550000000745058
FS( 15 ),2619899.919999999925494,2540125.339999999850988,2680254.099999999627471,2522163.760000000242144,10362443.119999999180436
FS( 16 ),2615765.439999999944121,2524424.120000000111759,2692733.230000000447035,2509850.560000000055879,10342773.350000001490116
FS( 17 ),2676404.479999999981374,2556698.849999999627471,2757902.020000000018626,2534476.959999999962747,10525482.309999998658895
FS( 18 ),2651597.599999999627471,2555826.560000000055879,2742649.750000000000000,2532835.200000000186265,10482909.109999999403954
FS( 19 ),2688807.919999999925494,2577633.810000000055879,2795339.410000000149012,2547200.600000000093132,10608981.740000000223517
FS( 20 ),2651597.599999999627471,2562804.879999999888241,2770381.149999999906868,2527909.919999999925494,10512693.549999998882413
FS( 21 ),2646084.959999999497086,2552337.399999999906868,2778700.569999999832362,2536118.719999999739230,10513241.649999998509884
FS( 22 ),2662622.879999999888241,2578506.099999999627471,2781473.709999999962747,2566901.719999999739230,10589504.410000000149012
FS( 23 ),2600605.679999999701977,2568038.620000000111759,2768994.580000000074506,2552536.319999999832362,10490175.199999999254942
FS( 24 ),2639194.159999999683350,2602057.929999999701977,2818911.099999999627471,2596453.399999999906868,10656616.589999999850988
FS( 25 ),2651597.599999999627471,2606419.379999999888241,2811978.250000000000000,2615333.640000000130385,10685328.869999999180436
FS( 26 ),2673648.159999999683350,2592462.739999999757856,2807818.540000000037253,2620669.359999999869615,10694598.799999998882413
FS( 27 ),2690186.079999999608845,2591590.449999999720603,2843869.360000000335276,2642422.679999999701977,10768068.570000000298023
FS( 28 ),2695698.719999999739230,2597696.479999999981374,2842482.790000000037253,2649400.159999999683350,10785278.149999998509884
FS( 29 ),2724640.079999999608845,2599441.060000000055879,2838323.080000000074506,2655556.760000000242144,10817960.980000000447035
FS( 30 ),2651597.599999999627471,2614269.989999999757856,2843869.360000000335276,2669511.720000000204891,10779248.669999999925494
FS( 31 ),2662622.879999999888241,2613397.699999999720603,2834163.370000000111759,2680183.159999999683350,10790367.109999999403954
FS( 32 ),2662622.879999999888241,2614269.989999999757856,2842482.790000000037253,2675668.319999999832362,10795043.979999998584390
FS( 33 ),2644706.799999999813735,2616886.859999999869615,2831390.230000000447035,2720406.279999999795109,10813390.169999999925494
FS( 34 ),2647463.120000000111759,2631715.790000000037253,2798112.549999999813735,2672795.240000000223517,10750086.699999999254942
FS( 35 ),2706724.000000000000000,2667479.679999999701977,2816137.959999999962747,2709324.400000000372529,10899666.039999999105930
FS( 36 ),2723261.919999999925494,2681436.319999999832362,2846642.500000000000000,2722048.039999999571592,10973388.779999999329448
FS( 37 ),2734287.199999999720603,2687542.349999999627471,2839709.649999999906868,2722868.919999999925494,10984408.119999999180436
FS( 38 ),2738421.679999999701977,2661373.649999999906868,2843869.360000000335276,2717122.760000000242144,10960787.450000001117587
FS( 39 ),2761850.399999999441206,2670968.839999999850988,2835549.939999999944121,2730667.279999999795109,10999036.459999999031425
FS( 40 ),2782522.799999999813735,2669224.259999999776483,2809205.110000000335276,2695369.439999999944121,10956321.609999999403954
FS( 41 ),2821111.279999999795109,2670096.549999999813735,2811978.250000000000000,2717943.640000000130385,11021129.720000000670552
FS( 42 ),2763228.560000000055879,2674458.000000000000000,2823070.810000000055879,2729025.519999999552965,10989782.890000000596046
FS( 43 ),2834892.879999999888241,2691903.799999999813735,2810591.680000000167638,2747905.760000000242144,11085294.119999999180436
FS( 44 ),2803195.199999999720603,2698009.830000000074506,2834163.370000000111759,2784434.919999999925494,11119803.320000000298023
FS( 45 ),2822489.439999999944121,2702371.279999999795109,2836936.510000000242144,2789770.640000000130385,11151567.870000001043081
FS( 46 ),2890019.279999999795109,2724178.529999999795109,2891012.740000000223517,2847642.679999999701977,11352853.230000000447035
FS( 47 ),2927229.599999999627471,2729412.270000000018626,2915971.000000000000000,2873089.959999999962747,11445702.829999998211861
FS( 48 ),2925851.439999999944121,2724178.529999999795109,2897945.589999999850988,2886224.039999999571592,11434199.599999997764826
FS( 49 ),2916204.319999999832362,2732029.139999999664724,2884079.890000000130385,2898947.679999999701977,11431261.029999999329448
FS( 50 ),2899666.399999999441206,2728539.979999999981374,2907651.580000000074506,2919469.679999999701977,11455327.639999998733401
FS( 51 ),2923095.120000000111759,2739007.459999999962747,2900718.730000000447035,2948200.479999999981374,11511021.790000000968575
FS( 52 ),2967196.239999999757856,2744241.199999999720603,2864667.910000000149012,2913723.519999999552965,11489828.869999999180436
FS( 53 ),2935498.560000000055879,2745985.779999999795109,2835549.939999999944121,2892791.080000000074506,11409825.359999999403954
FS( 54 ),2903800.879999999888241,2707605.020000000018626,2791179.699999999720603,2829583.319999999832362,11232168.919999999925494
FS( 55 ),2905179.039999999571592,2726795.399999999906868,2821684.240000000223517,2832456.400000000372529,11286115.080000000074506
FS( 56 ),2896910.079999999608845,2784366.540000000037253,2859121.630000000353903,2885813.600000000093132,11426211.849999999627471
FS( 57 ),2913448.000000000000000,2805301.499999999534339,2974206.939999999944121,2895253.720000000204891,11588210.160000000149012
FS( 58 ),2928607.759999999776483,2803556.919999999925494,2978366.649999999906868,2880888.319999999832362,11591419.650000000372529
FS( 59 ),2906557.199999999720603,2774771.349999999627471,2956181.530000000260770,2831225.080000000074506,11468735.159999998286366
FS( 60 ),2947902.000000000000000,2818385.850000000093132,2999165.199999999720603,2868164.679999999701977,11633617.729999998584390
FS( 61 ),2941011.199999999720603,2796578.600000000093132,2979753.219999999739230,2841486.080000000074506,11558829.099999999627471
FS( 62 ),2939633.039999999571592,2765176.159999999683350,2952021.819999999832362,2850515.760000000242144,11507346.779999999329448
FS( 63 ),2916204.319999999832362,2755580.969999999739230,2985299.500000000000000,2855030.600000000093132,11512115.389999998733401
