代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11428291.359999999403954
真實報酬,1428291.359999999403954

夏普值報酬,0.134129136000000
夏普值風險,0.046797628416143
夏普值,2.866152421384926

二次趨勢線,165.900229108571523 x^2 + 15676.022869685577461 x + 10000000.000000000000000
二次加權預期報酬,29943.442573022719444
風險,80804.134276775381295
二次加權趨勢值,0.370568199771296
一次趨勢線,23700.964184704811487 x + 10000000.000000000000000
一次預期報酬,23700.964184704811487
一次風險,111925.369856693490874
一次趨勢值,0.211756853830824
找到最佳解世代,2853
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](9),INTC[11](1),VZ[26](12),
Stock#,DIS[6](9),INTC[11](1),VZ[26](12),
張數,41897,126023,70591,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.679999999701977,24.649999999906868,25.979999999981374,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3364755.750000000000000,3328292.080000000074506,3326273.899999999906868,10019322.730000000447035
FS( 3 ),3402882.019999999552965,3298046.560000000055879,3345333.470000000204891,10046263.050000000745058
FS( 4 ),3394921.589999999850988,3301827.250000000000000,3350980.750000000000000,10047730.589999999850988
FS( 5 ),3363917.810000000055879,3323251.160000000149012,3395453.080000000074506,10082623.050000000745058
FS( 6 ),3418802.879999999422580,3319470.469999999739230,3422983.570000000298023,10161257.919999999925494
FS( 7 ),3433466.829999999608845,3314429.549999999813735,3422277.659999999683350,10170175.039999999105930
FS( 8 ),3453158.419999999925494,3323251.160000000149012,3399688.539999999571592,10176099.119999999180436
FS( 9 ),3438913.439999999478459,3333333.000000000000000,3377805.330000000074506,10150052.769999999552965
FS( 10 ),3390312.919999999925494,3318210.239999999757856,3389099.889999999664724,10097624.050000000745058
FS( 11 ),3358052.229999999981374,3277882.879999999888241,3385570.339999999850988,10021506.449999999254942
FS( 12 ),3368107.509999999776483,3253938.509999999776483,3463926.350000000093132,10085973.369999999180436
FS( 13 ),3395759.529999999795109,3281663.569999999832362,3469573.629999999888241,10146997.730000000447035
FS( 14 ),3397435.409999999683350,3281663.569999999832362,3434278.129999999888241,10113378.109999999403954
FS( 15 ),3443522.109999999403954,3301827.250000000000000,3470985.450000000186265,10216335.809999998658895
FS( 16 ),3450225.629999999422580,3295526.099999999627471,3490750.930000000167638,10236503.659999998286366
FS( 17 ),3490865.719999999273568,3313169.319999999832362,3511222.320000000298023,10315258.359999999403954
FS( 18 ),3508462.459999999497086,3366098.979999999981374,3502751.399999999906868,10377313.839999999850988
FS( 19 ),3502596.879999999422580,3387522.889999999664724,3511222.320000000298023,10401343.089999999850988
FS( 20 ),3520612.589999999850988,3397604.729999999981374,3509810.500000000000000,10428028.820000000298023
FS( 21 ),3519774.649999999906868,3442973.009999999776483,3526752.339999999850988,10489501.000000000000000
FS( 22 ),3530667.869999999646097,3435411.629999999888241,3533105.529999999795109,10499186.029999999329448
FS( 23 ),3514328.039999999571592,3485820.830000000074506,3479456.370000000111759,10479606.239999998360872
FS( 24 ),3529410.959999999497086,3478259.450000000186265,3469573.629999999888241,10477245.039999999105930
FS( 25 ),3552035.339999999850988,3485820.830000000074506,3478750.459999999962747,10516607.629999998956919
FS( 26 ),3544912.849999999627471,3550092.560000000055879,3488633.200000000186265,10583639.609999999403954
FS( 27 ),3581363.239999999757856,3517326.580000000074506,3499221.850000000093132,10597912.669999999925494
FS( 28 ),3550778.429999999701977,3558914.169999999925494,3495692.300000000279397,10605385.900000000372529
FS( 29 ),3532343.750000000000000,3519847.040000000037253,3485103.649999999906868,10537295.439999999478459
FS( 30 ),3469079.279999999795109,3523627.729999999981374,3461808.620000000111759,10454516.629999998956919
FS( 31 ),3469079.279999999795109,3764331.660000000149012,3471691.359999999869615,10705103.299999998882413
FS( 32 ),3490027.779999999795109,3781974.879999999888241,3480868.189999999944121,10752871.849999999627471
FS( 33 ),3484162.199999999720603,3774413.500000000000000,3473809.089999999850988,10732385.789999999105930
FS( 34 ),3501758.939999999478459,3771893.040000000037253,3488633.200000000186265,10762286.179999999701977
FS( 35 ),3509719.369999999646097,3792056.719999999739230,3492162.750000000000000,10793939.839999999850988
FS( 36 ),3469917.219999999273568,3805919.250000000000000,3486515.470000000204891,10762352.939999999478459
FS( 37 ),3467403.399999999906868,3809699.939999999944121,3510516.409999999683350,10787620.750000000000000
FS( 38 ),3464051.640000000130385,3843726.149999999906868,3478750.459999999962747,10786529.250000000000000
FS( 39 ),3515165.979999999981374,3891614.889999999664724,3487927.289999999571592,10894709.159999998286366
FS( 40 ),3538209.329999999608845,3879012.589999999850988,3473809.089999999850988,10891032.009999999776483
FS( 41 ),3573821.779999999795109,3897916.040000000037253,3481574.100000000093132,10953312.919999999925494
FS( 42 ),3592256.459999999497086,3894135.349999999627471,3454043.609999999869615,10940436.419999998062849
FS( 43 ),3622841.269999999552965,3904217.189999999944121,3485103.649999999906868,11012163.109999999403954
FS( 44 ),3621584.359999999403954,3904217.189999999944121,3505575.039999999571592,11031377.589999997988343
FS( 45 ),3638343.159999999683350,3924380.870000000111759,3509104.589999999850988,11071829.619999999180436
FS( 46 ),3627868.909999999683350,3910518.339999999850988,3511928.229999999981374,11050316.480000000447035
FS( 47 ),3597284.099999999627471,3880272.819999999832362,3442043.139999999664724,10919601.059999998658895
FS( 48 ),3654264.019999999552965,3892875.120000000111759,3451925.879999999888241,10999066.019999999552965
FS( 49 ),3639181.099999999627471,3939503.629999999888241,3504163.220000000204891,11082848.949999999254942
FS( 50 ),3640438.009999999776483,3938243.399999999906868,3552165.100000000093132,11130847.509999999776483
FS( 51 ),3634991.399999999906868,3968488.919999999925494,3566989.209999999962747,11170470.530000001192093
FS( 52 ),3609434.229999999981374,3996213.979999999981374,3579695.589999999850988,11185344.800000000745058
FS( 53 ),3575916.629999999422580,4366721.599999999627471,3597343.339999999850988,11539982.569999998435378
FS( 54 ),3562509.589999999850988,4246999.750000000000000,3552165.100000000093132,11361675.439999999478459
FS( 55 ),3595189.250000000000000,4246999.750000000000000,3582519.229999999981374,11424709.230000000447035
FS( 56 ),3592256.459999999497086,4292368.029999999329448,3578989.680000000167638,11463615.169999998062849
FS( 57 ),3611948.049999999348074,4384364.820000000298023,3598755.159999999683350,11595069.029999999329448
