代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10914895.759999999776483
真實報酬,914895.759999999776483

夏普值報酬,0.082789576000000
夏普值風險,0.029407749313160
夏普值,2.815229928628055

二次趨勢線,251.716242686988181 x^2 + -1305.832918280243121 x + 10000000.000000000000000
二次加權預期報酬,20341.763952800742118
風險,65610.048092468874529
二次加權趨勢值,0.310040375585942
一次趨勢線,10870.208588439176310 x + 10000000.000000000000000
一次預期報酬,10870.208588439176310
一次風險,134583.677907274599420
一次趨勢值,0.080769144947343
找到最佳解世代,2547
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](7),KO[14](2),MSFT[18](8),PG[21](1),VZ[26](6),WMT[28](5),
Stock#,DIS[6](7),KO[14](2),MSFT[18](8),PG[21](1),VZ[26](6),WMT[28](5),
張數,16656,39132,17543,23161,34139,19067,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,66.639999999897555,34.119999999878928,81.000000000000000,0.440000000176951,0.020000000018626,19.530000000027940,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1659337.359999999869615,1645926.040000000037253,1640526.930000000167638,1643041.780000000027940,1630137.270000000018626,1646264.310000000055879,9865237.690000001341105
FS( 3 ),1645013.199999999953434,1639273.599999999860302,1650351.009999999776483,1652769.400000000139698,1633209.780000000027940,1644166.940000000176951,9864787.929999999701977
FS( 4 ),1684821.040000000037253,1657665.639999999897555,1669472.879999999888241,1677551.670000000391155,1645158.429999999934807,1668954.040000000037253,10003627.699999999254942
FS( 5 ),1706973.520000000018626,1649056.599999999860302,1688068.459999999962747,1667129.220000000204891,1629454.489999999990687,1629676.020000000018626,9970362.310000000521541
FS( 6 ),1695480.879999999888241,1636143.040000000037253,1680875.830000000074506,1654622.280000000027940,1605215.800000000046566,1634824.109999999869615,9907165.939999999478459
FS( 7 ),1665166.959999999962747,1634969.079999999841675,1700699.419999999925494,1676162.010000000242144,1583366.840000000083819,1583724.550000000046566,9844092.860000001266599
FS( 8 ),1693648.719999999972060,1650621.879999999888241,1717716.129999999888241,1694227.590000000316650,1611360.820000000065193,1576669.760000000009313,9944248.900000000372529
FS( 9 ),1700144.559999999823049,1649056.599999999860302,1714032.100000000093132,1699323.010000000242144,1659838.199999999953434,1589825.989999999990687,10012224.459999999031425
FS( 10 ),1706307.279999999795109,1645143.399999999906868,1719821.290000000037253,1697238.520000000251457,1655400.130000000121072,1609083.660000000149012,10032998.280000001192093
FS( 11 ),1714302.159999999916181,1632621.159999999916181,1707365.759999999776483,1689595.390000000130385,1631502.830000000074506,1611562.369999999878928,9986953.669999999925494
FS( 12 ),1749612.879999999888241,1625968.719999999739230,1704383.450000000186265,1703028.770000000251457,1633892.560000000055879,1642260.239999999990687,10059150.620000001043081
FS( 13 ),1737953.679999999934807,1655317.719999999739230,1687366.740000000223517,1712988.000000000000000,1633551.170000000158325,1610990.359999999869615,10038171.669999999925494
FS( 14 ),1731124.719999999972060,1655317.719999999739230,1690524.479999999981374,1701175.890000000130385,1629795.880000000121072,1594783.410000000149012,10002726.100000001490116
FS( 15 ),1733290.000000000000000,1659622.239999999757856,1712277.799999999813735,1715304.100000000325963,1653351.790000000037253,1611371.700000000186265,10085221.629999998956919
FS( 16 ),1733456.559999999823049,1653361.119999999878928,1710523.500000000000000,1714609.270000000251457,1666324.610000000102445,1589635.320000000065193,10067914.380000000819564
FS( 17 ),1713802.479999999981374,1659230.919999999925494,1730873.379999999888241,1718083.420000000391155,1658814.030000000027940,1582771.200000000186265,10063579.429999999701977
FS( 18 ),1700810.799999999813735,1656100.359999999869615,1724733.330000000074506,1708587.410000000149012,1660520.979999999981374,1579720.479999999981374,10030477.360000001266599
FS( 19 ),1702309.839999999850988,1659230.919999999925494,1725610.479999999981374,1721094.350000000325963,1656424.300000000046566,1572284.349999999860302,10036958.240000000223517
FS( 20 ),1660503.279999999795109,1670187.879999999888241,1719470.430000000167638,1715072.490000000223517,1645499.820000000065193,1571140.330000000074506,9981878.230000000447035
FS( 21 ),1665333.520000000018626,1687797.280000000027940,1735960.850000000093132,1734527.730000000214204,1659155.420000000158325,1603935.570000000065193,10086714.370000001043081
FS( 22 ),1656838.959999999962747,1682710.119999999878928,1734031.120000000111759,1694690.810000000288710,1627406.150000000139698,1573809.710000000195578,9969490.870000001043081
FS( 23 ),1655006.799999999813735,1687405.959999999729916,1768239.970000000204891,1701175.890000000130385,1632185.610000000102445,1582389.859999999869615,10026408.089999999850988
FS( 24 ),1669664.079999999841675,1701884.800000000046566,1783677.810000000055879,1718083.420000000391155,1632527.000000000000000,1628722.670000000158325,10134563.779999999329448
FS( 25 ),1664667.279999999795109,1687014.639999999897555,1792800.169999999925494,1713219.610000000102445,1637647.850000000093132,1613469.070000000065193,10108822.620000001043081
FS( 26 ),1697479.599999999860302,1700710.839999999850988,1798063.069999999832362,1722020.790000000037253,1652669.010000000009313,1612325.050000000046566,10183272.360000001266599
FS( 27 ),1706806.959999999962747,1699928.199999999720603,1769818.839999999850988,1754677.800000000279397,1673152.409999999916181,1619761.180000000167638,10224149.390000000596046
FS( 28 ),1731957.520000000018626,1719885.520000000018626,1782976.089999999850988,1787566.420000000391155,1678956.040000000037253,1608511.649999999906868,10309857.240000000223517
FS( 29 ),1738120.239999999757856,1726929.280000000027940,1772801.149999999906868,1795672.770000000251457,1683052.719999999972060,1607367.629999999888241,10323947.789999999105930
FS( 30 ),1737787.119999999878928,1737886.239999999757856,1777362.330000000074506,1788956.080000000074506,1666324.610000000102445,1603554.229999999981374,10311874.609999999403954
FS( 31 ),1770766.000000000000000,1728885.879999999888241,1769292.549999999813735,1771122.110000000102445,1618188.619999999878928,1603363.560000000055879,10261622.720000000670552
FS( 32 ),1811406.639999999897555,1705406.679999999701977,1779292.060000000055879,1760004.830000000074506,1632527.000000000000000,1597643.460000000195578,10286284.669999999925494
FS( 33 ),1813072.239999999757856,1726537.959999999729916,1756661.589999999850988,1792198.620000000111759,1640720.360000000102445,1595927.430000000167638,10325122.199999999254942
FS( 34 ),1783258.000000000000000,1704232.719999999739230,1769467.979999999981374,1756530.680000000167638,1620236.959999999962747,1582580.530000000027940,10216310.869999999180436
FS( 35 ),1767268.239999999757856,1706189.319999999832362,1769467.979999999981374,1767879.570000000065193,1655741.520000000018626,1594211.399999999906868,10260762.029999999329448
