代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11254235.939999997615814
真實報酬,1254235.939999997615814

夏普值報酬,0.116723594000000
夏普值風險,0.036319608519560
夏普值,3.213789981715780

二次趨勢線,241.572912249450667 x^2 + 4113.078082110651849 x + 10000000.000000000000000
二次加權預期報酬,24888.348535563411133
風險,73955.796092969452729
二次加權趨勢值,0.336530060528000
一次趨勢線,15798.465465339890216 x + 10000000.000000000000000
一次預期報酬,15798.465465339890216
一次風險,134859.664986212475924
一次趨勢值,0.117147447066216
找到最佳解世代,1627
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),DD[7](13),GS[8](2),MRK[17](10),XOM[29](1),
Stock#,AAPL[0](6),DD[7](13),GS[8](2),MRK[17](10),XOM[29](1),
張數,28690,36656,12578,41034,23255,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.100000000093132,48.639999999897555,98.000000000000000,2.839999999850988,70.000000000000000,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2006598.699999999953434,2020160.799999999813735,1995849.259999999776483,1984817.419999999692664,2001860.399999999906868,10009286.580000000074506
FS( 3 ),1981351.500000000232831,2023826.399999999906868,1972957.299999999813735,1984407.079999999841675,1988372.500000000000000,9950914.780000001192093
FS( 4 ),1979630.100000000093132,2087607.840000000083819,1969183.900000000139698,1979072.659999999683350,2007441.599999999860302,10022936.099999999627471
FS( 5 ),1999139.300000000279397,2054250.879999999888241,1940254.500000000000000,1965121.099999999860302,1997674.500000000232831,9956440.279999999329448
FS( 6 ),1971310.000000000000000,2010996.799999999813735,1925160.900000000139698,1959376.339999999850988,1988605.050000000046566,9855449.089999999850988
FS( 7 ),1994262.000000000232831,2031890.719999999972060,1942644.320000000065193,1939680.020000000018626,1980465.799999999813735,9888942.859999999403954
FS( 8 ),2006885.600000000093132,2108868.320000000298023,1987547.779999999795109,1948707.500000000000000,2000930.200000000186265,10052939.400000000372529
FS( 9 ),2019796.100000000325963,2144058.080000000074506,2012578.000000000000000,1940500.699999999720603,2022092.250000000000000,10139025.130000000819564
