代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12198592.239999998360872
真實報酬,2198592.239999998360872

夏普值報酬,0.211159224000000
夏普值風險,0.056858526409602
夏普值,3.713765328331454

二次趨勢線,304.834690712267502 x^2 + 13751.933431377923625 x + 10000000.000000000000000
二次加權預期報酬,39967.716832632926526
風險,204901.335345058614621
二次加權趨勢值,0.195058352183632
一次趨勢線,28497.425447227182303 x + 10000000.000000000000000
一次預期報酬,28497.425447227182303
一次風險,249469.933998404332669
一次趨勢值,0.114231903582455
找到最佳解世代,1490
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
UNH[23](1),
Stock#,UNH[23](1),
張數,167448,
分配資金,10000000.000000000000000,
剩餘資金,5.439999999478459,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9959812.479999998584390,9959812.479999998584390
FS( 3 ),9866041.599999999627471,9866041.599999999627471
FS( 4 ),10080375.039999999105930,10080375.039999999105930
FS( 5 ),10130609.439999999478459,10130609.439999999478459
FS( 6 ),10467179.919999999925494,10467179.919999999925494
FS( 7 ),10383455.919999999925494,10383455.919999999925494
FS( 8 ),10534159.119999999180436,10534159.119999999180436
FS( 9 ),10447086.160000000149012,10447086.160000000149012
FS( 10 ),10336570.479999998584390,10336570.479999998584390
FS( 11 ),10316476.719999998807907,10316476.719999998807907
FS( 12 ),10405224.160000000149012,10405224.160000000149012
FS( 13 ),10522437.759999999776483,10522437.759999999776483
FS( 14 ),10475552.320000000298023,10475552.320000000298023
FS( 15 ),10527461.199999999254942,10527461.199999999254942
FS( 16 ),10428666.879999998956919,10428666.879999998956919
FS( 17 ),10442062.719999998807907,10442062.719999998807907
FS( 18 ),10391828.320000000298023,10391828.320000000298023
FS( 19 ),10606161.759999999776483,10606161.759999999776483
FS( 20 ),10607836.240000000223517,10607836.240000000223517
FS( 21 ),10827193.119999999180436,10827193.119999999180436
FS( 22 ),10487273.679999999701977,10487273.679999999701977
FS( 23 ),10515739.839999999850988,10515739.839999999850988
FS( 24 ),10442062.719999998807907,10442062.719999998807907
FS( 25 ),10339919.439999999478459,10339919.439999999478459
FS( 26 ),10368385.599999999627471,10368385.599999999627471
FS( 27 ),10477226.799999998882413,10477226.799999998882413
FS( 28 ),10663094.080000000074506,10663094.080000000074506
FS( 29 ),10704956.080000000074506,10704956.080000000074506
FS( 30 ),10688211.279999999329448,10688211.279999999329448
FS( 31 ),10741794.640000000596046,10741794.640000000596046
FS( 32 ),10683187.839999999850988,10683187.839999999850988
FS( 33 ),10778633.200000001117587,10778633.200000001117587
FS( 34 ),10997990.080000000074506,10997990.080000000074506
FS( 35 ),10927661.919999999925494,10927661.919999999925494
FS( 36 ),10683187.839999999850988,10683187.839999999850988
FS( 37 ),10699932.639999998733401,10699932.639999998733401
FS( 38 ),10825518.640000000596046,10825518.640000000596046
FS( 39 ),10671466.479999998584390,10671466.479999998584390
FS( 40 ),10847286.879999998956919,10847286.879999998956919
FS( 41 ),11066643.759999999776483,11066643.759999999776483
FS( 42 ),10964500.480000000447035,10964500.480000000447035
FS( 43 ),10989617.679999997839332,10989617.679999997839332
FS( 44 ),10929336.399999998509884,10929336.399999998509884
FS( 45 ),10974547.360000001266599,10974547.360000001266599
FS( 46 ),11080039.599999999627471,11080039.599999999627471
FS( 47 ),11312792.320000000298023,11312792.320000000298023
FS( 48 ),11381446.000000000000000,11381446.000000000000000
FS( 49 ),11334560.559999998658895,11334560.559999998658895
FS( 50 ),11446750.719999998807907,11446750.719999998807907
FS( 51 ),11386469.439999999478459,11386469.439999999478459
FS( 52 ),11322839.200000001117587,11322839.200000001117587
FS( 53 ),11203951.119999999180436,11203951.119999999180436
FS( 54 ),11090086.480000000447035,11090086.480000000447035
FS( 55 ),11813461.839999999850988,11813461.839999999850988
FS( 56 ),11964165.039999999105930,11964165.039999999105930
FS( 57 ),12086402.080000000074506,12086402.080000000074506
FS( 58 ),12171800.559999998658895,12171800.559999998658895
FS( 59 ),12145008.879999998956919,12145008.879999998956919
FS( 60 ),12160079.200000001117587,12160079.200000001117587
FS( 61 ),12091425.519999997690320,12091425.519999997690320
FS( 62 ),12188545.360000001266599,12188545.360000001266599
FS( 63 ),12101472.399999998509884,12101472.399999998509884
FS( 64 ),12198592.239999998360872,12198592.239999998360872
