代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11254419.710000000894070
真實報酬,1254419.710000000894070

夏普值報酬,0.116741971000000
夏普值風險,0.039520354831492
夏普值,2.953970719589100

二次趨勢線,44.563743833808616 x^2 + 19354.132769098596327 x + 10000000.000000000000000
二次加權預期報酬,23067.778088582650525
風險,109117.431638549416675
二次加權趨勢值,0.211403235415167
一次趨勢線,21442.924570076822420 x + 10000000.000000000000000
一次預期報酬,21442.924570076822420
一次風險,110852.381638057704549
一次趨勢值,0.193436751229123
找到最佳解世代,2857
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](1),MRK[17](5),V[25](2),
Stock#,CAT[3](1),MRK[17](5),V[25](2),
張數,39877,73697,66947,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,14.569999999832362,17.690000000409782,41.870000000111759,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3345296.099999999627471,3369444.530000000260770,3287809.040000000037253,10002550.669999999925494
FS( 3 ),3351676.419999999925494,3342913.610000000335276,3303206.850000000558794,9997797.880000000819564
FS( 4 ),3358455.509999999776483,3387131.810000000521541,3331324.589999999850988,10076912.910000000149012
FS( 5 ),3335725.620000000111759,3376814.230000000447035,3282453.280000000260770,9994994.130000000819564
FS( 6 ),3359253.049999999813735,3449037.290000000037253,3318604.660000000149012,10126896.000000000000000
FS( 7 ),3355664.120000000111759,3463776.690000000409782,3335341.410000000149012,10154783.220000000670552
FS( 8 ),3343701.019999999552965,3507257.920000000856817,3318604.660000000149012,10169564.600000001490116
FS( 9 ),3357657.969999999739230,3488833.670000000856817,3344044.520000000484288,10190537.160000000149012
FS( 10 ),3340112.089999999850988,3524208.230000000447035,3350069.750000000000000,10214391.070000000298023
FS( 11 ),3339314.549999999813735,3542632.480000000447035,3380865.370000000111759,10262813.400000000372529
FS( 12 ),3351277.649999999906868,3538210.660000000149012,3346052.929999999701977,10235542.240000000223517
FS( 13 ),3336523.159999999683350,3542632.480000000447035,3303876.320000000298023,10183032.960000000894070
FS( 14 ),3297044.930000000167638,3547054.300000000745058,3315926.780000000260770,10160027.010000001639128
FS( 15 ),3274713.810000000055879,3583165.830000000074506,3374170.669999999925494,10232051.310000000521541
FS( 16 ),3305020.329999999608845,3606748.870000000111759,3382873.780000000260770,10294643.980000000447035
