代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10869135.519999999552965
真實報酬,869135.519999999552965

夏普值報酬,0.078213552000000
夏普值風險,0.036196518214125
夏普值,2.160803189337652

二次趨勢線,264.502488639658850 x^2 + 351.892110358318405 x + 10000000.000000000000000
二次加權預期報酬,23451.776118221856450
風險,132270.705175130889984
二次加權趨勢值,0.177301361531043
一次趨勢線,13344.819701169062682 x + 10000000.000000000000000
一次預期報酬,13344.819701169062682
一次風險,183597.669688666268485
一次趨勢值,0.072685125708831
找到最佳解世代,1884
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),CSCO[4](5),MRK[17](2),PG[21](3),
Stock#,AAPL[0](1),CSCO[4](5),MRK[17](2),PG[21](3),
張數,25391,86505,44381,30566,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.140000000130385,5.500000000000000,18.270000000018626,6.859999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2481210.660000000149012,2515570.899999999906868,2521746.689999999944121,2504890.560000000055879,10023418.810000000521541
FS( 3 ),2486288.860000000335276,2519896.149999999906868,2513758.109999999869615,2520784.879999999888241,10040728.000000000000000
FS( 4 ),2504316.470000000204891,2517301.000000000000000,2537280.040000000037253,2529954.679999999701977,10088852.190000001341105
FS( 5 ),2514472.870000000111759,2514705.850000000093132,2529735.270000000018626,2516199.979999999515712,10075113.969999998807907
FS( 6 ),2512187.680000000167638,2520761.200000000186265,2557251.489999999757856,2526286.760000000242144,10116487.130000000819564
FS( 7 ),2530215.290000000502914,2520761.200000000186265,2537723.850000000093132,2542181.080000000074506,10130881.419999999925494
FS( 8 ),2509394.669999999925494,2511245.649999999906868,2521302.879999999888241,2543098.060000000055879,10085041.259999999776483
FS( 9 ),2471562.080000000074506,2494809.700000000186265,2490236.180000000167638,2523841.479999999515712,9980449.440000001341105
FS( 10 ),2474609.000000000000000,2505190.300000000279397,2496449.520000000018626,2547682.959999999497086,10023931.779999999329448
FS( 11 ),2466483.880000000353903,2478373.750000000000000,2489348.560000000055879,2535456.560000000055879,9969662.750000001862645
FS( 12 ),2476894.189999999944121,2497404.850000000093132,2551925.770000000018626,2549516.919999999925494,10075741.730000000447035
FS( 13 ),2420526.169999999925494,2504325.250000000000000,2480472.359999999869615,2540958.439999999944121,9946282.219999998807907
FS( 14 ),2414686.239999999757856,2491349.500000000000000,2491567.609999999869615,2538207.500000000000000,9935810.849999999627471
FS( 15 ),2435252.950000000186265,2488754.350000000093132,2496449.520000000018626,2549516.919999999925494,9969973.740000000223517
FS( 16 ),2426112.189999999944121,2484429.100000000093132,2531510.509999999776483,2554407.479999999515712,9996459.279999999329448
FS( 17 ),2440077.239999999757856,2527681.600000000093132,2559914.350000000093132,2573969.719999999739230,10101642.910000000149012
FS( 18 ),2371521.540000000502914,2400519.250000000000000,2480028.550000000279397,2514366.020000000018626,9766435.360000001266599
FS( 19 ),2336989.780000000260770,2362457.049999999813735,2454731.379999999888241,2482883.040000000037253,9637061.250000000000000
FS( 20 ),2376345.830000000074506,2403979.449999999720603,2466714.250000000000000,2520479.219999999739230,9767518.750000000000000
FS( 21 ),2396912.540000000502914,2444636.800000000279397,2531954.319999999832362,2564799.919999999925494,9938303.580000000074506
FS( 22 ),2427381.739999999757856,2481833.950000000186265,2556807.680000000167638,2588030.080000000074506,10054053.449999999254942
FS( 23 ),2434745.130000000353903,2491349.500000000000000,2571453.410000000149012,2591392.339999999850988,10088940.380000000819564
FS( 24 ),2411893.229999999981374,2450692.149999999906868,2574116.270000000018626,2611565.899999999906868,10048267.550000000745058
FS( 25 ),2425604.370000000111759,2484429.100000000093132,2625598.229999999981374,2599033.839999999850988,10134665.540000000968575
FS( 26 ),2436014.680000000167638,2486159.199999999720603,2608733.450000000186265,2592920.639999999664724,10123827.969999998807907
FS( 27 ),2454804.020000000484288,2531141.800000000279397,2634030.620000000111759,2621652.679999999701977,10241629.120000001043081
FS( 28 ),2462421.320000000298023,2545847.649999999906868,2633586.810000000055879,2621041.359999999869615,10262897.140000000596046
