代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11423684.000000000000000
真實報酬,1423684.000000000000000

夏普值報酬,0.133668400000000
夏普值風險,0.045764391311355
夏普值,2.920794883746988

二次趨勢線,388.428563631049371 x^2 + -1046.369962531924557 x + 10000000.000000000000000
二次加權預期報酬,32876.391261246382783
風險,101526.757876161078457
二次加權趨勢值,0.323819965780331
一次趨勢線,18034.071312016207230 x + 10000000.000000000000000
一次預期報酬,18034.071312016207230
一次風險,212770.185513754608110
一次趨勢值,0.084758450853775
找到最佳解世代,2197
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](16),MSFT[18](11),NKE[19](1),WBA[27](4),
Stock#,AAPL[0](16),MSFT[18](11),NKE[19](1),WBA[27](4),
張數,38320,78939,75780,48894,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,3.200000000186265,1.869999999646097,17.799999999813735,49.779999999795109,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2532188.800000000279397,2517366.579999999608845,2512124.799999999813735,2492665.899999999441206,10054346.079999998211861
FS( 3 ),2569742.400000000372529,2502368.169999999459833,2515913.799999999813735,2491688.020000000018626,10079712.390000000596046
FS( 4 ),2546750.399999999906868,2492895.489999999292195,2521218.399999999906868,2456484.339999999850988,10017348.629999998956919
FS( 5 ),2545600.800000000279397,2530786.209999999962747,2487117.399999999906868,2429592.639999999664724,9993097.050000000745058
FS( 6 ),2523758.400000000372529,2596305.579999999608845,2503031.199999999720603,2439371.439999999944121,10062466.619999999180436
FS( 7 ),2487737.600000000093132,2581307.169999999925494,2512882.599999999627471,2425681.119999999646097,10007608.489999998360872
FS( 8 ),2558629.600000000093132,2594726.799999999348074,2520460.599999999627471,2454039.639999999664724,10127856.639999998733401
FS( 9 ),2680104.000000000000000,2544205.839999999385327,2493937.599999999627471,2471152.539999999571592,10189399.979999998584390
FS( 10 ),2728770.399999999906868,2553678.519999999552965,2437860.399999999906868,2467241.020000000018626,10187550.339999999850988
FS( 11 ),2725704.799999999813735,2509472.679999999701977,2406032.799999999813735,2413457.619999999646097,10054667.899999998509884
FS( 12 ),2749846.400000000372529,2510262.069999999832362,2412095.199999999720603,2388032.739999999757856,10060236.410000000149012
FS( 13 ),2779352.800000000279397,2477897.079999999608845,2451500.799999999813735,2372386.660000000149012,10081137.339999999850988
FS( 14 ),2742948.800000000279397,2496053.049999999813735,2449227.399999999906868,2384121.219999999739230,10072350.469999998807907
FS( 15 ),2750229.600000000093132,2495263.659999999683350,2430282.399999999906868,2367497.259999999776483,10043272.919999999925494
FS( 16 ),2753295.200000000186265,2556836.079999999608845,2457563.199999999720603,2375809.239999999757856,10143503.719999998807907
FS( 17 ),2742565.600000000093132,2743132.119999999646097,2432555.799999999813735,2385588.039999999571592,10303841.559999998658895
FS( 18 ),2753295.200000000186265,2695768.719999999739230,2421946.600000000093132,2387054.859999999869615,10258065.379999998956919
FS( 19 ),2674739.200000000186265,2625513.009999999310821,2380267.599999999627471,2310291.279999999795109,9990811.089999997988343
FS( 20 ),2687384.799999999813735,2606567.649999999906868,2401486.000000000000000,2301490.359999999869615,9996928.809999998658895
FS( 21 ),2691600.000000000000000,2648405.319999999366701,2405274.999999999534339,2326426.299999999813735,10071706.619999997317791
FS( 22 ),2667075.200000000186265,2636564.469999999739230,2380267.599999999627471,2350384.359999999869615,10034291.629999998956919
FS( 23 ),2674739.200000000186265,2516577.189999999478459,2436344.799999999813735,2383143.339999999850988,10010804.529999999329448
FS( 24 ),2729920.000000000000000,2462898.669999999459833,2468172.399999999906868,2419813.839999999850988,10080804.910000000149012
FS( 25 ),2711143.200000000186265,2466056.229999999515712,2477265.999999999534339,2454039.639999999664724,10108505.070000000298023
FS( 26 ),2727237.600000000093132,2458951.719999999739230,2462110.000000000000000,2418347.020000000018626,10066646.339999999850988
FS( 27 ),2770922.400000000372529,2499210.609999999869615,2478023.799999999813735,2455506.459999999962747,10203663.269999999552965
FS( 28 ),2707694.399999999906868,2556836.079999999608845,2531827.599999999627471,2477508.759999999776483,10273866.839999999850988
FS( 29 ),2560545.600000000093132,2584464.729999999981374,2561381.799999999813735,2481420.279999999795109,10187812.410000000149012
FS( 30 ),2587752.800000000279397,2580517.779999999329448,2579568.999999999534339,2605611.039999999571592,10353450.619999999180436
FS( 31 ),2544834.399999999906868,2607357.039999999571592,2573506.600000000093132,2613923.020000000018626,10339621.059999998658895
FS( 32 ),2463979.200000000186265,2589201.069999999366701,2584115.799999999813735,2678463.099999999627471,10315759.169999998062849
FS( 33 ),2492719.200000000186265,2599463.139999999664724,2588662.599999999627471,2685308.259999999776483,10366153.199999999254942
FS( 34 ),2543684.799999999813735,2630249.349999999627471,2632615.000000000000000,2720023.000000000000000,10526572.149999998509884
FS( 35 ),2585453.600000000093132,2655509.829999999608845,2633372.799999999813735,2737624.839999999850988,10611961.070000000298023
FS( 36 ),2558629.600000000093132,2588411.679999999701977,2628825.999999999534339,2714644.660000000149012,10490511.939999999478459
FS( 37 ),2685852.000000000465661,2584464.729999999981374,2613670.000000000000000,2749359.399999999441206,10633346.129999998956919
FS( 38 ),2677421.600000000558794,2562361.809999999590218,2631099.399999999906868,2708288.439999999944121,10579171.250000000000000
FS( 39 ),2636036.000000000465661,2566308.759999999310821,2611396.600000000093132,2681885.679999999701977,10495627.039999999105930
FS( 40 ),2661710.399999999906868,2586832.899999999906868,2665200.399999999906868,2676018.399999999441206,10589762.099999997764826
FS( 41 ),2642550.399999999906868,2626302.399999999906868,2790237.399999999906868,2665261.719999999739230,10724351.919999998062849
FS( 42 ),2609978.400000000372529,2627091.789999999571592,2752347.399999999906868,2630546.979999999515712,10619964.570000000298023
FS( 43 ),2671290.399999999906868,2650773.489999999292195,2744011.600000000093132,2749848.339999999850988,10815923.829999998211861
FS( 44 ),2680104.000000000000000,2677612.750000000000000,2724308.799999999813735,2764027.599999999627471,10846053.149999998509884
FS( 45 ),2646382.400000000372529,2672876.409999999683350,2714457.399999999906868,2736158.020000000018626,10769874.230000000447035
FS( 46 ),2644083.200000000186265,2674455.189999999944121,2733402.399999999906868,2727846.039999999571592,10779786.830000000074506
FS( 47 ),2670140.800000000279397,2628670.569999999366701,2703090.399999999906868,2698509.639999999664724,10700411.410000000149012
FS( 48 ),2632970.399999999906868,2605778.259999999310821,2662927.000000000000000,2682374.619999999646097,10584050.279999999329448
FS( 49 ),2663626.400000000372529,2610514.599999999627471,2686418.799999999813735,2689708.719999999739230,10650268.519999999552965
FS( 50 ),2680487.200000000186265,2664982.509999999310821,2782659.399999999906868,2738113.779999999795109,10866242.889999998733401
FS( 51 ),2697731.200000000186265,2694189.939999999944121,2783417.199999999720603,2736158.020000000018626,10911496.359999999403954
FS( 52 ),2715358.400000000372529,2719450.419999999925494,2806151.199999999720603,2772339.580000000074506,11013299.599999999627471
FS( 53 ),2729920.000000000000000,2722607.979999999981374,2792510.799999999813735,2752781.979999999515712,10997820.759999999776483
FS( 54 ),2743332.000000000465661,2734448.829999999608845,2823580.599999999627471,2815855.239999999757856,11117216.669999999925494
FS( 55 ),2761725.600000000093132,2756551.750000000000000,2824338.399999999906868,2873061.219999999739230,11215676.969999998807907
FS( 56 ),2785867.200000000186265,2759709.309999999590218,2877384.399999999906868,2864749.239999999757856,11287710.150000000372529
FS( 57 ),2854076.800000000279397,2762077.479999999981374,2883446.799999999813735,2854481.500000000000000,11354082.580000000074506
FS( 58 ),2846029.600000000093132,2729712.489999999292195,2878142.199999999720603,2869638.639999999664724,11323522.929999999701977
FS( 59 ),2873620.000000000000000,2664982.509999999310821,2862986.199999999720603,2874528.039999999571592,11276116.749999998137355
FS( 60 ),2911940.000000000000000,2661824.949999999720603,2861470.599999999627471,2897019.279999999795109,11332254.829999998211861
FS( 61 ),2879368.000000000000000,2820492.339999999385327,2868290.799999999813735,2894085.639999999664724,11462236.780000001192093
FS( 62 ),2900827.200000000186265,2807862.099999999627471,2861470.599999999627471,2904842.319999999832362,11475002.219999998807907
FS( 63 ),2828402.400000000372529,2803915.149999999906868,2876626.600000000093132,2921955.219999999739230,11430899.370000001043081
FS( 64 ),2873620.000000000000000,2805493.929999999701977,2884962.399999999906868,2890663.059999999590218,11454739.390000000596046
FS( 65 ),2861357.600000000093132,2795231.859999999403954,2870564.200000000186265,2896530.339999999850988,11423684.000000000000000
