代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10834115.500000000000000
真實報酬,834115.500000000000000

夏普值報酬,0.074711550000000
夏普值風險,0.042391101862925
夏普值,1.762434726079668

二次趨勢線,-173.090924528486994 x^2 + 25063.158246630748181 x + 10000000.000000000000000
二次加權預期報酬,10408.126636552182390
風險,270078.279050344252028
二次加權趨勢值,0.038537444303738
一次趨勢線,16820.214061211085209 x + 10000000.000000000000000
一次預期報酬,16820.214061211085209
一次風險,281205.507603531528730
一次趨勢值,0.059814667943580
找到最佳解世代,1605
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
Stock#,MRK[17](1),PG[21](2),
張數,69900,59758,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,53.000000000000000,48.139999999664724,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5015378.000000000000000,5041233.019999999552965,10056611.019999999552965
FS( 3 ),4988816.000000000000000,4961754.879999999888241,9950570.879999998956919
FS( 4 ),4978331.000000000000000,4895423.500000000000000,9873754.500000000000000
FS( 5 ),4965050.000000000000000,4909167.839999999850988,9874217.839999999850988
FS( 6 ),4995107.000000000000000,4924107.339999999850988,9919214.339999999850988
FS( 7 ),5056619.000000000000000,4912155.740000000223517,9968774.740000000223517
FS( 8 ),4924508.000000000000000,4866739.659999999217689,9791247.660000000149012
FS( 9 ),4779116.000000000000000,4713161.599999999627471,9492277.599999999627471
FS( 10 ),4879772.000000000000000,4724515.620000000111759,9604287.620000001043081
FS( 11 ),4855307.000000000000000,4788456.679999999701977,9643763.679999999701977
FS( 12 ),4978331.000000000000000,4841043.719999999739230,9819374.719999998807907
FS( 13 ),5020270.999999999068677,4891838.019999999552965,9912109.019999999552965
FS( 14 ),5047532.000000000000000,4795030.059999999590218,9842562.059999998658895
FS( 15 ),5057318.000000000000000,5216921.539999999105930,10274239.539999999105930
FS( 16 ),5072695.999999999068677,5175090.939999999478459,10247786.939999997615814
FS( 17 ),5039843.000000000000000,5208555.419999999925494,10248398.419999999925494
FS( 18 ),4930799.000000000000000,5345998.819999999366701,10276797.820000000298023
FS( 19 ),4890257.000000000000000,5318510.139999999664724,10208767.140000000596046
FS( 20 ),4921013.000000000000000,5250386.019999999552965,10171399.019999999552965
FS( 21 ),4994408.000000000000000,5273094.059999999590218,10267502.059999998658895
FS( 22 ),5093666.000000000000000,5329864.159999999217689,10423530.160000000149012
FS( 23 ),5145392.000000000000000,5299387.580000000074506,10444779.580000000074506
FS( 24 ),5111141.000000000000000,5353767.359999999403954,10464908.359999999403954
FS( 25 ),5051726.000000000000000,5366914.120000000111759,10418640.120000001043081
FS( 26 ),5111141.000000000000000,5449977.740000000223517,10561118.740000000223517
FS( 27 ),5124422.000000000000000,5468502.719999999739230,10592924.719999998807907
FS( 28 ),5248145.000000000000000,5455355.959999999962747,10703500.960000000894070
FS( 29 ),5276105.000000000000000,5459539.019999999552965,10735644.019999999552965
FS( 30 ),5232767.000000000000000,5522284.919999999925494,10755051.919999999925494
FS( 31 ),5220884.000000000000000,5539614.740000000223517,10760498.740000000223517
FS( 32 ),5215292.000000000000000,5585628.399999999441206,10800920.399999998509884
FS( 33 ),5178944.000000000000000,5586823.559999999590218,10765767.559999998658895
FS( 34 ),5231369.000000000000000,5607141.279999999329448,10838510.279999999329448
FS( 35 ),5316647.000000000000000,5606543.699999999254942,10923190.699999999254942
FS( 36 ),5336918.000000000000000,5574871.959999999962747,10911789.960000000894070
FS( 37 ),5227175.000000000000000,5503759.939999999478459,10730934.939999999478459
FS( 38 ),5227874.000000000000000,5462526.919999999925494,10690400.919999999925494
FS( 39 ),5219486.000000000000000,5470295.459999999962747,10689781.460000000894070
FS( 40 ),5273309.000000000000000,5494198.659999999217689,10767507.660000000149012
FS( 41 ),5336219.000000000000000,5540809.899999999441206,10877028.899999998509884
FS( 42 ),5398430.000000000000000,5558139.719999999739230,10956569.719999998807907
FS( 43 ),5445962.000000000000000,5546785.699999999254942,10992747.699999999254942
FS( 44 ),5545919.000000000000000,5647776.719999999739230,11193695.719999998807907
FS( 45 ),5537531.000000000000000,5576664.699999999254942,11114195.699999999254942
FS( 46 ),5466932.000000000000000,5576067.120000000111759,11042999.120000001043081
FS( 47 ),5478116.000000000000000,5590409.039999999105930,11068525.039999999105930
FS( 48 ),5362781.000000000000000,5524675.240000000223517,10887456.240000000223517
FS( 49 ),5411711.000000000000000,5559334.879999999888241,10971045.879999998956919
FS( 50 ),5390042.000000000000000,5611921.919999999925494,11001963.919999999925494
FS( 51 ),5452952.000000000000000,5619092.879999999888241,11072044.879999998956919
FS( 52 ),5522852.000000000000000,5766097.559999999590218,11288949.559999998658895
FS( 53 ),5346005.000000000000000,5775061.259999999776483,11121066.259999999776483
FS( 54 ),5258630.000000000000000,5543797.799999999813735,10802427.800000000745058
FS( 55 ),5195720.000000000000000,5527065.559999999590218,10722785.559999998658895
FS( 56 ),5156576.000000000000000,5483442.219999999739230,10640018.219999998807907
FS( 57 ),5137004.000000000000000,5436830.979999999515712,10573834.980000000447035
FS( 58 ),5095763.000000000000000,5436233.399999999441206,10531996.399999998509884
FS( 59 ),4973438.000000000000000,5220507.019999999552965,10193945.019999999552965
FS( 60 ),5172653.000000000000000,5383646.359999999403954,10556299.359999999403954
