代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11948494.669999998062849
真實報酬,1948494.669999998062849

夏普值報酬,0.186149467000000
夏普值風險,0.056045696265678
夏普值,3.321387357159038

二次趨勢線,64.303552980294086 x^2 + 29481.619122160715051 x + 10000000.000000000000000
二次加權預期報酬,35011.724678466009209
風險,70827.278888980814372
二次加權趨勢值,0.494325424153956
一次趨勢線,32592.116568649369583 x + 10000000.000000000000000
一次預期報酬,32592.116568649369583
一次風險,76926.068803862261120
一次趨勢值,0.423681036551461
找到最佳解世代,1876
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](5),BA[2](3),HD[9](1),INTC[11](8),MSFT[18](2),UNH[23](17),WBA[27](18),
Stock#,AXP[1](5),BA[2](3),HD[9](1),INTC[11](8),MSFT[18](2),UNH[23](17),WBA[27](18),
張數,22904,18485,20694,67930,51111,26692,34573,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,48.520000000018626,50.199999999953434,64.179999999934807,3.099999999860302,18.550000000046566,15.159999999916181,14.639999999897555,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1440481.080000000074506,1425058.850000000093132,1454645.440000000176951,1444874.199999999720603,1438793.199999999953434,1423232.599999999860302,1444128.850000000093132,10071217.220000000670552
FS( 3 ),1468653.000000000232831,1454080.299999999813735,1458370.359999999869615,1461177.399999999906868,1449015.400000000139698,1428037.159999999916181,1407827.199999999953434,10127163.820000000298023
FS( 4 ),1480792.120000000111759,1461844.000000000000000,1458577.300000000046566,1477480.599999999860302,1435726.540000000037253,1430973.279999999795109,1381551.719999999972060,10126948.560000000521541
FS( 5 ),1478730.760000000009313,1498259.449999999953434,1453817.679999999934807,1486990.799999999813735,1438282.090000000083819,1436044.759999999776483,1387429.129999999888241,10179557.669999998062849
FS( 6 ),1481937.320000000065193,1501586.750000000000000,1476994.959999999962747,1465932.499999999767169,1431126.550000000046566,1436311.679999999934807,1405061.359999999869615,10198954.119999999180436
FS( 7 ),1500260.520000000018626,1533196.099999999860302,1475960.259999999776483,1473404.800000000046566,1424482.120000000111759,1446988.479999999981374,1427188.079999999841675,10281483.359999999403954
FS( 8 ),1495450.680000000167638,1555747.799999999813735,1464164.679999999934807,1470008.299999999813735,1426526.560000000055879,1463537.519999999785796,1418890.559999999823049,10294329.099999999627471
FS( 9 ),1495679.719999999972060,1566653.949999999953434,1464371.620000000111759,1471366.899999999906868,1427037.670000000158325,1454195.319999999832362,1479047.579999999841675,10358355.759999999776483
FS( 10 ),1497512.039999999804422,1564250.900000000139698,1453610.739999999757856,1470687.599999999860302,1438282.090000000083819,1460868.319999999832362,1476973.199999999953434,10362187.889999998733401
FS( 11 ),1513773.880000000121072,1597708.750000000000000,1428984.879999999888241,1452346.499999999767169,1433170.989999999990687,1460868.319999999832362,1472132.979999999748543,10358989.300000000745058
FS( 12 ),1506673.640000000130385,1574602.500000000000000,1435193.079999999841675,1444194.899999999906868,1436237.650000000139698,1468075.159999999916181,1466947.029999999795109,10331926.959999999031425
FS( 13 ),1491786.039999999804422,1580702.550000000046566,1423604.440000000176951,1436043.299999999813735,1440326.530000000027940,1472612.800000000046566,1546810.659999999916181,10391889.320000000298023
FS( 14 ),1511712.520000000018626,1578114.650000000139698,1425466.899999999906868,1438760.499999999767169,1447482.070000000065193,1464872.119999999878928,1591064.100000000093132,10457475.859999999403954
FS( 15 ),1498199.159999999916181,1558890.250000000000000,1426915.479999999981374,1429250.299999999813735,1436748.760000000009313,1469676.679999999934807,1583803.770000000018626,10403487.400000000372529
FS( 16 ),1516751.399999999906868,1567947.899999999906868,1439538.820000000065193,1448949.999999999767169,1443904.300000000046566,1453661.479999999981374,1607313.409999999916181,10478070.310000000521541
FS( 17 ),1514002.919999999925494,1568502.449999999953434,1437676.359999999869615,1436722.599999999860302,1439304.310000000055879,1464338.279999999795109,1596941.509999999776483,10457491.429999999701977
FS( 18 ),1538510.199999999953434,1601220.900000000139698,1449678.879999999888241,1478839.199999999720603,1439304.310000000055879,1485424.959999999962747,1644652.250000000000000,10637633.699999999254942
FS( 19 ),1538052.120000000111759,1593457.199999999953434,1441401.280000000027940,1482914.999999999767169,1450037.620000000111759,1511316.199999999953434,1633243.159999999916181,10650425.580000000074506
FS( 20 ),1545152.359999999869615,1586987.449999999953434,1444091.500000000000000,1483594.299999999813735,1462304.260000000009313,1527064.479999999981374,1648455.279999999795109,10697652.629999998956919
FS( 21 ),1540571.560000000055879,1575896.449999999953434,1441815.159999999916181,1455742.999999999767169,1462304.260000000009313,1574042.399999999906868,1623908.449999999953434,10674284.279999999329448
