代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11404683.330000000074506
真實報酬,1404683.330000000074506

夏普值報酬,0.131768333000000
夏普值風險,0.043207466854419
夏普值,3.049665777537359

二次趨勢線,414.655443777544860 x^2 + -4184.286468014519414 x + 10000000.000000000000000
二次加權預期報酬,32028.955621891069313
風險,76127.345670675626025
二次加權趨勢值,0.420728653281139
一次趨勢線,16184.475216783212090 x + 10000000.000000000000000
一次預期報酬,16184.475216783212090
一次風險,213634.596735057100886
一次趨勢值,0.075757744598150
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),CSCO[4](8),MSFT[18](11),PFE[20](2),VZ[26](5),WMT[28](4),
Stock#,AAPL[0](1),CSCO[4](8),MSFT[18](11),PFE[20](2),VZ[26](5),WMT[28](4),
張數,8760,38173,16536,45976,34860,20082,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,163.599999999860302,32.820000000065193,2.559999999823049,36.000000000000000,9.399999999906868,60.820000000065193,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1680594.399999999906868,1663612.159999999916181,1681217.679999999934807,1675861.200000000186265,1667014.599999999860302,1715465.260000000009313,10083769.299999998882413
FS( 3 ),1693559.199999999953434,1667047.730000000214204,1689816.399999999674037,1675401.439999999944121,1672243.599999999860302,1699399.660000000149012,10097472.029999999329448
FS( 4 ),1699428.399999999674037,1689569.800000000046566,1694777.199999999720603,1672642.880000000121072,1687581.999999999767169,1698194.740000000223517,10142199.019999999552965
FS( 5 ),1694873.199999999953434,1666284.270000000018626,1668154.239999999757856,1677700.239999999990687,1708497.999999999767169,1706026.720000000204891,10121540.669999999925494
FS( 6 ),1679455.599999999860302,1659794.859999999869615,1680556.239999999757856,1685975.920000000158325,1714424.199999999953434,1694178.340000000083819,10114389.159999998286366
FS( 7 ),1675338.399999999674037,1667811.189999999944121,1670965.359999999869615,1668964.799999999813735,1718607.399999999906868,1692973.419999999925494,10094664.569999998435378
FS( 8 ),1684536.399999999906868,1677354.439999999944121,1675264.719999999972060,1668964.799999999813735,1701526.000000000000000,1688957.020000000018626,10096607.379999998956919
FS( 9 ),1670695.599999999860302,1680026.550000000046566,1667658.159999999683350,1665286.719999999972060,1652373.399999999906868,1688756.200000000186265,10024800.629999998956919
FS( 10 ),1671571.599999999860302,1705984.189999999944121,1677083.679999999934807,1662528.159999999916181,1667014.599999999860302,1682731.600000000093132,10066917.830000000074506
FS( 11 ),1654402.000000000000000,1689188.070000000065193,1655752.239999999757856,1671723.359999999869615,1675381.000000000000000,1680924.220000000204891,10027374.890000000596046
FS( 12 ),1653526.000000000000000,1687661.150000000139698,1667823.519999999785796,1662528.159999999916181,1654465.000000000000000,1666866.820000000065193,9992874.650000000372529
FS( 13 ),1626807.999999999767169,1672773.680000000167638,1667823.519999999785796,1665286.719999999972060,1690719.399999999906868,1679116.840000000083819,10002532.159999998286366
FS( 14 ),1633903.599999999860302,1669719.840000000083819,1684524.879999999888241,1676320.959999999962747,1676426.800000000046566,1679116.840000000083819,10020016.919999999925494
FS( 15 ),1624793.199999999953434,1647579.500000000000000,1672453.599999999860302,1668964.799999999813735,1695251.199999999953434,1691166.040000000037253,10000212.339999999850988
FS( 16 ),1620062.799999999813735,1649106.420000000158325,1660382.319999999832362,1678619.760000000009313,1734642.999999999767169,1703416.059999999823049,10046234.359999999403954
FS( 17 ),1595972.799999999813735,1614368.989999999990687,1626979.599999999860302,1672642.880000000121072,1729065.399999999906868,1736551.360000000102445,9975585.029999999329448
FS( 18 ),1615770.399999999906868,1624293.969999999972060,1638389.439999999711290,1672642.880000000121072,1718607.399999999906868,1726711.180000000167638,9996419.269999999552965
FS( 19 ),1613405.199999999720603,1615895.909999999916181,1612924.000000000000000,1664826.959999999962747,1718956.000000000000000,1744985.800000000046566,9970997.869999999180436
FS( 20 ),1625143.599999999860302,1639181.439999999944121,1630948.239999999757856,1671723.359999999869615,1772989.000000000000000,1724301.340000000083819,10064290.979999998584390
FS( 21 ),1621727.199999999953434,1642617.010000000009313,1630617.519999999785796,1668045.280000000027940,1753816.000000000000000,1720084.120000000111759,10036911.129999998956919
FS( 22 ),1639860.399999999906868,1634218.950000000186265,1653767.919999999925494,1670344.079999999841675,1757650.599999999860302,1686948.820000000065193,10042794.769999999552965
FS( 23 ),1611302.799999999813735,1628874.730000000214204,1637893.359999999869615,1671263.600000000093132,1767411.399999999906868,1695784.899999999906868,10012534.790000000968575
FS( 24 ),1624267.599999999860302,1624675.700000000186265,1649633.919999999925494,1695171.119999999878928,1787630.199999999953434,1698395.559999999823049,10079778.099999999627471
FS( 25 ),1646780.799999999813735,1630401.650000000139698,1672784.319999999832362,1706205.359999999869615,1794602.199999999720603,1697190.640000000130385,10147968.969999998807907
