代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12751100.000000000000
真實報酬,2751100.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11124.058439226037
風險,151915.667065391520
起點值,0.073225221954
找到最佳解世代,1554
找到最佳解實驗#,1
找到最佳解次數,25

投資組合檔數,8
1326(5)[2],2301(12)[5],2408(23)[47],2892(39)[1],3008(41)[9],4904(44)[16],6505(47)[3],9999(49)[40],
Stock#,1326(5)[2],2301(12)[5],2408(23)[47],2892(39)[1],3008(41)[9],4904(44)[16],6505(47)[3],9999(49)[40],
張數,20,45,30,99,0,20,17,-1,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,20200.000000000000,23300.000000000000,33800.000000000000,9530.000000000000,1250000.000000000000,47800.000000000000,64590.000000000000,1250000.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1255400.000000000000,1292300.000000000000,1245800.000000000000,1253960.000000000000,1250000.000000000000,1239000.000000000000,1240820.000000000000,1250000.000000000000,10027280.000000000000
FS( 3 ),1257200.000000000000,1290050.000000000000,1198400.000000000000,1246040.000000000000,1250000.000000000000,1233600.000000000000,1251529.999999999800,1250000.000000000000,9976820.000000000000
FS( 4 ),1264400.000000000000,1292300.000000000000,1178000.000000000000,1238120.000000000000,1250000.000000000000,1239000.000000000000,1239289.999999999800,1250000.000000000000,9951110.000000000000
FS( 5 ),1248200.000000000000,1268000.000000000000,1197200.000000000000,1238120.000000000000,1250000.000000000000,1246400.000000000000,1236060.000000000000,1250000.000000000000,9933980.000000000000
FS( 6 ),1259000.000000000000,1218050.000000000000,1248500.000000000000,1225250.000000000000,1250000.000000000000,1248200.000000000000,1236060.000000000000,1250000.000000000000,9935060.000000000000
FS( 7 ),1277000.000000000200,1236050.000000000000,1174100.000000000000,1229210.000000000000,1250000.000000000000,1253600.000000000000,1250000.000000000000,1250000.000000000000,9919960.000000000000
FS( 8 ),1289600.000000000000,1268000.000000000000,1184900.000000000000,1234159.999999999800,1250000.000000000000,1264600.000000000200,1280770.000000000000,1250000.000000000000,10022030.000000000000
FS( 9 ),1289600.000000000000,1250000.000000000000,1199900.000000000000,1229210.000000000000,1250000.000000000000,1268200.000000000000,1282300.000000000000,1250000.000000000000,10019210.000000000000
FS( 10 ),1300400.000000000000,1255850.000000000000,1187600.000000000000,1225250.000000000000,1250000.000000000000,1270000.000000000000,1279240.000000000000,1250000.000000000000,10018340.000000000000
FS( 11 ),1284200.000000000000,1262150.000000000200,1198400.000000000000,1208419.999999999800,1250000.000000000000,1282600.000000000000,1282300.000000000000,1250000.000000000000,10018070.000000000000
FS( 12 ),1284200.000000000000,1276100.000000000000,1153699.999999999800,1204460.000000000000,1250000.000000000000,1293600.000000000000,1271590.000000000000,1250000.000000000000,9983650.000000000000
FS( 13 ),1268000.000000000000,1273850.000000000000,1077800.000000000000,1200500.000000000000,1250000.000000000000,1286400.000000000000,1280770.000000000000,1250000.000000000000,9887320.000000000000
FS( 14 ),1242800.000000000200,1262150.000000000200,1088600.000000000000,1179710.000000000000,1250000.000000000000,1277200.000000000000,1280770.000000000000,1250000.000000000000,9831230.000000000000
FS( 15 ),1260800.000000000000,1284200.000000000000,1126700.000000000000,1188620.000000000000,1250000.000000000000,1286400.000000000000,1294710.000000000000,1250000.000000000000,9941430.000000000000
FS( 16 ),1291400.000000000000,1328300.000000000000,1132100.000000000000,1200500.000000000000,1250000.000000000000,1313600.000000000000,1313240.000000000000,1250000.000000000000,10079140.000000000000
FS( 17 ),1278800.000000000000,1288250.000000000000,1123699.999999999800,1196540.000000000000,1250000.000000000000,1306200.000000000000,1313240.000000000000,1250000.000000000000,10006730.000000000000
FS( 18 ),1284200.000000000000,1322450.000000000000,1112900.000000000000,1204460.000000000000,1250000.000000000000,1320800.000000000000,1300830.000000000000,1250000.000000000000,10045640.000000000000
FS( 19 ),1284200.000000000000,1398500.000000000000,1084400.000000000200,1229210.000000000000,1250000.000000000000,1293600.000000000000,1297770.000000000000,1250000.000000000000,10087680.000000000000
FS( 20 ),1307600.000000000000,1434500.000000000000,1109000.000000000000,1262870.000000000000,1250000.000000000000,1295400.000000000200,1328539.999999999800,1250000.000000000000,10237910.000000000000
FS( 21 ),1305800.000000000000,1424600.000000000000,1141400.000000000200,1270790.000000000000,1250000.000000000000,1295400.000000000200,1327010.000000000000,1250000.000000000000,10265000.000000000000
FS( 22 ),1316599.999999999800,1450699.999999999800,1104800.000000000000,1274750.000000000000,1250000.000000000000,1317200.000000000000,1336360.000000000000,1250000.000000000000,10300410.000000000000
FS( 23 ),1316599.999999999800,1520900.000000000200,1090100.000000000000,1262870.000000000000,1250000.000000000000,1313600.000000000000,1334830.000000000000,1250000.000000000000,10338900.000000000000
FS( 24 ),1291400.000000000000,1490750.000000000000,1066999.999999999800,1242080.000000000000,1250000.000000000000,1308000.000000000000,1303890.000000000200,1250000.000000000000,10203120.000000000000
FS( 25 ),1305800.000000000000,1430450.000000000000,1064300.000000000000,1262870.000000000000,1250000.000000000000,1326200.000000000000,1306950.000000000000,1250000.000000000000,10196570.000000000000
FS( 26 ),1311200.000000000000,1516850.000000000000,1084400.000000000200,1279700.000000000000,1250000.000000000000,1315400.000000000200,1305420.000000000000,1250000.000000000000,10312970.000000000000
FS( 27 ),1309399.999999999800,1534850.000000000200,1094000.000000000000,1262870.000000000000,1250000.000000000000,1302600.000000000000,1313240.000000000000,1250000.000000000000,10316960.000000000000
FS( 28 ),1333000.000000000000,1520900.000000000200,1094000.000000000000,1270790.000000000000,1250000.000000000000,1311800.000000000000,1344010.000000000000,1250000.000000000000,10374500.000000000000
FS( 29 ),1329200.000000000000,1529000.000000000000,1114400.000000000200,1283659.999999999800,1250000.000000000000,1300800.000000000000,1344010.000000000000,1250000.000000000000,10401070.000000000000
