代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,19090770.000000000000
真實報酬,9090770.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,36684.911658864869
風險,432755.458267171630
起點值,0.084770534855
找到最佳解世代,2351
找到最佳解實驗#,2
找到最佳解次數,19

投資組合檔數,5
2324(15)[2],2412(25)[15],2454(26)[4],3045(41)[13],9904(48)[8],
Stock#,2324(15)[2],2412(25)[15],2454(26)[4],3045(41)[13],9904(48)[8],
張數,198,45,12,65,210,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,4160.000000000000,17750.000000000233,87440.000000000000,27900.000000000000,800.000000000233,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2021780.000000000000,1976600.000000000500,2052800.000000000200,1939550.000000000000,2039900.000000000500,10030630.000000002000
FS( 3 ),2126720.000000000000,1972550.000000000200,2178680.000000000000,1936950.000000000000,2079800.000000000200,10294700.000000000000
FS( 4 ),1982180.000000000000,1953200.000000000000,2060960.000000000000,1909650.000000000000,1985300.000000000000,9891290.000000000000
FS( 5 ),1867340.000000000000,1964900.000000000200,2101520.000000000000,1918099.999999999800,2012600.000000000200,9864460.000000000000
FS( 6 ),1867340.000000000000,1984250.000000000500,2085320.000000000000,1958400.000000000000,2000000.000000000000,9895310.000000000000
FS( 7 ),1855460.000000000000,2015300.000000000200,2125880.000000000000,1962300.000000000000,2033600.000000000200,9992540.000000000000
FS( 8 ),1879220.000000000200,2030600.000000000200,2231480.000000000000,2000000.000000000000,2039900.000000000500,10181200.000000000000
FS( 9 ),1930700.000000000200,2011250.000000000000,2101520.000000000000,1972700.000000000200,2018900.000000000200,10035070.000000000000
FS( 10 ),1895060.000000000000,1988300.000000000200,1995920.000000000000,1920700.000000000000,1985300.000000000000,9785280.000000000000
FS( 11 ),1982180.000000000000,2000000.000000000000,2040560.000000000000,1928500.000000000000,1985300.000000000000,9936540.000000000000
FS( 12 ),1948520.000000000200,2000000.000000000000,2016199.999999999800,1935000.000000000000,2000000.000000000000,9899720.000000000000
FS( 13 ),1976240.000000000200,1995950.000000000200,2117720.000000000000,1987650.000000000000,1991600.000000000500,10069160.000000000000
FS( 14 ),1912880.000000000000,1995950.000000000200,2069000.000000000000,1979200.000000000000,1972700.000000000200,9929730.000000000000
FS( 15 ),1954460.000000000000,1995950.000000000200,2036600.000000000000,2002600.000000000000,1958000.000000000200,9947610.000000000000
FS( 16 ),1930700.000000000200,1988300.000000000200,2134040.000000000000,1916150.000000000000,1848800.000000000500,9817990.000000000000
FS( 17 ),2021780.000000000000,1991900.000000000000,2117720.000000000000,1918099.999999999800,1869800.000000000200,9919300.000000000000
FS( 18 ),2102959.999999999500,2003600.000000000500,2085320.000000000000,1920700.000000000000,1903400.000000000500,10015980.000000000000
FS( 19 ),2132660.000000000000,1984250.000000000500,2085320.000000000000,1888850.000000000000,1937000.000000000200,10028080.000000000000
FS( 20 ),2154439.999999999500,1995950.000000000200,2162480.000000000000,1926550.000000000000,2018900.000000000200,10258320.000000000000
FS( 21 ),2138600.000000000000,1984250.000000000500,2304560.000000000000,1918099.999999999800,2006300.000000000500,10351810.000000000000
FS( 22 ),2172260.000000000000,1988300.000000000200,2320760.000000000000,1916150.000000000000,2006300.000000000500,10403770.000000000000
FS( 23 ),2201959.999999999500,1995950.000000000200,2385800.000000000000,1935000.000000000000,1991600.000000000500,10510310.000000000000
FS( 24 ),2087120.000000000000,1984250.000000000500,2300480.000000000000,1924600.000000000000,1958000.000000000200,10254450.000000000000
FS( 25 ),2201959.999999999500,2003600.000000000500,2450719.999999999500,1941500.000000000200,1979000.000000000200,10576780.000000000000
FS( 26 ),2253439.999999999500,1988300.000000000200,2442680.000000000500,1935000.000000000000,2039900.000000000500,10659320.000000000000
FS( 27 ),2196020.000000000000,2000000.000000000000,2328920.000000000000,1935000.000000000000,2000000.000000000000,10459940.000000000000
FS( 28 ),2201959.999999999500,2011250.000000000000,2381719.999999999500,1936950.000000000000,2018900.000000000200,10550780.000000000000
FS( 29 ),2160380.000000000500,2022950.000000000200,2426360.000000000000,1951900.000000000000,2079800.000000000200,10641390.000000000000
FS( 30 ),2081180.000000000000,2019350.000000000200,2369480.000000000000,1926550.000000000000,1985300.000000000000,10381860.000000000000
FS( 31 ),2154439.999999999500,2038700.000000000000,2454800.000000000000,1922650.000000000000,2046200.000000000200,10616790.000000000000
FS( 32 ),2081180.000000000000,2046350.000000000200,2458880.000000000000,1922650.000000000000,2012600.000000000200,10521660.000000000000
FS( 33 ),2196020.000000000000,2069300.000000000500,2450719.999999999500,1948000.000000000000,2052500.000000000000,10716540.000000000000
FS( 34 ),2253439.999999999500,2088650.000000000200,2458880.000000000000,1960350.000000000000,2027300.000000000200,10788620.000000000000
FS( 35 ),2334620.000000000000,2104400.000000000000,2556320.000000000000,1943450.000000000000,2052500.000000000000,10991290.000000000000
FS( 36 ),2241560.000000000000,2143100.000000000000,2450719.999999999500,1964250.000000000000,1972700.000000000200,10772330.000000000000
FS( 37 ),2346500.000000000000,2143100.000000000000,2479160.000000000500,2018850.000000000000,2006300.000000000500,10993910.000000000000
