代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13506765.410000000149012
真實報酬,3506765.410000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15101.580186460629193
風險,171190.210053377086297
起點值,0.088215209162673
找到最佳解世代,2212
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PG[21](5),V[25](2),
Stock#,PG[21](5),V[25](2),
張數,81712,157927,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,42.719999999739230,31.179999999701977,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5013891.040000000037253,4988945.109999999403954,10002836.149999998509884
FS( 3 ),5013073.919999999925494,5014213.429999999701977,10027287.349999999627471
FS( 4 ),5007354.080000000074506,4946304.819999999366701,9953658.899999998509884
FS( 5 ),5029416.319999999366701,4881554.750000000000000,9910971.070000000298023
FS( 6 ),5044124.479999999515712,4827859.569999999366701,9871984.049999998882413
FS( 7 ),5017159.519999999552965,4767847.309999999590218,9785006.829999998211861
FS( 8 ),5205097.120000000111759,4842073.000000000000000,10047170.120000001043081
FS( 9 ),5318676.799999999813735,4898926.719999999739230,10217603.519999999552965
FS( 10 ),5295797.439999999478459,5020530.509999999776483,10316327.949999999254942
FS( 11 ),5339921.919999998994172,5063170.799999999813735,10403092.719999998807907
FS( 12 ),5296614.559999999590218,5047378.099999999627471,10343992.660000000149012
FS( 13 ),5304785.759999999776483,4951042.629999999888241,10255828.390000000596046
FS( 14 ),5289260.480000000447035,4965256.059999999590218,10254516.539999999105930
FS( 15 ),5261478.399999999441206,4914719.419999999925494,10176197.820000000298023
FS( 16 ),5231244.959999999031425,4842073.000000000000000,10073317.959999999031425
FS( 17 ),5231244.959999999031425,4824701.030000000260770,10055945.989999998360872
FS( 18 ),5275369.439999999478459,5004737.809999999590218,10280107.250000000000000
FS( 19 ),5318676.799999999813735,5097914.740000000223517,10416591.539999999105930
FS( 20 ),5319493.919999998994172,5165823.349999999627471,10485317.269999999552965
FS( 21 ),5273735.200000000186265,5096335.469999999739230,10370070.669999999925494
FS( 22 ),5230427.839999999850988,5033164.669999999925494,10263592.509999999776483
