代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11454812.390000000596046
真實報酬,1454812.390000000596046

夏普值報酬,0.136781239000000
夏普值風險,0.043048799946505
夏普值,3.177353124128282

預期報酬,13190.440290692471535
風險,76852.497852508589858
趨勢值,0.171633202033419
找到最佳解世代,3535
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,5
DIS[6](20),KO[14](11),MCD[15](6),MMM[16](5),V[25](3),
Stock#,DIS[6](20),KO[14](11),MCD[15](6),MMM[16](5),V[25](3),
張數,19190,48239,16431,11200,25634,
20170307,2127421.599999999627471,2025566.670000000158325,2104336.849999999627471,2117824.000000000000000,2282999.360000000335276,10658148.480000000447035
20170308,2127037.799999999813735,2025566.670000000158325,2104665.469999999739230,2122528.000000000000000,2280435.959999999962747,10660233.899999998509884
20170309,2130683.900000000372529,2027496.230000000214204,2105487.019999999552965,2126896.000000000000000,2284281.059999999590218,10674844.210000000894070
20170310,2128573.000000000000000,2040038.370000000111759,2102858.059999999590218,2141568.000000000000000,2300174.140000000596046,10713211.570000000298023
20170313,2140087.000000000000000,2027496.230000000214204,2096778.589999999850988,2145040.000000000000000,2309915.059999999590218,10719316.879999998956919
20170314,2155247.099999999627471,2024601.889999999897555,2099900.479999999515712,2131712.000000000000000,2295560.019999999552965,10707021.489999998360872
20170315,2146803.500000000000000,2031837.739999999990687,2101214.959999999962747,2141456.000000000000000,2305044.600000000558794,10726356.800000000745058
20170316,2143733.099999999627471,2038108.810000000055879,2102858.059999999590218,2131488.000000000000000,2308120.680000000633299,10724308.649999998509884
20170317,2144692.599999999627471,2027496.230000000214204,2113702.519999999552965,2154448.000000000000000,2313247.479999999515712,10753586.829999998211861
20170320,2162923.099999999627471,2034732.080000000074506,2116002.860000000335276,2161728.000000000000000,2286075.440000000409782,10761461.480000000447035
20170321,2144500.700000000186265,2050168.560000000055879,2111730.799999999813735,2151872.000000000000000,2257365.360000000335276,10715637.419999998062849
20170322,2150833.400000000372529,2044379.880000000121072,2121260.780000000260770,2152880.000000000000000,2269157.000000000000000,10738511.060000000521541
20170323,2153903.799999999813735,2034249.690000000176951,2119617.679999999701977,2151984.000000000000000,2277872.559999999590218,10737627.730000000447035
20170324,2151984.799999999813735,2031837.739999999990687,2125204.219999999739230,2144928.000000000000000,2286331.780000000260770,10740286.539999999105930
20170327,2156590.399999999441206,2041485.540000000037253,2127668.870000000111759,2132832.000000000000000,2280179.620000000111759,10738756.429999999701977
20170328,2169447.700000000186265,2046791.830000000074506,2127011.629999999888241,2139104.000000000000000,2284537.400000000372529,10766892.560000000521541
20170329,2159468.900000000372529,2046309.440000000176951,2116988.719999999739230,2135632.000000000000000,2286075.440000000409782,10744474.500000000000000
20170330,2171942.400000000372529,2054992.460000000195578,2124875.599999999627471,2142352.000000000000000,2281717.660000000149012,10775880.120000001043081
20170331,2175972.299999999813735,2047274.219999999972060,2129640.589999999850988,2142912.000000000000000,2278128.900000000372529,10773928.009999999776483
20170403,2172326.200000000186265,2045827.049999999813735,2129640.589999999850988,2136080.000000000000000,2290689.559999999590218,10774563.399999998509884
20170404,2169255.799999999813735,2058851.580000000074506,2124382.669999999925494,2130144.000000000000000,2275821.839999999850988,10758455.890000000596046
20170405,2168488.200000000186265,2053545.290000000037253,2142785.389999999664724,2130704.000000000000000,2282230.339999999850988,10777753.219999998807907
20170406,2169447.700000000186265,2058369.190000000176951,2138513.330000000074506,2126784.000000000000000,2283768.379999999888241,10776882.600000001490116
20170407,2160428.400000000372529,2055474.850000000093132,2135391.440000000409782,2127904.000000000000000,2274796.479999999515712,10753995.170000001788139
20170410,2157549.900000000372529,2059333.969999999972060,2135720.059999999590218,2124768.000000000000000,2277872.559999999590218,10755244.489999998360872
20170411,2169831.500000000000000,2057886.799999999813735,2155765.879999999888241,2128800.000000000000000,2277616.219999999739230,10789900.399999998509884
20170412,2169255.799999999813735,2071393.719999999972060,2156751.740000000223517,2124656.000000000000000,2273258.440000000409782,10795315.699999999254942
20170413,2172326.200000000186265,2064157.870000000111759,2148536.240000000223517,2112896.000000000000000,2278128.900000000372529,10776045.210000000894070
20170417,2183456.400000000372529,2077664.790000000037253,2158230.530000000260770,2132048.000000000000000,2302224.860000000335276,10853624.580000001937151
20170418,2191324.299999999813735,2097442.779999999795109,2173839.980000000447035,2130480.000000000000000,2300174.140000000596046,10893261.200000001117587
20170419,2182496.900000000372529,2085383.029999999795109,2179426.519999999552965,2126112.000000000000000,2300686.820000000298023,10874105.269999999552965
20170420,2202838.299999999813735,2078629.570000000298023,2189778.049999999813735,2141008.000000000000000,2336574.419999999925494,10948828.339999999850988
20170421,2196121.799999999813735,2077664.790000000037253,2192078.389999999664724,2144816.000000000000000,2336574.419999999925494,10947255.400000000372529
20170424,2181921.200000000186265,2087794.980000000214204,2205551.809999999590218,2175392.000000000000000,2354518.219999999739230,11005178.210000000894070
20170425,2210322.400000000372529,2079594.350000000093132,2328291.379999999888241,2185472.000000000000000,2361183.059999999590218,11164863.189999997615814
20170426,2217998.400000000372529,2085865.420000000158325,2314160.719999999739230,2184016.000000000000000,2353749.200000000186265,11155789.739999998360872
20170427,2222987.799999999813735,2074770.449999999953434,2314653.650000000372529,2196448.000000000000000,2348109.719999999739230,11156969.620000001043081
20170428,2218382.200000000186265,2081523.909999999916181,2299208.509999999776483,2193312.000000000000000,2338368.799999999813735,11130795.420000001788139
20170501,2201686.900000000372529,2084900.639999999897555,2319254.330000000074506,2181888.000000000000000,2339394.160000000149012,11127124.030000001192093
20170502,2194778.500000000000000,2093101.270000000018626,2320568.809999999590218,2201152.000000000000000,2372205.680000000633299,11181806.259999997913837
20170503,2142006.000000000000000,2089724.540000000037253,2343407.900000000372529,2213472.000000000000000,2369642.280000000260770,11158252.720000002533197
20170504,2133370.500000000000000,2106125.799999999813735,2357045.629999999888241,2234528.000000000000000,2374256.400000000372529,11205326.330000000074506
20170505,2149106.299999999813735,2107572.969999999739230,2365425.440000000409782,2233296.000000000000000,2360670.379999999888241,11216071.089999999850988
20170508,2138168.000000000000000,2117220.770000000018626,2370026.120000000111759,2224896.000000000000000,2356312.600000000558794,11206623.490000002086163
20170509,2150641.500000000000000,2098889.950000000186265,2371997.839999999850988,2217168.000000000000000,2358363.320000000298023,11197060.609999999403954
20170510,2104393.599999999627471,2101784.290000000037253,2374626.799999999813735,2202384.000000000000000,2364771.820000000298023,11147960.509999999776483
20170511,2102858.400000000372529,2106608.189999999944121,2369533.190000000409782,2203616.000000000000000,2360926.719999999739230,11143542.500000000000000
20170512,2104969.299999999813735,2102749.070000000298023,2388428.839999999850988,2201600.000000000000000,2377076.140000000596046,11174823.350000001490116
20170515,2094222.899999999906868,2109502.529999999795109,2403545.360000000335276,2213472.000000000000000,2389893.140000000596046,11210635.929999999701977
20170516,2072154.400000000139698,2115291.209999999962747,2420140.669999999925494,2216608.000000000000000,2387842.419999999925494,11212036.700000001117587
20170517,2040107.100000000093132,2119150.330000000074506,2405681.389999999664724,2182224.000000000000000,2352211.160000000149012,11099373.980000000447035
20170518,2047207.400000000139698,2112879.259999999776483,2415539.990000000223517,2186704.000000000000000,2350929.459999999962747,11113260.109999999403954
20170519,2063326.999999999767169,2117703.160000000149012,2434271.330000000074506,2192976.000000000000000,2370667.640000000596046,11178945.130000000819564
20170522,2065437.899999999906868,2131210.080000000074506,2434928.570000000298023,2223328.000000000000000,2391943.860000000335276,11246848.410000000149012
20170523,2053731.999999999767169,2141340.270000000018626,2428849.099999999627471,2214592.000000000000000,2406042.559999999590218,11244555.929999999701977
20170524,2066973.099999999860302,2172213.229999999981374,2456453.179999999701977,2211904.000000000000000,2430394.860000000335276,11337938.370000001043081
20170525,2058529.499999999767169,2190544.049999999813735,2461053.860000000335276,2234864.000000000000000,2436290.680000000633299,11381282.089999999850988
20170526,2080406.099999999860302,2189579.270000000018626,2462368.339999999850988,2247520.000000000000000,2426806.100000000558794,11406679.810000002384186
20170530,2079062.800000000046566,2191508.830000000074506,2463518.509999999776483,2267344.000000000000000,2428087.799999999813735,11429521.940000001341105
20170531,2071386.799999999813735,2193438.390000000130385,2479292.269999999552965,2290080.000000000000000,2441161.140000000596046,11475358.599999999627471
20170601,2076568.099999999860302,2208874.870000000111759,2503938.769999999552965,2288736.000000000000000,2445518.919999999925494,11523636.659999998286366
20170602,2056802.400000000139698,2213698.770000000018626,2526120.620000000111759,2315056.000000000000000,2464744.419999999925494,11576422.209999999031425
20170605,2044136.999999999767169,2218522.669999999925494,2510511.169999999925494,2309680.000000000000000,2474998.019999999552965,11557848.859999999403954
20170606,2024563.199999999953434,2218040.279999999795109,2484878.809999999590218,2300608.000000000000000,2455516.180000000633299,11483606.469999998807907
20170607,2032623.000000000000000,2195367.950000000186265,2496544.820000000298023,2296128.000000000000000,2463206.379999999888241,11483870.149999998509884
20170608,2001918.999999999767169,2177037.130000000353903,2488165.009999999776483,2306544.000000000000000,2463206.379999999888241,11436871.519999999552965
20170609,2026866.000000000000000,2186202.540000000037253,2488986.559999999590218,2317632.000000000000000,2423986.360000000335276,11443673.460000000894070
20170612,2054115.800000000046566,2186684.930000000167638,2439529.250000000000000,2322784.000000000000000,2396814.320000000298023,11399928.300000000745058
20170613,2044904.600000000093132,2172213.229999999981374,2461711.099999999627471,2342048.000000000000000,2437316.040000000037253,11458192.969999998807907
20170614,2036844.800000000046566,2185237.759999999776483,2475841.759999999776483,2352128.000000000000000,2443468.200000000186265,11493520.519999999552965
20170615,2033774.400000000139698,2182825.810000000055879,2483892.950000000186265,2366464.000000000000000,2413989.100000000558794,11480946.260000001639128
20170616,2024755.100000000093132,2185720.150000000372529,2497366.370000000111759,2388304.000000000000000,2413989.100000000558794,11510134.720000002533197
20170619,2022068.500000000000000,2189096.880000000353903,2516262.019999999552965,2389648.000000000000000,2429882.180000000633299,11546957.580000001937151
20170620,1994626.799999999813735,2200191.850000000093132,2531542.849999999627471,2389648.000000000000000,2419372.240000000223517,11535381.740000000223517
20170621,2011130.199999999953434,2181378.640000000130385,2525956.309999999590218,2384048.000000000000000,2423473.680000000633299,11525986.829999998211861
20170622,2000000.000000000000000,2174142.790000000037253,2543537.480000000447035,2376880.000000000000000,2408349.620000000111759,11502909.890000000596046
20170623,2002686.599999999860302,2182825.810000000055879,2540908.519999999552965,2384496.000000000000000,2450133.040000000037253,11561049.969999998807907
20170626,2025906.499999999767169,2191508.830000000074506,2529735.440000000409782,2381248.000000000000000,2440904.799999999813735,11569303.570000000298023
20170627,2022836.099999999860302,2173178.009999999776483,2525792.000000000000000,2349552.000000000000000,2432701.919999999925494,11504060.029999999329448
20170628,2050661.599999999860302,2186202.540000000037253,2535321.980000000447035,2358960.000000000000000,2466795.140000000596046,11597941.260000001639128
20170629,2028593.099999999860302,2162565.430000000167638,2516097.709999999962747,2327936.000000000000000,2420397.600000000558794,11455589.839999999850988
20170630,2038955.699999999953434,2163530.209999999962747,2516590.639999999664724,2331744.000000000000000,2403991.839999999850988,11454812.390000000596046
