代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11453032.519999999552965
真實報酬,1453032.519999999552965

夏普值報酬,0.136603252000000
夏普值風險,0.045561983896556
夏普值,2.998184897087544

預期報酬,10923.414922330943227
風險,263724.029705066932365
趨勢值,0.041419869605917
找到最佳解世代,1967
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](1),V[25](2),
Stock#,NKE[19](1),V[25](2),
張數,99661,76440,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,7.629999999888241,59.600000000558794,
20150401,4961132.209999999962747,4982418.800000000745058,9943551.010000001639128
20150402,4966115.259999999776483,4990827.200000001117587,9956942.460000000894070
20150406,4970101.699999999254942,4983947.600000000558794,9954049.300000000745058
20150407,4964122.040000000037253,5029811.600000000558794,9993933.640000000596046
20150408,5024915.250000000000000,5083319.600000000558794,10108234.850000001490116
20150409,5018935.589999999850988,5078733.200000000186265,10097668.789999999105930
20150410,4982061.020000000484288,5071089.200000001117587,10053150.220000002533197
20150413,4947179.669999999925494,5015288.000000000931323,9962467.670000001788139
20150414,4960135.600000000558794,5009172.800000000745058,9969308.400000002235174
20150415,4975084.750000000000000,5020638.800000000745058,9995723.550000000745058
20150416,4978074.580000000074506,5018345.600000000558794,9996420.179999999701977
20150417,4911301.709999999962747,4931968.400000000372529,9843270.109999999403954
20150420,4983057.629999999888241,4947256.400000000372529,9930314.030000001192093
20150421,4998006.779999999329448,4995413.600000000558794,9993420.379999998956919
20150422,4991030.509999999776483,5198744.000000000931323,10189774.510000001639128
20150423,5038867.790000000037253,5176576.400000000372529,10215444.190000001341105
20150424,5030894.909999999217689,5158230.800000000745058,10189125.710000000894070
20150427,5029898.299999999813735,5129183.600000000558794,10159081.900000000372529
20150428,4976081.359999999403954,5103958.400000000372529,10080039.759999999776483
20150429,4992027.120000000111759,5147529.200000001117587,10139556.320000000298023
20150430,4925254.250000000000000,5048921.600000000558794,9974175.850000001490116
20150501,5021925.419999999925494,5027518.400000000372529,10049443.820000000298023
20150504,5024915.250000000000000,5012994.800000000745058,10037910.050000000745058
20150505,5003986.440000000409782,5042042.000000000000000,10046028.440000001341105
20150506,4994020.339999999850988,5019874.400000000372529,10013894.740000000223517
20150507,5055810.159999999217689,5089434.800000000745058,10145244.960000000894070
20150508,5104644.049999999813735,5310346.400000000372529,10414990.449999999254942
20150511,5122583.029999999329448,5275948.400000000372529,10398531.429999999701977
20150512,5101654.219999999739230,5250723.200000000186265,10352377.419999999925494
20150513,5090691.509999999776483,5247665.600000000558794,10338357.109999999403954
20150514,5154474.549999999813735,5350859.600000000558794,10505334.150000000372529
20150515,5231213.520000000484288,5317990.400000000372529,10549203.920000001788139
20150518,5220250.810000000521541,5350859.600000000558794,10571110.410000000149012
20150519,5214271.150000000372529,5363090.000000000000000,10577361.150000000372529
20150520,5213274.540000000037253,5334042.800000000745058,10547317.339999999850988
20150521,5202311.830000000074506,5302702.400000001303852,10505014.230000000447035
20150522,5204305.049999999813735,5321812.400000001303852,10526117.450000001117587
20150526,5153477.940000000409782,5239257.200000001117587,10392735.140000000596046
20150527,5124576.250000000000000,5311875.200000000186265,10436451.449999999254942
20150528,5097667.779999999329448,5317226.000000000931323,10414893.780000001192093
20150529,5066772.870000000111759,5249958.800000000745058,10316731.670000001788139
20150601,5070759.310000000521541,5282828.000000000931323,10353587.310000002384186
20150602,5088698.290000000037253,5277477.200000001117587,10366175.490000002086163
20150603,5108630.489999999292195,5270597.600000000558794,10379228.089999999850988
20150604,5080725.409999999217689,5214032.000000000000000,10294757.410000000149012
20150605,5084711.850000000558794,5226262.400000001303852,10310974.250000001862645
20150608,5054813.549999999813735,5173518.800000000745058,10228332.350000001490116
20150609,5050827.109999999403954,5194157.600000000558794,10244984.710000000894070
20150610,5149491.500000000000000,5322576.799999999813735,10472068.300000000745058
20150611,5176399.969999999739230,5323341.200000000186265,10499741.169999999925494
20150612,5171416.919999999925494,5299644.800000000745058,10471061.720000000670552
20150615,5150488.109999999403954,5241550.400000000372529,10392038.509999999776483
20150616,5210284.709999999962747,5275184.000000000931323,10485468.710000000894070
20150617,5220250.810000000521541,5255309.600000000558794,10475560.410000000149012
20150618,5282040.629999999888241,5312639.600000000558794,10594680.230000000447035
20150619,5308949.100000000558794,5250723.200000000186265,10559672.300000000745058
20150622,5321905.029999999329448,5281299.200000001117587,10603204.230000000447035
20150623,5341837.230000000447035,5306524.400000000372529,10648361.630000000819564
20150624,5293003.339999999850988,5263718.000000000931323,10556721.339999999850988
20150625,5243172.839999999850988,5245372.400000001303852,10488545.240000002086163
20150626,5467410.089999999850988,5255309.600000000558794,10722719.690000001341105
20150629,5365755.870000000111759,5100136.400000000372529,10465892.269999999552965
20150630,5382698.239999999292195,5133005.600000000558794,10515703.839999999850988
20150701,5453457.549999999813735,5186513.600000000558794,10639971.150000000372529
20150702,5475382.969999999739230,5216325.200000000186265,10691708.169999999925494
20150706,5473389.750000000000000,5207152.400000001303852,10680542.150000002235174
20150707,5546142.279999999329448,5180398.400000000372529,10726540.679999999701977
20150708,5445484.669999999925494,5100900.800000000745058,10546385.470000000670552
20150709,5453457.549999999813735,5125361.600000000558794,10578819.150000000372529
20150710,5507274.489999999292195,5230084.400000000372529,10737358.890000000596046
20150713,5601952.440000000409782,5314168.400000000372529,10916120.839999999850988
20150714,5597966.000000000000000,5358503.600000000558794,10956469.600000001490116
20150715,5576040.580000000074506,5352388.400000000372529,10928428.980000000447035
20150716,5597966.000000000000000,5394430.400000000372529,10992396.400000000372529
20150717,5620888.029999999329448,5418126.799999999813735,11039014.829999998211861
20150720,5637830.400000000372529,5557247.600000000558794,11195078.000000000000000
20150721,5630854.129999999888241,5505268.400000000372529,11136122.530000001192093
20150722,5685667.679999999701977,5501446.400000000372529,11187114.080000000074506
20150723,5680684.629999999888241,5484629.600000000558794,11165314.230000000447035
20150724,5630854.129999999888241,5717771.600000000558794,11348625.730000000447035
20150727,5568067.699999999254942,5645918.000000000931323,11213985.699999999254942
20150728,5654772.770000000484288,5713185.200000000186265,11367957.970000000670552
20150729,5726528.690000000409782,5810264.000000000931323,11536792.690000001341105
20150730,5731511.739999999292195,5838546.799999999813735,11570058.539999999105930
20150731,5741477.839999999850988,5759049.200000001117587,11500527.040000000968575
20150803,5722542.250000000000000,5791918.400000000372529,11514460.650000000372529
20150804,5769382.919999999925494,5753698.400000000372529,11523081.320000000298023
20150805,5818216.810000000521541,5731530.800000000745058,11549747.610000001266599
20150806,5736494.790000000037253,5624514.800000000745058,11361009.589999999850988
20150807,5706596.489999999292195,5672672.000000000000000,11379268.489999998360872
20150810,5748454.109999999403954,5685666.799999999813735,11434120.910000000149012
20150811,5703606.659999999217689,5607698.000000000931323,11311304.660000000149012
20150812,5633843.959999999962747,5621457.200000001117587,11255301.160000000149012
20150813,5660752.429999999701977,5651268.800000000745058,11312021.230000000447035
20150814,5698623.609999999403954,5673436.400000000372529,11372060.009999999776483
20150817,5729518.520000000484288,5687960.000000000000000,11417478.519999999552965
20150818,5721545.639999999664724,5692546.400000000372529,11414092.039999999105930
20150819,5728521.909999999217689,5687195.600000000558794,11415717.509999999776483
20150820,5595972.779999999329448,5652797.600000000558794,11248770.379999998956919
20150821,5325891.469999999739230,5441823.200000000186265,10767714.669999999925494
20150824,5176399.969999999739230,5225498.000000000931323,10401897.970000000670552
20150825,5159457.600000000558794,5119246.400000000372529,10278704.000000000000000
20150826,5419572.810000000521541,5403603.200000000186265,10823176.010000001639128
20150827,5611918.540000000037253,5534315.600000000558794,11146234.140000000596046
20150828,5605938.879999999888241,5538902.000000000000000,11144840.879999998956919
20150831,5569064.310000000521541,5450231.600000000558794,11019295.910000000149012
20150901,5413593.150000000372529,5271362.000000000000000,10684955.150000000372529
20150902,5516243.980000000447035,5321812.400000001303852,10838056.380000002682209
20150903,5524216.859999999403954,5381435.600000000558794,10905652.460000000894070
20150904,5466413.480000000447035,5286650.000000000000000,10753063.480000000447035
20150908,5569064.310000000521541,5391372.800000000745058,10960437.110000001266599
20150909,5474386.359999999403954,5320283.600000000558794,10794669.960000000894070
20150910,5500298.219999999739230,5368440.800000000745058,10868739.019999999552965
20150911,5572054.139999999664724,5408954.000000000931323,10981008.140000000596046
20150914,5576040.580000000074506,5351624.000000000931323,10927664.580000001937151
20150915,5672711.750000000000000,5389844.000000000931323,11062555.750000000000000
20150916,5759416.819999999366701,5426535.200000000186265,11185952.019999999552965
20150917,5744467.669999999925494,5424242.000000000000000,11168709.669999999925494
20150918,5733504.959999999962747,5334807.200000001117587,11068312.160000000149012
20150921,5808250.709999999962747,5410482.800000000745058,11218733.510000001639128
20150922,5779349.020000000484288,5369969.600000000558794,11149318.620000001043081
20150923,5752440.549999999813735,5423477.600000000558794,11175918.150000000372529
20150924,5720549.029999999329448,5369205.200000000186265,11089754.230000000447035
20150925,6228820.129999999888241,5403603.200000000186265,11632423.330000000074506
20150928,6086304.900000000372529,5136827.600000000558794,11223132.500000000000000
20150929,5963721.870000000111759,5238492.800000000745058,11202214.670000001788139
20150930,6128162.520000000484288,5324870.000000000000000,11453032.519999999552965
