代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11215399.879999998956919
真實報酬,1215399.879999998956919

夏普值報酬,0.112839988000000
夏普值風險,0.035820192642799
夏普值,3.150178144636118

預期報酬,11054.886075185500886
風險,143282.558114295214182
趨勢值,0.077154443783500
找到最佳解世代,2411
找到最佳解實驗#,1
找到最佳解次數,25

stock[index](rank)
投資組合檔數,4
JNJ[12](3),JPM[13](4),MRK[17](1),PG[21](7),
Stock#,JNJ[12](3),JPM[13](4),MRK[17](1),PG[21](7),
張數,23105,42215,47250,30372,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,39.000000000000000,27.700000000186265,2.500000000000000,80.679999999701977,
20160401,2522873.949999999720603,2527439.750000000000000,2537327.500000000000000,2537053.839999999850988,10124695.039999999105930
20160404,2509010.950000000186265,2499155.700000000186265,2570402.500000000000000,2527334.799999999348074,10105903.949999999254942
20160405,2517328.750000000000000,2463695.100000000093132,2562842.500000000000000,2525816.199999999720603,10069682.549999998882413
20160406,2528188.100000000093132,2482691.850000000093132,2628520.000000000000000,2545558.000000000000000,10184957.949999999254942
20160407,2524722.350000000093132,2419791.500000000000000,2618597.500000000000000,2528245.959999999497086,10091357.309999998658895
20160408,2520794.500000000000000,2437521.800000000279397,2615762.500000000000000,2527031.079999999608845,10101109.880000000819564
20160411,2517790.850000000093132,2456940.700000000186265,2601115.000000000000000,2512756.239999999757856,10088602.790000000968575
20160412,2532347.000000000000000,2502532.900000000372529,2614817.500000000000000,2515793.439999999478459,10165490.839999999850988
20160413,2538585.350000000093132,2608492.550000000279397,2644112.500000000000000,2504555.799999999348074,10295746.199999999254942
20160414,2537892.200000000186265,2642264.550000000279397,2667265.000000000000000,2490888.399999999906868,10338310.150000000372529
20160415,2545747.900000000372529,2611869.750000000000000,2652617.500000000000000,2499696.279999999795109,10309931.429999999701977
20160418,2563076.650000000372529,2628755.750000000465661,2670100.000000000000000,2515793.439999999478459,10377725.839999999850988
20160419,2603510.400000000372529,2673081.500000000000000,2686637.500000000000000,2529460.839999999850988,10492690.240000000223517
20160420,2624304.899999999906868,2711919.299999999813735,2673407.500000000000000,2476917.279999999795109,10486548.979999998584390
20160421,2624073.849999999627471,2684901.700000000186265,2674352.500000000000000,2454138.279999999795109,10437466.330000000074506
20160422,2618297.599999999627471,2700521.250000000000000,2680967.500000000000000,2458694.079999999608845,10458480.429999999701977
20160425,2622687.550000000279397,2684901.700000000186265,2656397.500000000000000,2472665.199999999720603,10436651.949999999254942
20160426,2608824.549999999813735,2698832.650000000372529,2647892.500000000000000,2416173.279999999795109,10371722.980000000447035
20160427,2605589.850000000093132,2706431.350000000093132,2660650.000000000000000,2426499.759999999776483,10399170.960000000894070
20160428,2598889.399999999906868,2684901.700000000186265,2633717.500000000000000,2422551.399999999906868,10340060.000000000000000
20160429,2589647.399999999906868,2668015.700000000186265,2591192.500000000000000,2433485.319999999832362,10282340.919999999925494
20160502,2605127.750000000000000,2692922.550000000279397,2612927.500000000000000,2459301.519999999552965,10370279.320000000298023
20160503,2603741.449999999720603,2640998.100000000093132,2602532.500000000000000,2463249.879999999422580,10310521.929999999701977
20160504,2592882.100000000093132,2640998.100000000093132,2589775.000000000000000,2478435.879999999422580,10302091.080000000074506
20160505,2608131.399999999906868,2585274.300000000279397,2555755.000000000000000,2469324.279999999795109,10218484.980000000447035
20160506,2604896.699999999720603,2600471.700000000186265,2532602.500000000000000,2494533.039999999571592,10232503.939999999478459
20160509,2627539.600000000093132,2584007.850000000093132,2556227.500000000000000,2494229.319999999832362,10262004.269999999552965
20160510,2649489.350000000093132,2619046.300000000279397,2583632.500000000000000,2505163.239999999757856,10357331.390000000596046
20160511,2642557.850000000093132,2609336.850000000093132,2566150.000000000000000,2495140.479999999981374,10313185.179999999701977
20160512,2639323.149999999906868,2607648.250000000465661,2557172.500000000000000,2503037.199999999720603,10307181.099999999627471
20160513,2623842.800000000279397,2583585.700000000186265,2545832.500000000000000,2467198.239999999757856,10220459.240000000223517
20160516,2644175.199999999720603,2603004.600000000093132,2582215.000000000000000,2479347.039999999571592,10308741.839999999850988
20160517,2630081.149999999906868,2603004.600000000093132,2566622.500000000000000,2448671.319999999832362,10248379.570000000298023
20160518,2624535.950000000186265,2703476.300000000279397,2583160.000000000000000,2425284.879999999422580,10336457.129999998956919
20160519,2607438.250000000000000,2676036.550000000279397,2578907.500000000000000,2435611.359999999403954,10297993.660000000149012
20160520,2602586.200000000186265,2681102.350000000093132,2603950.000000000000000,2430448.119999999646097,10318086.669999999925494
20160523,2591495.799999999813735,2678991.600000000093132,2594972.500000000000000,2435915.079999999608845,10301374.980000000447035
20160524,2603741.449999999720603,2724583.800000000279397,2627102.500000000000000,2459301.519999999552965,10414729.269999999552965
20160525,2618990.750000000000000,2765954.500000000000000,2672935.000000000000000,2474791.239999999757856,10532671.490000000223517
20160526,2608593.500000000000000,2745269.150000000372529,2664430.000000000000000,2466894.519999999552965,10485187.169999999925494
20160527,2612290.300000000279397,2762155.150000000372529,2668682.500000000000000,2473272.640000000130385,10516400.590000001713634
20160531,2603741.449999999720603,2755400.750000000000000,2658287.500000000000000,2461427.560000000055879,10478857.259999999776483
