代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11219816.660000000149012
真實報酬,1219816.660000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16013.777274793756078
風險,149339.124450773379067
起點值,0.107230957283886
找到最佳解世代,1977
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](2),VZ[26](1),WMT[28](3),
Stock#,TRV[22](2),VZ[26](1),WMT[28](3),
張數,56182,86535,54324,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,54.939999999944121,4.799999999813735,12.359999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3330523.899999999906868,3328140.899999999906868,3294762.959999999962747,9953428.759999999776483
FS( 3 ),3327152.979999999981374,3322083.449999999720603,3273576.599999999627471,9922814.029999999329448
FS( 4 ),3308051.100000000093132,3258912.899999999441206,3295849.439999999944121,9862814.439999999478459
FS( 5 ),3261420.039999999571592,3241605.899999999906868,3266514.479999999981374,9769541.419999999925494
FS( 6 ),3244565.439999999944121,3184492.799999999348074,3255649.679999999701977,9684708.919999998062849
FS( 7 ),3268161.879999999888241,3234683.100000000093132,3248587.559999999590218,9751433.539999999105930
FS( 8 ),3320411.140000000130385,3249394.049999999348074,3267057.719999999739230,9836863.910000000149012
FS( 9 ),3265352.779999999795109,3224298.899999999441206,3246957.839999999850988,9736610.519999999552965
FS( 10 ),3323782.059999999590218,3239009.849999999627471,3290960.279999999795109,9853753.189999999478459
FS( 11 ),3370413.120000000111759,3265835.700000000186265,3361038.239999999757856,9997288.060000000521541
FS( 12 ),3341198.479999999981374,3258912.899999999441206,3371359.799999999813735,9971472.179999999701977
FS( 13 ),3466484.340000000316650,3301315.049999999813735,3354519.359999999869615,10122319.750000000000000
FS( 14 ),3525475.439999999944121,3351505.349999999627471,3392546.160000000149012,10269527.949999999254942
FS( 15 ),3534464.559999999590218,3337659.750000000000000,3234463.319999999832362,10106588.629999998956919
FS( 16 ),3560308.279999999795109,3418137.299999999813735,3138309.839999999850988,10116756.419999999925494
FS( 17 ),3583342.899999999906868,3416406.599999999627471,3116037.000000000000000,10115787.500000000000000
FS( 18 ),3638963.079999999608845,3473519.699999999720603,3202412.160000000149012,10314895.939999999478459
FS( 19 ),3596264.760000000242144,3481307.849999999627471,3206758.080000000074506,10284331.689999999478459
FS( 20 ),3613681.179999999701977,3494288.100000000093132,3200239.199999999720603,10308209.479999998584390
FS( 21 ),3629412.139999999664724,3509864.399999999906868,3208931.040000000037253,10348208.579999998211861
FS( 22 ),3637277.619999999646097,3513325.799999999813735,3205671.599999999627471,10356276.019999999552965
FS( 23 ),3637839.439999999944121,3516787.199999999720603,3204585.120000000111759,10359212.759999999776483
FS( 24 ),3623793.939999999944121,3483903.899999999441206,3188831.160000000149012,10296530.000000000000000
FS( 25 ),3628850.320000000298023,3507268.350000000093132,3215449.919999999925494,10351569.589999999850988
FS( 26 ),3617613.919999999925494,3508999.049999999348074,3207844.559999999590218,10334458.529999997466803
FS( 27 ),3591208.379999999888241,3483038.549999999813735,3206758.080000000074506,10281006.009999999776483
FS( 28 ),3631659.419999999925494,3508999.049999999348074,3215449.919999999925494,10356109.389999998733401
FS( 29 ),3630535.780000000260770,3561785.399999999441206,3227944.439999999944121,10420266.619999999180436
FS( 30 ),3622670.300000000279397,3538420.949999999720603,3208931.040000000037253,10370023.289999999105930
FS( 31 ),3604130.240000000223517,3552266.549999999348074,3224141.759999999776483,10380539.549999998882413
FS( 32 ),3573791.959999999962747,3537555.600000000093132,3215449.919999999925494,10326798.480000000447035
