代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12599632.220000000670552
真實報酬,2599632.220000000670552

夏普值報酬,0.251263222000000
夏普值風險,0.063160920038779
夏普值,3.978143792803070

二次趨勢線,55.869607338709855 x^2 + 13392.476317661898065 x + 10000000.000000000000000
二次加權預期報酬,22890.309565242576355
風險,255951.493413100397447
二次加權趨勢值,0.089432217253361
一次趨勢線,18734.925358238764602 x + 10000000.000000000000000
一次預期報酬,18734.925358238764602
一次風險,275429.598104435019195
一次趨勢值,0.068020741006691
找到最佳解世代,1794
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),UTX[24](2),VZ[26](5),
Stock#,AAPL[0](1),UTX[24](2),VZ[26](5),
張數,19234,26275,59122,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,80.799999999813735,86.500000000000000,34.639999999664724,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3455276.559999999590218,3399283.250000000000000,3323873.479999999515712,10178434.289999999105930
FS( 3 ),3511055.159999999683350,3451570.500000000465661,3371762.299999999813735,10334388.960000000894070
FS( 4 ),3562602.279999999795109,3459715.749999999534339,3401914.519999999552965,10424233.549999998882413
FS( 5 ),3657425.899999999906868,3472327.750000000000000,3384177.919999999925494,10513932.570000000298023
FS( 6 ),3704164.520000000018626,3363549.249999999534339,3319734.939999999478459,10387449.709999999031425
FS( 7 ),3747056.339999999850988,3230335.000000000000000,3359937.899999999441206,10337330.239999998360872
FS( 8 ),3735131.259999999776483,3260025.750000000000000,3391272.559999999590218,10386430.570000000298023
FS( 9 ),3734361.899999999906868,3279469.250000000000000,3406644.279999999329448,10420476.429999999701977
FS( 10 ),3707241.959999999962747,3292344.000000000000000,3445664.799999999813735,10445251.759999999776483
FS( 11 ),3729361.059999999590218,3264229.750000000000000,3407235.500000000000000,10400827.309999998658895
FS( 12 ),3817068.099999999627471,3327027.000000000000000,3389498.899999999441206,10533595.000000000000000
FS( 13 ),3805912.379999999888241,3330705.500000000000000,3407235.500000000000000,10543854.379999998956919
FS( 14 ),3836494.439999999944121,3416624.750000000000000,3390090.119999999646097,10643210.309999998658895
FS( 15 ),3823415.319999999832362,3382992.750000000000000,3415512.580000000074506,10621921.650000000372529
FS( 16 ),3819568.520000000018626,3420566.000000000000000,3445073.580000000074506,10685209.099999999627471
FS( 17 ),3761674.179999999701977,3390087.000000000465661,3429110.639999999664724,10580872.820000000298023
FS( 18 ),3843034.000000000000000,3356980.500000000000000,3369397.419999999925494,10569412.919999999925494
FS( 19 ),3841879.959999999962747,3388773.250000000000000,3384769.139999999664724,10615423.349999999627471
FS( 20 ),3806874.079999999608845,3421091.499999999534339,3377674.500000000000000,10605641.079999998211861
FS( 21 ),3876693.500000000000000,3451045.000000000000000,3349887.159999999683350,10677626.660000000149012
FS( 22 ),3899389.619999999646097,3467335.500000000000000,3436796.500000000000000,10803522.619999999180436
FS( 23 ),3931702.739999999757856,3494661.500000000000000,3436796.500000000000000,10863161.740000000223517
FS( 24 ),3928240.619999999646097,3482575.000000000000000,3447438.459999999962747,10858255.079999998211861
FS( 25 ),3847265.479999999981374,3438695.750000000000000,3422607.219999999739230,10708569.449999999254942
FS( 26 ),3870730.959999999962747,3426083.749999999534339,3335106.659999999683350,10631922.369999999180436
FS( 27 ),3909006.619999999646097,3427660.249999999534339,3369988.639999999664724,10706656.509999997913837
FS( 28 ),3880540.299999999813735,3451045.000000000000000,3365258.879999999888241,10696845.179999999701977
FS( 29 ),3910353.000000000000000,3513579.500000000000000,3381221.819999999366701,10805155.320000000298023
FS( 30 ),3947089.939999999944121,3500704.749999999534339,3404279.399999999441206,10852075.089999999850988
FS( 31 ),3933433.799999999813735,3499653.750000000000000,3394228.659999999683350,10827317.209999999031425
FS( 32 ),3911314.699999999720603,3418464.000000000000000,3382995.479999999515712,10712775.179999999701977
