代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10672797.219999998807907
真實報酬,672797.219999998807907

夏普值報酬,0.058579722000000
夏普值風險,0.036486547807216
夏普值,1.605515608369344

二次趨勢線,100.103149753760135 x^2 + -5042.436984116697204 x + 10000000.000000000000000
二次加權預期報酬,12108.569340360876595
風險,188834.498115358583163
二次加權趨勢值,0.064122654817891
一次趨勢線,4604.858008494702517 x + 10000000.000000000000000
一次預期報酬,4604.858008494702517
一次風險,264461.141806073021144
一次趨勢值,0.017412229173053
找到最佳解世代,2108
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),NKE[19](1),
Stock#,HD[9](2),NKE[19](1),
張數,43058,101255,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,105.040000000037253,28.099999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4997847.099999999627471,4960510.549999999813735,9958357.649999998509884
FS( 3 ),4941441.120000000111759,4937221.899999999441206,9878663.019999999552965
FS( 4 ),4990957.820000000298023,4984811.749999999068677,9975769.570000000298023
FS( 5 ),4928093.140000000596046,4906845.399999999441206,9834938.539999999105930
FS( 6 ),4962539.540000000037253,4933171.699999999254942,9895711.239999998360872
FS( 7 ),4846713.520000000484288,4886594.399999999441206,9733307.919999999925494
FS( 8 ),4868673.099999999627471,4826853.950000000186265,9695527.050000000745058
FS( 9 ),4999138.839999999850988,4912920.700000000186265,9912059.539999999105930
FS( 10 ),4944024.599999999627471,4851155.149999999441206,9795179.750000000000000
FS( 11 ),5016362.040000000037253,4882544.199999999254942,9898906.239999998360872
FS( 12 ),4976748.679999999701977,4887606.950000000186265,9864355.629999998956919
FS( 13 ),4998277.679999999701977,4937221.899999999441206,9935499.579999998211861
FS( 14 ),4958664.320000000298023,4977723.899999999441206,9936388.219999998807907
FS( 15 ),5058989.459999999962747,5163020.549999999813735,10222010.009999999776483
FS( 16 ),4997847.099999999627471,5136694.249999999068677,10134541.349999997764826
FS( 17 ),5001291.740000000223517,5096192.249999999068677,10097483.989999998360872
FS( 18 ),4894938.480000000447035,5012150.599999999627471,9907089.080000000074506
FS( 19 ),4838532.500000000000000,5029363.950000000186265,9867896.449999999254942
FS( 20 ),4902688.919999999925494,5056702.799999999813735,9959391.719999998807907
FS( 21 ),4935843.580000000074506,5108342.849999999627471,10044186.429999999701977
FS( 22 ),4891924.419999999925494,5079991.450000000186265,9971915.870000001043081
FS( 23 ),4871256.580000000074506,5040502.000000000000000,9911758.580000000074506
FS( 24 ),4931968.360000000335276,5045564.749999999068677,9977533.109999999403954
FS( 25 ),4949622.140000000596046,5049614.949999999254942,9999237.089999999850988
FS( 26 ),4921634.439999999478459,5043539.649999999441206,9965174.089999999850988
FS( 27 ),4977179.259999999776483,5105305.200000000186265,10082484.460000000894070
FS( 28 ),4933260.099999999627471,5099229.899999999441206,10032490.000000000000000
FS( 29 ),4962108.959999999962747,5061765.549999999813735,10023874.509999999776483
FS( 30 ),4927662.559999999590218,5026326.299999999813735,9953988.859999999403954
FS( 31 ),4910869.939999999478459,5039489.450000000186265,9950359.390000000596046
FS( 32 ),4885035.140000000596046,5054677.700000000186265,9939712.839999999850988
FS( 33 ),4881590.500000000000000,5057715.349999999627471,9939305.849999999627471
FS( 34 ),4826906.839999999850988,4989874.500000000000000,9816781.339999999850988
FS( 35 ),4859630.919999999925494,5062778.099999999627471,9922409.019999999552965
FS( 36 ),4872978.900000000372529,5077966.349999999627471,9950945.250000000000000
FS( 37 ),4865228.459999999962747,5070878.499999999068677,9936106.959999999031425
FS( 38 ),4906994.719999999739230,5119480.899999999441206,10026475.619999999180436
FS( 39 ),4895799.640000000596046,5111380.499999999068677,10007180.140000000596046
FS( 40 ),4796335.660000000149012,5110367.949999999254942,9906703.609999999403954
FS( 41 ),4761458.679999999701977,5055690.250000000000000,9817148.929999999701977
FS( 42 ),4680940.219999999739230,5071891.049999999813735,9752831.269999999552965
FS( 43 ),4606449.879999999888241,5004050.200000000186265,9610500.080000000074506
FS( 44 ),4717108.939999999478459,5102267.549999999813735,9819376.489999998360872
FS( 45 ),4739068.520000000484288,5105305.200000000186265,9844373.720000000670552
FS( 46 ),4652952.520000000484288,5084041.649999999441206,9736994.169999999925494
FS( 47 ),4663717.020000000484288,5073916.149999999441206,9737633.169999999925494
FS( 48 ),4738207.360000000335276,5136694.249999999068677,9874901.609999999403954
FS( 49 ),4842838.299999999813735,5186309.199999999254942,10029147.500000000000000
FS( 50 ),4818295.240000000223517,5204535.099999999627471,10022830.339999999850988
FS( 51 ),4844991.200000000186265,5183271.549999999813735,10028262.750000000000000
FS( 52 ),4787724.059999999590218,5172133.499999999068677,9959857.559999998658895
FS( 53 ),4820017.559999999590218,5236936.699999999254942,10056954.259999997913837
FS( 54 ),4880729.339999999850988,5314903.049999999813735,10195632.390000000596046
FS( 55 ),4922926.179999999701977,5303765.000000000000000,10226691.179999999701977
FS( 56 ),4837240.759999999776483,5297689.699999999254942,10134930.459999999031425
FS( 57 ),4826906.839999999850988,5296677.149999999441206,10123583.989999998360872
FS( 58 ),4823031.620000000111759,5285539.099999999627471,10108570.719999998807907
FS( 59 ),4829490.320000000298023,5287564.199999999254942,10117054.519999999552965
FS( 60 ),4776528.980000000447035,5235924.149999999441206,10012453.129999998956919
FS( 61 ),4829490.320000000298023,5206560.200000000186265,10036050.519999999552965
FS( 62 ),4830782.059999999590218,5179221.349999999627471,10010003.410000000149012
FS( 63 ),4797627.400000000372529,5147832.299999999813735,9945459.699999999254942
FS( 64 ),4808391.900000000372529,5151882.500000000000000,9960274.400000000372529
