代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12149302.190000001341105
真實報酬,2149302.190000001341105

夏普值報酬,0.206230219000000
夏普值風險,0.073522290215977
夏普值,2.805002651497721

二次趨勢線,175.680810589888097 x^2 + -1375.534342067869375 x + 10000000.000000000000000
二次加權預期報酬,27787.480215853556729
風險,172040.844372876628768
二次加權趨勢值,0.161516762587073
一次趨勢線,15028.396767228919998 x + 10000000.000000000000000
一次預期報酬,15028.396767228919998
一次風險,350214.187350523483474
一次趨勢值,0.042912015874980
找到最佳解世代,2232
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](10),INTC[11](5),UNH[23](8),
Stock#,BA[2](1),CSCO[4](10),INTC[11](5),UNH[23](8),
張數,32438,122910,116931,45837,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,3.340000000316650,10.600000000093132,15.220000000204891,50.020000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2512975.200000000186265,2513520.100000000093132,2492984.140000000130385,2383115.649999999906868,9902595.090000001713634
FS( 3 ),2520111.560000000055879,2517207.400000000372529,2474275.180000000167638,2387699.350000000093132,9899293.490000000223517
FS( 4 ),2469508.280000000260770,2493854.500000000000000,2484798.970000000204891,2387699.350000000093132,9835861.099999999627471
FS( 5 ),2404632.280000000260770,2496312.699999999720603,2466090.010000000242144,2356071.819999999832362,9723106.810000000521541
FS( 6 ),2489944.220000000670552,2495083.600000000093132,2508185.169999999925494,2400533.709999999962747,9893746.699999999254942
FS( 7 ),2500648.760000000242144,2512291.000000000465661,2549111.020000000484288,2434453.089999999850988,9996503.870000001043081
FS( 8 ),2438043.420000000391155,2517207.400000000372529,2572497.220000000204891,2421160.359999999869615,9948908.400000000372529
FS( 9 ),2483132.240000000223517,2577433.299999999813735,2572497.220000000204891,2445912.339999999850988,10078975.099999999627471
FS( 10 ),2495783.060000000055879,2578662.400000000372529,2558465.500000000000000,2457829.959999999962747,10090740.920000001788139
FS( 11 ),2411444.260000000242144,2584807.900000000372529,2585359.630000000353903,2459663.439999999944121,10041275.230000000447035
FS( 12 ),2441287.220000000670552,2574975.100000000093132,2652010.300000000279397,2493582.819999999832362,10161855.440000001341105
FS( 13 ),2434150.860000000335276,2583578.799999999813735,2484798.970000000204891,2500916.740000000223517,10003445.370000001043081
FS( 14 ),2405605.420000000391155,2565142.300000000279397,2475444.490000000223517,2567838.760000000242144,10014030.970000000670552
FS( 15 ),2409822.360000000335276,2534414.800000000279397,2468428.630000000353903,2562796.689999999944121,9975462.480000000447035
FS( 16 ),2443233.500000000000000,2583578.799999999813735,2449719.669999999925494,2577006.160000000149012,10053538.129999998956919
FS( 17 ),2433826.480000000447035,2599557.100000000093132,2450888.980000000447035,2568755.500000000000000,10053028.060000000521541
FS( 18 ),2400415.340000000316650,2588495.199999999720603,2461412.770000000484288,2558212.990000000223517,10008536.300000000745058
FS( 19 ),2389062.040000000502914,2554080.400000000372529,2488306.900000000372529,2579756.379999999888241,10011205.720000002533197
