代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11764011.919999998062849
真實報酬,1764011.919999998062849

夏普值報酬,0.167701192000000
夏普值風險,0.055088495602833
夏普值,3.044214407470118

二次趨勢線,146.657673762929761 x^2 + -3783.938949674204196 x + 10000000.000000000000000
二次加權預期報酬,21147.865590023859113
風險,109792.109511375572765
二次加權趨勢值,0.192617353689089
一次趨勢線,10239.985430856295352 x + 10000000.000000000000000
一次預期報酬,10239.985430856295352
一次風險,288746.039096932916436
一次趨勢值,0.035463639476691
找到最佳解世代,2468
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](15),BA[2](2),DIS[6](1),
Stock#,AAPL[0](15),BA[2](2),DIS[6](1),
張數,31431,25023,34889,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,75.450000000186265,19.169999999925494,37.939999999944121,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3283986.330000000540167,3293045.969999999739230,3314841.830000000074506,9891875.130000000819564
FS( 3 ),3325160.940000000409782,3299802.180000000167638,3352521.950000000186265,9977486.070000000298023
FS( 4 ),3327675.420000000391155,3283287.000000000000000,3320075.179999999701977,9931038.599999999627471
FS( 5 ),3378279.330000000540167,3296298.959999999497086,3343450.810000000055879,10018030.099999999627471
FS( 6 ),3406252.920000000391155,3307809.540000000037253,3340659.689999999944121,10054723.150000000372529
FS( 7 ),3420082.560000000055879,3318569.430000000167638,3372757.569999999832362,10111410.560000000521541
FS( 8 ),3394623.450000000186265,3310061.609999999869615,3414275.479999999981374,10118961.540000000968575
FS( 9 ),3392423.280000000260770,3328078.169999999925494,3411135.469999999739230,10131637.919999999925494
FS( 10 ),3400281.030000000260770,3330580.469999999739230,3378688.700000000186265,10109551.199999999254942
FS( 11 ),3441141.330000000540167,3369616.349999999627471,3387759.839999999850988,10198518.519999999552965
FS( 12 ),3437998.229999999981374,3378124.169999999925494,3380084.259999999776483,10196207.660000000149012
FS( 13 ),3432969.270000000018626,3371117.729999999981374,3379735.370000000111759,10183823.370000001043081
FS( 14 ),3428568.930000000167638,3378124.169999999925494,3372059.790000000037253,10178753.890000000596046
FS( 15 ),3437369.610000000335276,3364111.290000000037253,3362988.649999999906868,10164470.550000000745058
FS( 16 ),3410653.260000000242144,3377873.939999999944121,3344846.370000000111759,10133374.570000000298023
FS( 17 ),3421339.799999999813735,3356604.389999999664724,3348335.270000000018626,10126280.459999999031425
FS( 18 ),3395566.380000000353903,3335334.839999999850988,3343101.919999999925494,10074004.140000000596046
FS( 19 ),3381108.120000000111759,3327577.709999999497086,3333681.889999999664724,10042368.719999998807907
FS( 20 ),3361306.590000000316650,3308810.459999999497086,3321819.629999999888241,9991937.679999999701977
FS( 21 ),3357534.870000000111759,3325575.870000000111759,3309957.370000000111759,9993069.109999999403954
FS( 22 ),3331761.450000000186265,3273277.799999999813735,3309608.479999999981374,9914648.730000000447035
FS( 23 ),3334904.549999999813735,3239246.519999999552965,3295652.879999999888241,9869804.949999999254942
FS( 24 ),3354706.080000000540167,3250506.870000000111759,3288675.080000000074506,9893889.030000001192093
FS( 25 ),3386137.080000000540167,3282035.849999999627471,3294257.319999999832362,9962431.250000000000000
FS( 26 ),3385194.150000000372529,3327827.939999999944121,3272626.139999999664724,9985649.230000000447035
FS( 27 ),3405938.610000000335276,3319069.889999999664724,3269486.129999999888241,9994495.629999998956919
FS( 28 ),3316674.569999999832362,3325575.870000000111759,3282743.950000000186265,9924995.390000000596046
FS( 29 ),3241554.479999999981374,3216225.359999999869615,3224479.319999999832362,9682260.160000000149012
FS( 30 ),3314160.090000000316650,3256011.930000000167638,3267043.899999999906868,9837216.919999999925494
FS( 31 ),3393051.900000000372529,3221980.649999999906868,3234248.240000000223517,9849281.790000000968575
FS( 32 ),3513118.319999999832362,3194705.580000000074506,3218897.080000000074506,9926721.980000000447035
FS( 33 ),3632556.120000000111759,3197207.879999999888241,3227270.439999999944121,10057035.439999999478459
FS( 34 ),3612125.970000000204891,3170433.270000000018626,3229363.779999999795109,10011924.019999999552965
FS( 35 ),3570008.430000000167638,3189951.209999999962747,3231806.009999999776483,9991766.650000000372529
FS( 36 ),3569694.120000000111759,3197708.339999999850988,3242970.490000000223517,10010373.949999999254942
FS( 37 ),3569065.500000000000000,3267022.049999999813735,3223432.649999999906868,10059521.199999999254942
FS( 38 ),3602696.670000000391155,3299802.180000000167638,3259019.429999999701977,10161519.280000001192093
FS( 39 ),3542663.459999999962747,3297550.109999999869615,3254134.969999999739230,10094349.539999999105930
FS( 40 ),3548006.729999999981374,3267272.279999999795109,3208430.379999999888241,10023710.390000000596046
FS( 41 ),3554607.240000000223517,3286039.529999999795109,3200057.020000000018626,10040704.789999999105930
FS( 42 ),3581637.900000000372529,3308810.459999999497086,3216803.740000000223517,10107253.099999999627471
FS( 43 ),3526005.030000000260770,3278782.859999999869615,3202848.139999999664724,10007637.030000001192093
FS( 44 ),3553350.000000000000000,3296549.189999999944121,3239830.479999999981374,10089730.669999999925494
FS( 45 ),3536691.569999999832362,3312563.909999999683350,3226921.549999999813735,10076178.029999999329448
FS( 46 ),3551778.450000000186265,3309310.919999999925494,3230410.450000000186265,10091500.820000000298023
FS( 47 ),3553350.000000000000000,3369616.349999999627471,3225525.990000000223517,10148493.339999999850988
FS( 48 ),3579752.040000000037253,3363610.829999999608845,3238783.810000000055879,10182147.679999999701977
FS( 49 ),3585095.310000000055879,3349347.719999999739230,3226921.549999999813735,10161365.579999998211861
FS( 50 ),3647643.000000000000000,3399143.490000000223517,3226921.549999999813735,10273709.039999999105930
FS( 51 ),3655500.750000000000000,3346595.189999999944121,3204941.479999999981374,10207038.419999999925494
FS( 52 ),3688188.990000000223517,3332081.849999999627471,3189241.429999999701977,10209513.269999999552965
FS( 53 ),3676873.830000000540167,3337586.909999999683350,3179123.620000000111759,10193585.359999999403954
FS( 54 ),3697303.979999999981374,3340589.669999999925494,3185403.639999999664724,10223298.289999999105930
FS( 55 ),3694789.500000000000000,3353101.169999999925494,3169005.810000000055879,10216897.480000000447035
FS( 56 ),3692275.020000000018626,3380626.469999999739230,3180868.069999999832362,10253770.560000000521541
FS( 57 ),3681274.170000000391155,3407651.310000000055879,3207383.709999999962747,10296310.190000001341105
FS( 58 ),3679388.310000000055879,3399143.490000000223517,3210872.609999999869615,10289405.410000000149012
FS( 59 ),3664930.049999999813735,3393888.659999999683350,3245761.609999999869615,10304581.319999998435378
FS( 60 ),3697932.600000000558794,3439430.519999999552965,3257623.870000000111759,10394987.990000000223517
FS( 61 ),3716791.200000000186265,3478716.630000000353903,3235992.689999999944121,10431501.519999999552965
FS( 62 ),3633184.740000000223517,3641866.589999999850988,3261810.549999999813735,10536862.879999998956919
FS( 63 ),3598296.330000000540167,3586065.299999999813735,3280301.719999999739230,10464664.350000001490116
FS( 64 ),3574408.770000000018626,3578558.399999999906868,3274370.589999999850988,10427338.759999999776483
FS( 65 ),3568751.190000000409782,3564045.060000000055879,3233899.350000000093132,10366696.599999999627471
FS( 66 ),3504317.640000000130385,3563544.599999999627471,3223432.649999999906868,10291295.890000000596046
