代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10107561.910000000149012
真實報酬,107561.910000000149012

夏普值報酬,0.002056191000000
夏普值風險,0.043453040458899
夏普值,0.047319841794382

二次趨勢線,181.185915565583372 x^2 + -21265.626671560559771 x + 10000000.000000000000000
二次加權預期報酬,10019.141416096834291
風險,290396.975026133819483
二次加權趨勢值,0.034501535063150
一次趨勢線,-3668.206957073096874 x + 10000000.000000000000000
一次預期報酬,-3668.206957073096874
一次風險,447405.713913569925353
一次趨勢值,-1641176752.412012815475464
找到最佳解世代,2296
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](2),VZ[26](1),
Stock#,UNH[23](2),VZ[26](1),
張數,146886,184501,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.560000000521541,22.899999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4986780.260000000707805,5047970.259999999776483,10034750.519999999552965
FS( 3 ),5008813.160000001080334,5023985.129999999888241,10032798.290000000968575
FS( 4 ),4839894.260000000707805,5049815.269999999552965,9889709.530000001192093
FS( 5 ),4955934.200000001117587,5042435.229999999515712,9998369.429999999701977
FS( 6 ),4861927.160000001080334,5110700.599999999627471,9972627.760000001639128
FS( 7 ),4858989.440000000409782,5158670.859999999403954,10017660.300000000745058
FS( 8 ),4882491.200000001117587,5130995.709999999031425,10013486.910000000149012
FS( 9 ),4920681.560000000521541,5147600.799999998882413,10068282.359999999403954
FS( 10 ),4834018.820000000298023,5129150.699999999254942,9963169.519999999552965
FS( 11 ),4778202.140000000596046,5151290.819999999366701,9929492.960000000894070
FS( 12 ),4854582.860000000335276,5162360.879999999888241,10016943.740000000223517
FS( 13 ),4810517.060000000521541,5201106.089999999850988,10011623.150000000372529
FS( 14 ),4933901.300000000745058,5226936.229999999515712,10160837.530000001192093
FS( 15 ),5051410.100000000558794,5245386.329999999143183,10296796.429999999701977
FS( 16 ),4891304.360000000335276,5287821.559999999590218,10179125.919999999925494
FS( 17 ),4870740.320000000298023,5343171.859999999403954,10213912.179999999701977
FS( 18 ),4806110.480000000447035,5254611.379999999888241,10060721.859999999403954
FS( 19 ),4864864.879999999888241,5228781.239999999292195,10093646.119999999180436
FS( 20 ),4792890.740000001154840,5238006.289999999105930,10030897.030000001192093
FS( 21 ),4823736.800000000745058,5252766.369999999180436,10076503.169999999925494
FS( 22 ),4856051.720000000670552,5387452.099999999627471,10243503.820000000298023
FS( 23 ),4798766.180000000633299,5350551.899999999441206,10149318.080000000074506
FS( 24 ),4845769.700000001117587,5394832.139999998733401,10240601.839999999850988
FS( 25 ),4867802.600000000558794,5426197.309999999590218,10293999.910000000149012
FS( 26 ),4907461.820000000298023,5381917.069999999366701,10289378.890000000596046
FS( 27 ),4836956.540000000037253,5215866.169999998994172,10052822.709999999031425
FS( 28 ),4791421.879999999888241,5202951.099999999627471,9994372.980000000447035
FS( 29 ),4738542.919999999925494,5188191.019999999552965,9926733.939999999478459
FS( 30 ),4738542.919999999925494,5164205.889999998733401,9902748.809999998658895
FS( 31 ),4723854.320000000298023,5186346.009999999776483,9910200.330000000074506
FS( 32 ),4560810.860000000335276,5149445.809999999590218,9710256.669999999925494
