代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11592700.819999998435378
真實報酬,1592700.819999998435378

夏普值報酬,0.150570082000000
夏普值風險,0.043849592300358
夏普值,3.433785221277220

二次趨勢線,93.235102074832227 x^2 + -753.132615624920163 x + 10000000.000000000000000
二次加權預期報酬,15221.148206529673189
風險,148745.162186136643868
二次加權趨勢值,0.102330374869485
一次趨勢線,8232.264303400141216 x + 10000000.000000000000000
一次預期報酬,8232.264303400141216
一次風險,227735.971974556799978
一次趨勢值,0.036148282732953
找到最佳解世代,1666
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,4
AAPL[0](8),BA[2](3),CVX[5](7),JPM[13](1),
Stock#,AAPL[0](8),BA[2](3),CVX[5](7),JPM[13](1),
張數,25391,19776,24720,38057,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.140000000130385,115.839999999850988,66.399999999906868,35.669999999925494,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2481210.660000000149012,2508701.439999999944121,2485168.000000000000000,2504566.839999999850988,9979646.939999999478459
FS( 3 ),2486288.860000000335276,2519182.719999999739230,2488381.599999999627471,2460040.149999999906868,9953893.330000000074506
FS( 4 ),2504316.470000000204891,2608570.239999999757856,2500988.799999999813735,2484396.629999999888241,10098272.140000000596046
FS( 5 ),2514472.870000000111759,2609163.520000000018626,2554136.799999999813735,2476024.089999999850988,10153797.280000001192093
FS( 6 ),2512187.680000000167638,2630323.839999999850988,2548451.200000000186265,2483254.919999999925494,10174217.640000000596046
FS( 7 ),2530215.290000000502914,2632301.439999999944121,2541529.600000000093132,2464226.419999999925494,10168272.750000000000000
FS( 8 ),2509394.669999999925494,2593540.479999999515712,2521012.000000000000000,2429594.550000000279397,10053541.699999999254942
FS( 9 ),2471562.080000000074506,2569413.759999999776483,2523978.399999999906868,2407902.060000000055879,9972856.300000000745058
FS( 10 ),2474609.000000000000000,2580883.839999999850988,2503708.000000000000000,2362614.229999999981374,9921815.070000000298023
FS( 11 ),2466483.880000000353903,2574160.000000000000000,2487640.000000000000000,2358427.959999999962747,9886711.839999999850988
FS( 12 ),2476894.189999999944121,2558536.959999999962747,2498516.799999999813735,2367942.209999999962747,9901890.160000000149012
FS( 13 ),2420526.169999999925494,2567436.159999999683350,2510876.799999999813735,2370225.629999999888241,9869064.759999999776483
