代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11674838.469999998807907
真實報酬,1674838.469999998807907

夏普值報酬,0.158783847000000
夏普值風險,0.044788507902107
夏普值,3.545191711834839

二次趨勢線,116.532039314911486 x^2 + -3493.686290952053241 x + 10000000.000000000000000
二次加權預期報酬,16627.512497422663728
風險,126239.120922294227057
二次加權趨勢值,0.131714419238214
一次趨勢線,7824.319303513570958 x + 10000000.000000000000000
一次預期報酬,7824.319303513570958
一次風險,252695.686557257518871
一次趨勢值,0.030963406657678
找到最佳解世代,2195
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](1),PG[21](3),
Stock#,NKE[19](1),PG[21](3),
張數,137136,60723,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,21.439999999478459,68.179999999701977,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5004114.080000000074506,4974496.339999999850988,9978610.419999999925494
FS( 3 ),5026055.839999998919666,4961137.280000000260770,9987193.119999999180436
FS( 4 ),4954745.120000000111759,4926525.169999998994172,9881270.289999999105930
FS( 5 ),4949259.679999999701977,4984819.250000000000000,9934078.929999999701977
FS( 6 ),5009599.519999999552965,4989069.859999999403954,9998669.379999998956919
FS( 7 ),5037026.719999998807907,5003036.149999999441206,10040062.869999997317791
FS( 8 ),5117936.959999999962747,4962958.969999999739230,10080895.929999999701977
FS( 9 ),5115194.239999999292195,4955672.209999999962747,10070866.449999999254942
FS( 10 ),5045254.879999998956919,4928954.089999999850988,9974208.969999998807907
FS( 11 ),5001371.359999999403954,4890091.370000000111759,9891462.730000000447035
FS( 12 ),5069939.359999999403954,4877946.769999999552965,9947886.129999998956919
FS( 13 ),5106966.080000000074506,4853657.570000000298023,9960623.650000000372529
FS( 14 ),5023313.120000000111759,4871874.469999999739230,9895187.589999999850988
FS( 15 ),5087767.040000000037253,4887662.449999999254942,9975429.489999998360872
FS( 16 ),5134393.279999999329448,4897378.129999999888241,10031771.410000000149012
FS( 17 ),5200218.559999999590218,4889484.139999999664724,10089702.699999999254942
FS( 18 ),5253701.599999999627471,4862766.019999999552965,10116467.619999999180436
FS( 19 ),5230388.479999999515712,4863980.479999999515712,10094368.959999999031425
FS( 20 ),5237245.279999999329448,4882197.379999999888241,10119442.660000000149012
FS( 21 ),5274272.000000000000000,4905879.349999999627471,10180151.349999999627471
FS( 22 ),5260558.399999999441206,4879768.459999999962747,10140326.859999999403954
FS( 23 ),5181019.519999999552965,4853657.570000000298023,10034677.089999999850988
FS( 24 ),5220788.959999999962747,4849406.959999999962747,10070195.919999999925494
FS( 25 ),5202961.279999999329448,4864587.709999999962747,10067548.989999998360872
FS( 26 ),5227645.759999998845160,4859729.870000000111759,10087375.629999998956919
FS( 27 ),5257815.679999999701977,4863373.250000000000000,10121188.929999999701977
FS( 28 ),5233131.199999999254942,4867016.629999999888241,10100147.829999998211861
FS( 29 ),5152220.959999999962747,4861551.559999999590218,10013772.519999999552965
FS( 30 ),5127536.479999999515712,4843334.660000000149012,9970871.140000000596046
FS( 31 ),5116565.599999999627471,4836047.899999999441206,9952613.500000000000000
FS( 32 ),5112451.519999999552965,4839084.049999999813735,9951535.570000000298023
FS( 33 ),5149478.239999999292195,4832404.519999999552965,9981882.759999997913837
FS( 34 ),5224903.040000000037253,4845156.349999999627471,10070059.390000000596046
FS( 35 ),5186504.959999999962747,4872481.699999999254942,10058986.660000000149012
FS( 36 ),5149478.239999999292195,4853657.570000000298023,10003135.809999998658895
FS( 37 ),5174162.719999998807907,4828761.139999999664724,10002923.859999999403954
FS( 38 ),5141250.080000000074506,4797792.410000000149012,9939042.490000000223517
FS( 39 ),5244102.080000000074506,4816616.539999999105930,10060718.619999999180436
FS( 40 ),5270157.919999998994172,4774110.440000000409782,10044268.359999999403954
FS( 41 ),5326383.679999999701977,4798399.639999999664724,10124783.320000000298023
FS( 42 ),5318155.519999999552965,4772288.750000000000000,10090444.269999999552965
FS( 43 ),5348325.439999999478459,4814187.620000000111759,10162513.059999998658895
FS( 44 ),5334611.839999998919666,4831190.059999999590218,10165801.899999998509884
FS( 45 ),5379866.719999998807907,4856693.719999999739230,10236560.439999997615814
FS( 46 ),5393580.319999999366701,4869445.549999999813735,10263025.869999999180436
FS( 47 ),5326383.679999999701977,4891913.059999999590218,10218296.739999998360872
FS( 48 ),5396323.040000000037253,4959315.589999999850988,10355638.629999998956919
FS( 49 ),5314041.439999999478459,4955672.209999999962747,10269713.649999998509884
FS( 50 ),5300327.839999998919666,4928346.859999999403954,10228674.699999999254942
FS( 51 ),5345582.719999998807907,4938062.539999999105930,10283645.259999997913837
FS( 52 ),5351068.160000000149012,4934419.160000000149012,10285487.320000000298023
FS( 53 ),5274272.000000000000000,4914987.799999999813735,10189259.800000000745058
FS( 54 ),5248216.160000000149012,4882197.379999999888241,10130413.539999999105930
FS( 55 ),5315412.799999998882413,4891305.829999999143183,10206718.629999998956919
FS( 56 ),5267415.199999999254942,4874910.620000000111759,10142325.820000000298023
FS( 57 ),5282500.160000000149012,4863980.479999999515712,10146480.640000000596046
FS( 58 ),5305813.279999999329448,4857300.949999999254942,10163114.229999998584390
FS( 59 ),5389466.239999999292195,4873696.160000000149012,10263162.399999998509884
FS( 60 ),5329126.399999999441206,4831190.059999999590218,10160316.459999999031425
FS( 61 ),5375752.639999999664724,4812973.160000000149012,10188725.800000000745058
FS( 62 ),5355182.239999999292195,4775932.129999999888241,10131114.369999999180436
FS( 63 ),5459405.599999999627471,4746177.859999999403954,10205583.459999999031425
FS( 64 ),5289356.959999999962747,4695170.539999999105930,9984527.500000000000000
FS( 65 ),5264672.479999999515712,4836655.129999999888241,10101327.609999999403954
FS( 66 ),5290728.319999999366701,4810544.239999999292195,10101272.559999998658895
FS( 67 ),5274272.000000000000000,4822081.609999999403954,10096353.609999999403954
FS( 68 ),5289356.959999999962747,4924096.250000000000000,10213453.210000000894070
FS( 69 ),5234502.559999999590218,4866409.399999999441206,10100911.959999999031425
FS( 70 ),5283871.519999999552965,4915595.030000000260770,10199466.550000000745058
FS( 71 ),5283871.519999999552965,4947778.219999999739230,10231649.739999998360872
FS( 72 ),5261929.759999998845160,4944134.839999999850988,10206064.599999997764826
FS( 73 ),5297585.120000000111759,4947778.219999999739230,10245363.339999999850988
FS( 74 ),5300327.839999998919666,4976318.030000000260770,10276645.869999999180436
FS( 75 ),5289356.959999999962747,4965995.120000000111759,10255352.080000000074506
FS( 76 ),5386723.519999999552965,5006072.299999999813735,10392795.820000000298023
FS( 77 ),5383980.799999998882413,5021253.049999999813735,10405233.849999997764826
FS( 78 ),5411408.000000000000000,5028539.809999999590218,10439947.809999998658895
FS( 79 ),5412779.359999999403954,5057079.620000000111759,10469858.980000000447035
FS( 80 ),5437463.839999998919666,5063759.149999999441206,10501222.989999998360872
FS( 81 ),5486832.799999998882413,5072867.599999999627471,10559700.399999998509884
FS( 82 ),5449806.080000000074506,5063151.919999998994172,10512958.000000000000000
FS( 83 ),5466262.399999999441206,5058901.309999999590218,10525163.709999999031425
FS( 84 ),5404551.199999999254942,5041898.870000000111759,10446450.070000000298023
FS( 85 ),5386723.519999999552965,5046756.709999999962747,10433480.230000000447035
FS( 86 ),5436092.479999999515712,5038862.719999999739230,10474955.199999999254942
