代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11674467.460000000894070
真實報酬,1674467.460000000894070

夏普值報酬,0.158746746000000
夏普值風險,0.046671877501264
夏普值,3.401336189993686

二次趨勢線,76.655417365860302 x^2 + 3022.228297832163662 x + 10000000.000000000000000
二次加權預期報酬,16258.063696337378133
風險,55188.173351150064263
二次加權趨勢值,0.294593256292266
一次趨勢線,10467.274721917929128 x + 10000000.000000000000000
一次預期報酬,10467.274721917929128
一次風險,154209.546746797219384
一次趨勢值,0.067876956665365
找到最佳解世代,2897
找到最佳解實驗#,2
找到最佳解次數,29

stock[index](rank)
投資組合檔數,6
AAPL[0](19),AXP[1](6),CAT[3](1),CVX[5](5),MCD[15](16),PFE[20](10),
Stock#,AAPL[0](19),AXP[1](6),CAT[3](1),CVX[5](5),MCD[15](16),PFE[20](10),
張數,11370,21035,16339,15735,11807,49338,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,51.399999999906868,62.949999999953434,88.000000000000000,14.800000000046566,107.949999999953434,28.359999999869615,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1677240.099999999860302,1673186.850000000093132,1658659.890000000130385,1657854.400000000139698,1667610.559999999823049,1658278.539999999804422,9992834.339999999850988
FS( 3 ),1672123.599999999860302,1658252.000000000000000,1659150.060000000055879,1679254.000000000000000,1684022.290000000037253,1651371.219999999739230,10004177.169999999925494
FS( 4 ),1666097.500000000000000,1647734.500000000000000,1624021.209999999962747,1649200.150000000139698,1693822.099999999860302,1650384.459999999962747,9931263.919999999925494
FS( 5 ),1693726.600000000093132,1647524.149999999906868,1628105.959999999962747,1664620.450000000186265,1699843.670000000158325,1651864.599999999627471,9985689.429999999701977
FS( 6 ),1739775.099999999860302,1644158.549999999813735,1623694.430000000167638,1678624.600000000093132,1703149.630000000121072,1650384.459999999962747,10039790.769999999552965
FS( 7 ),1750917.699999999953434,1650048.349999999860302,1622387.310000000055879,1653448.600000000093132,1704566.470000000204891,1646930.800000000046566,10028303.230000000447035
FS( 8 ),1742617.599999999860302,1654465.700000000186265,1639870.040000000037253,1675792.300000000046566,1706455.590000000083819,1629662.500000000000000,10048867.730000000447035
FS( 9 ),1750462.899999999674037,1639110.149999999906868,1650163.609999999869615,1671229.149999999906868,1702795.420000000158325,1630155.879999999888241,10043921.109999999403954
FS( 10 ),1774908.399999999906868,1630065.099999999860302,1645588.689999999944121,1667295.399999999906868,1716373.470000000204891,1628675.739999999757856,10062910.800000000745058
FS( 11 ),1770360.399999999674037,1647734.500000000000000,1673528.380000000121072,1681299.550000000046566,1727235.909999999916181,1634102.919999999692664,10134265.659999998286366
FS( 12 ),1767745.299999999813735,1643527.499999999767169,1672221.260000000009313,1687593.550000000046566,1739160.979999999748543,1608447.159999999916181,10118699.750000000000000
FS( 13 ),1708393.899999999906868,1606505.900000000139698,1636275.459999999962747,1647469.300000000046566,1728770.819999999832362,1590192.099999999627471,9917611.479999998584390
FS( 14 ),1734431.199999999720603,1606716.249999999767169,1637582.580000000074506,1654864.750000000000000,1735855.019999999785796,1589698.719999999739230,9959152.519999999552965
FS( 15 ),1740343.599999999860302,1615550.949999999953434,1673691.770000000018626,1676107.000000000000000,1749315.000000000000000,1601539.839999999850988,10056552.160000000149012
FS( 16 ),1750917.699999999953434,1619337.250000000000000,1671404.310000000055879,1669813.000000000232831,1749787.280000000027940,1584764.919999999692664,10046028.459999999031425
FS( 17 ),1748757.400000000139698,1623964.949999999953434,1693298.569999999832362,1672173.250000000000000,1745418.689999999944121,1585751.679999999934807,10069368.539999999105930
FS( 18 ),1743527.199999999953434,1622282.150000000139698,1698527.050000000046566,1671386.500000000000000,1765254.449999999953434,1581311.259999999776483,10082292.609999999403954
FS( 19 ),1749553.300000000046566,1629013.349999999860302,1716009.780000000027940,1653920.650000000139698,1768560.409999999916181,1586738.439999999711290,10103799.929999999701977
FS( 20 ),1746597.100000000093132,1629434.049999999813735,1726466.739999999990687,1647784.000000000000000,1769504.970000000204891,1585751.679999999934807,10105542.539999999105930
FS( 21 ),1747279.299999999813735,1621651.100000000093132,1723362.330000000074506,1637398.900000000139698,1770331.459999999962747,1585258.300000000046566,10085285.390000000596046
FS( 22 ),1736932.599999999860302,1618495.849999999860302,1722708.770000000018626,1628272.600000000093132,1781666.179999999701977,1610914.059999999823049,10098994.060000000521541
FS( 23 ),1741708.000000000000000,1646682.750000000000000,1726303.350000000093132,1640703.250000000000000,1799376.679999999701977,1613874.339999999850988,10168652.369999999180436
FS( 24 ),1767517.899999999674037,1651100.099999999860302,1731205.050000000046566,1622450.650000000139698,1815316.130000000121072,1605486.879999999888241,10193080.710000000894070
FS( 25 ),1750235.500000000000000,1661196.899999999906868,1718950.800000000046566,1623709.449999999953434,1804099.479999999748543,1596112.659999999916181,10154308.790000000968575
FS( 26 ),1756147.899999999674037,1658672.699999999720603,1708330.449999999953434,1639129.750000000000000,1785680.559999999823049,1582298.019999999785796,10130263.379999998956919
FS( 27 ),1766608.300000000046566,1678866.300000000046566,1691337.890000000130385,1632835.750000000000000,1794063.530000000027940,1578844.359999999869615,10142560.129999998956919
FS( 28 ),1762287.699999999953434,1681811.199999999953434,1715846.390000000130385,1636454.800000000046566,1788041.959999999962747,1566509.859999999869615,10150955.910000000149012
FS( 29 ),1693953.999999999767169,1689383.800000000046566,1730714.880000000121072,1674218.800000000046566,1788632.309999999823049,1616834.620000000111759,10193742.410000000149012
FS( 30 ),1653476.799999999813735,1686438.899999999906868,1733165.729999999981374,1700024.200000000186265,1753093.239999999990687,1613380.959999999962747,10139583.829999998211861
