代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12073089.439999999478459
真實報酬,2073089.439999999478459

夏普值報酬,0.198608944000000
夏普值風險,0.067804202469772
夏普值,2.929153898514523

二次趨勢線,208.789568014756156 x^2 + -8958.417011812425699 x + 10000000.000000000000000
二次加權預期報酬,26535.809550696118094
風險,135176.870303962758044
二次加權趨勢值,0.196304363986434
一次趨勢線,11006.778386116258844 x + 10000000.000000000000000
一次預期報酬,11006.778386116258844
一次風險,403513.488777410355397
一次趨勢值,0.027277349313564
找到最佳解世代,2087
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](10),BA[2](2),MSFT[18](5),NKE[19](1),PFE[20](8),
Stock#,AAPL[0](10),BA[2](2),MSFT[18](5),NKE[19](1),PFE[20](8),
張數,31060,19853,56195,63451,72072,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,46.600000000093132,8.780000000027940,19.949999999720603,24.479999999981374,2.000000000000000,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1993788.000000000000000,1977566.110000000102445,1966282.999999999767169,1991751.370000000111759,1993513.520000000018626,9922902.000000000000000
FS( 3 ),1975152.000000000232831,1955330.750000000000000,1954482.049999999813735,1959391.359999999869615,1980540.560000000055879,9824896.720000000670552
FS( 4 ),1945645.000000000000000,1980544.060000000055879,1964597.149999999674037,1972081.559999999823049,2025945.919999999925494,9888813.689999999478459
FS( 5 ),1960553.800000000046566,2034742.750000000000000,2004495.599999999860302,1991116.859999999869615,2036756.720000000204891,10027665.730000000447035
FS( 6 ),1947508.600000000093132,2029779.500000000000000,1993256.599999999627471,2000000.000000000000000,2044684.640000000130385,10015229.339999999850988
FS( 7 ),1941607.199999999953434,2020051.530000000027940,1957853.750000000000000,1972081.559999999823049,2048288.240000000223517,9939882.280000001192093
FS( 8 ),1917691.000000000232831,2002779.419999999925494,1966844.949999999720603,1948604.689999999944121,2049008.959999999962747,9884929.019999999552965
FS( 9 ),1934463.400000000139698,2028191.260000000009313,1951110.349999999627471,1959391.359999999869615,2095855.759999999776483,9969012.129999998956919
FS( 10 ),1908373.000000000000000,2021639.770000000018626,1933127.949999999720603,1963832.929999999934807,2096576.479999999981374,9923550.129999998956919
FS( 11 ),1916759.200000000186265,2045463.370000000111759,1966844.949999999720603,1965101.949999999953434,2101621.520000000018626,9995790.990000000223517
FS( 12 ),1915827.400000000139698,2066309.020000000018626,1965721.049999999580905,1972081.559999999823049,2118918.799999999813735,10038857.829999998211861
FS( 13 ),1877002.400000000139698,2029978.030000000027940,1943805.000000000000000,1959391.359999999869615,2097297.200000000186265,9907473.989999998360872
FS( 14 ),1849669.600000000093132,1978161.699999999953434,1881990.499999999767169,1928300.370000000111759,2064144.080000000074506,9702266.250000000000000
