代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10821931.539999999105930
真實報酬,821931.539999999105930

夏普值報酬,0.073493154000000
夏普值風險,0.038056257497450
夏普值,1.931171345603900

二次趨勢線,209.449825289090342 x^2 + -20607.634611274868803 x + 10000000.000000000000000
二次加權預期報酬,14440.302820432914814
風險,212121.562007035361603
二次加權趨勢值,0.068075601008227
一次趨勢線,-893.482728985010112 x + 10000000.000000000000000
一次預期報酬,-893.482728985010112
一次風險,426092.509009346249513
一次趨勢值,-380706297.749740719795227
找到最佳解世代,2049
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),WMT[28](8),
Stock#,MCD[15](1),WMT[28](8),
張數,50291,69271,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,68.780000000260770,19.219999999739230,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4985918.520000000484288,5004848.969999999739230,9990767.490000000223517
FS( 3 ),5019110.580000000074506,5092130.429999999701977,10111241.009999999776483
FS( 4 ),4996479.629999999888241,5042255.310000000521541,10038734.940000001341105
FS( 5 ),4974854.500000000000000,4935577.969999999739230,9910432.469999998807907
FS( 6 ),4998491.270000000484288,4951510.299999999813735,9950001.570000000298023
FS( 7 ),4969322.490000000223517,4982682.250000000000000,9952004.740000000223517
FS( 8 ),4942668.260000000707805,5027708.399999999441206,9970376.660000000149012
FS( 9 ),4997485.450000000186265,4995151.029999999329448,9992636.480000000447035
FS( 10 ),4992456.349999999627471,5013854.199999999254942,10006310.549999998882413
FS( 11 ),5062360.839999999850988,4981296.829999999143183,10043657.669999998062849
FS( 12 ),5067389.940000000409782,4812968.299999999813735,9880358.240000000223517
FS( 13 ),5084488.879999999888241,4749931.689999999478459,9834420.570000000298023
FS( 14 ),5017098.940000000409782,4740233.750000000000000,9757332.690000001341105
FS( 15 ),4884833.610000000335276,4609311.560000000521541,9494145.170000001788139
FS( 16 ),4670593.950000000186265,4429899.669999999925494,9100493.620000001043081
FS( 17 ),4587110.889999999664724,4371019.320000000298023,8958130.210000000894070
FS( 18 ),4785257.430000000633299,4490858.149999999441206,9276115.580000000074506
FS( 19 ),4894891.810000000521541,4577446.899999999441206,9472338.710000000894070
FS( 20 ),4840577.530000000260770,4498477.959999999962747,9339055.490000000223517
FS( 21 ),4778719.599999999627471,4483931.049999999813735,9262650.649999998509884
FS( 22 ),4700768.549999999813735,4420894.439999999478459,9121662.989999998360872
FS( 23 ),4830016.420000000856817,4463842.459999999962747,9293858.880000000819564
FS( 24 ),4828507.690000000409782,4492936.279999999329448,9321443.969999998807907
FS( 25 ),4770170.129999999888241,4425743.410000000149012,9195913.539999999105930
FS( 26 ),4867231.760000000707805,4598228.199999999254942,9465459.960000000894070
FS( 27 ),4799338.910000000149012,4510946.740000000223517,9310285.650000000372529
FS( 28 ),4790286.530000000260770,4441675.740000000223517,9231962.269999999552965
FS( 29 ),4898915.089999999850988,4478389.370000000111759,9377304.460000000894070
FS( 30 ),4876787.049999999813735,4452759.099999999627471,9329546.149999998509884
FS( 31 ),4938142.070000000298023,4455529.939999999478459,9393672.009999999776483
FS( 32 ),4963287.570000000298023,4481160.209999999962747,9444447.780000001192093
FS( 33 ),4920540.220000000670552,4465920.589999999850988,9386460.810000000521541
FS( 34 ),4880810.330000000074506,4387644.360000000335276,9268454.690000001341105
FS( 35 ),4923557.680000000633299,4413967.339999999850988,9337525.019999999552965
FS( 36 ),4888353.980000000447035,4404962.110000000335276,9293316.089999999850988
FS( 37 ),4897406.360000000335276,4413967.339999999850988,9311373.699999999254942
FS( 38 ),4892880.170000000856817,4421587.149999999441206,9314467.320000000298023
FS( 39 ),4907967.470000000670552,4418123.599999999627471,9326091.070000000298023
FS( 40 ),4825993.139999999664724,4409811.079999999143183,9235804.219999998807907
FS( 41 ),4902435.460000000894070,4418123.599999999627471,9320559.060000000521541
FS( 42 ),4955241.010000000707805,4491550.860000000335276,9446791.870000001043081
FS( 43 ),4967813.760000000707805,4452066.389999999664724,9419880.150000000372529
FS( 44 ),5018607.670000000856817,4501248.799999999813735,9519856.470000000670552
FS( 45 ),5088009.250000000000000,4562899.990000000223517,9650909.240000000223517
FS( 46 ),5124721.680000000633299,4549738.500000000000000,9674460.179999999701977
FS( 47 ),5118183.849999999627471,4596842.779999999329448,9715026.629999998956919
FS( 48 ),5177527.230000000447035,4632863.699999999254942,9810390.929999999701977
FS( 49 ),5167971.940000000409782,4619702.209999999962747,9787674.150000000372529
FS( 50 ),5192111.620000000111759,4636327.250000000000000,9828438.870000001043081
FS( 51 ),5199152.360000000335276,4622473.049999999813735,9821625.410000000149012
FS( 52 ),5170989.400000000372529,4158357.349999999627471,9329346.750000000000000
FS( 53 ),5213233.839999999850988,4109867.649999999441206,9323101.489999998360872
FS( 54 ),5271571.400000000372529,4079388.409999999683350,9350959.810000000521541
FS( 55 ),5254975.370000000111759,4076617.569999999832362,9331592.939999999478459
FS( 56 ),5222286.220000000670552,4069690.469999999739230,9291976.690000001341105
FS( 57 ),5156907.920000000856817,4062070.659999999683350,9218978.580000000074506
FS( 58 ),5575831.950000000186265,4080081.119999999646097,9655913.070000000298023
FS( 59 ),5662332.470000000670552,4038518.519999999552965,9700850.990000000223517
FS( 60 ),5641713.160000000149012,4019122.640000000130385,9660835.800000000745058
FS( 61 ),5614556.020000000484288,3981716.299999999348074,9596272.320000000298023
FS( 62 ),5679934.320000000298023,3992799.659999999683350,9672733.980000000447035
FS( 63 ),5663841.200000000186265,4014966.379999999888241,9678807.580000000074506
FS( 64 ),5645233.530000000260770,3965091.259999999776483,9610324.789999999105930
FS( 65 ),5638192.790000000037253,3990721.529999999795109,9628914.320000000298023
FS( 66 ),5636684.060000000521541,4025357.029999999795109,9662041.089999999850988
FS( 67 ),5652777.180000000633299,4043367.489999999757856,9696144.669999999925494
FS( 68 ),5675408.129999999888241,4059992.529999999795109,9735400.660000000149012
FS( 69 ),5698541.990000000223517,4071768.599999999627471,9770310.589999999850988
FS( 70 ),5679431.410000000149012,4051680.009999999776483,9731111.419999999925494
FS( 71 ),5694015.799999999813735,4064841.499999999534339,9758857.299999998882413
FS( 72 ),5725699.129999999888241,3988643.399999999441206,9714342.529999999329448
FS( 73 ),5638192.790000000037253,3945002.669999999925494,9583195.460000000894070
FS( 74 ),5530570.049999999813735,3908289.040000000037253,9438859.089999999850988
FS( 75 ),5585387.240000000223517,4008731.989999999757856,9594119.230000000447035
FS( 76 ),5579352.320000000298023,4150737.540000000037253,9730089.859999999403954
FS( 77 ),5659315.010000000707805,4220701.250000000000000,9880016.260000001639128
FS( 78 ),5698039.080000000074506,4204768.919999999925494,9902808.000000000000000
FS( 79 ),5728716.589999999850988,4161128.189999999944121,9889844.779999999329448
FS( 80 ),5756879.549999999813735,4174289.679999999701977,9931169.230000000447035
FS( 81 ),5747324.260000000707805,4150737.540000000037253,9898061.800000000745058
FS( 82 ),5753359.180000000633299,4172904.259999999776483,9926263.440000001341105
FS( 83 ),5744809.710000000894070,4148659.409999999683350,9893469.120000001043081
FS( 84 ),5741289.339999999850988,4075924.859999999869615,9817214.199999999254942
FS( 85 ),5755873.730000000447035,4086315.509999999776483,9842189.240000000223517
FS( 86 ),5719161.299999999813735,4041982.069999999832362,9761143.369999999180436
FS( 87 ),5702565.270000000484288,4089779.059999999590218,9792344.330000000074506
FS( 88 ),5843882.980000000447035,4132727.079999999608845,9976610.060000000521541
FS( 89 ),5854947.000000000000000,4190914.719999999739230,10045861.719999998807907
