代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10860248.150000000372529
真實報酬,860248.150000000372529

夏普值報酬,0.077324815000000
夏普值風險,0.039593336783055
夏普值,1.952975457049454

二次趨勢線,156.156850412088261 x^2 + -9945.395802108134376 x + 10000000.000000000000000
二次加權預期報酬,15976.641366298514185
風險,105341.838824014688726
二次加權趨勢值,0.151664728323086
一次趨勢線,4635.514929141078028 x + 10000000.000000000000000
一次預期報酬,4635.514929141078028
一次風險,290887.894913857802749
一次趨勢值,0.015935743666865
找到最佳解世代,2321
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MCD[15](10),MRK[17](9),UNH[23](1),WMT[28](3),XOM[29](6),
Stock#,MCD[15](10),MRK[17](9),UNH[23](1),WMT[28](3),XOM[29](6),
張數,17839,36291,16850,34716,23452,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,69.709999999962747,2.989999999990687,73.500000000000000,11.239999999990687,13.439999999944121,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1999464.829999999841675,2000000.000000000000000,1982644.500000000000000,2017358.000000000000000,2036819.639999999897555,10036286.970000000670552
FS( 3 ),2005173.310000000055879,2015242.219999999972060,1931757.500000000000000,2026384.159999999916181,2016416.400000000139698,9994973.589999999850988
FS( 4 ),2013200.859999999869615,1997822.539999999804422,1958549.000000000000000,2034716.000000000000000,1988977.560000000055879,9993265.959999999031425
FS( 5 ),2021406.800000000046566,1981854.500000000000000,1934622.000000000000000,2040617.719999999972060,1981003.879999999888241,9959504.899999998509884
FS( 6 ),2014627.979999999981374,1968426.830000000074506,1925354.500000000000000,2030550.080000000074506,1921904.840000000083819,9860864.230000000447035
FS( 7 ),2019801.290000000037253,1975322.119999999878928,1952820.000000000000000,2037146.119999999878928,1931285.639999999897555,9916375.169999999925494
FS( 8 ),2031039.859999999869615,1949555.510000000009313,1930072.500000000000000,1998958.520000000018626,1914165.679999999934807,9823792.070000000298023
FS( 9 ),2000000.000000000000000,1924514.719999999972060,1901090.500000000000000,1977087.440000000176951,1862336.759999999776483,9665029.419999999925494
FS( 10 ),1961824.540000000037253,1924514.719999999972060,1877332.000000000000000,1958687.959999999962747,1831614.639999999897555,9553973.859999999403954
FS( 11 ),1981269.050000000046566,1948829.690000000176951,1917940.500000000000000,2009026.159999999916181,1897280.239999999990687,9754345.640000000596046
FS( 12 ),1979128.369999999878928,1949192.600000000093132,1927545.000000000000000,2080193.959999999962747,1875235.359999999869615,9811295.289999999105930
FS( 13 ),2007492.379999999888241,1968063.919999999925494,1975736.000000000000000,2115257.120000000111759,1893527.919999999925494,9960077.339999999850988
FS( 14 ),2021228.409999999916181,1969878.469999999972060,1864189.000000000000000,2107272.440000000409782,1883209.039999999804422,9845777.359999999403954
FS( 15 ),2032110.199999999953434,1963346.090000000083819,1903618.000000000000000,2085401.360000000102445,1871248.520000000018626,9855724.169999999925494
FS( 16 ),2042100.040000000037253,1960079.899999999906868,1889969.500000000000000,2091997.399999999906868,1882740.000000000000000,9866886.839999999850988
FS( 17 ),2038710.629999999888241,1940845.669999999925494,1907325.000000000000000,2080193.959999999962747,1920263.199999999953434,9887338.459999999031425
FS( 18 ),2040851.310000000055879,1949555.510000000009313,1927882.000000000000000,2091303.080000000074506,1905488.439999999944121,9915080.339999999850988
FS( 19 ),2037818.679999999934807,1958265.350000000093132,1926702.500000000000000,2079152.479999999981374,1905019.400000000139698,9906958.410000000149012
FS( 20 ),2036569.949999999953434,1923788.899999999906868,1899237.000000000000000,2042700.680000000167638,1915103.759999999776483,9817400.289999999105930
FS( 21 ),2041743.260000000009313,1980402.860000000102445,1959054.500000000000000,2047908.080000000074506,1920497.719999999972060,9949606.419999999925494
FS( 22 ),2028720.790000000037253,1953184.610000000102445,1982307.500000000000000,2025689.840000000083819,1865620.039999999804422,9855522.779999999329448
FS( 23 ),2022833.919999999925494,1908546.680000000167638,1937823.500000000000000,2049643.879999999888241,1838884.759999999776483,9757732.739999998360872
FS( 24 ),2072961.510000000009313,1946652.229999999981374,1983992.500000000000000,2071167.799999999813735,1849438.159999999916181,9924212.199999999254942
FS( 25 ),2076886.090000000083819,1948103.869999999878928,1953157.000000000000000,2100329.240000000223517,1801127.039999999804422,9879603.240000000223517
FS( 26 ),2078848.379999999888241,1940482.760000000009313,1952651.500000000000000,2069432.000000000000000,1750236.199999999953434,9791650.839999999850988
FS( 27 ),2079740.329999999841675,1916893.610000000102445,1938666.000000000000000,2052768.320000000065193,1773688.199999999953434,9761756.459999999031425
FS( 28 ),2090800.510000000009313,1948466.779999999795109,1958212.000000000000000,2067696.199999999953434,1775095.319999999832362,9840270.810000000521541
FS( 29 ),2070820.829999999841675,1892578.639999999897555,1954336.500000000000000,2060753.000000000000000,1743435.120000000111759,9721924.089999999850988
FS( 30 ),2074031.850000000093132,1894393.190000000176951,1952146.000000000000000,2096510.479999999981374,1783069.000000000000000,9800150.519999999552965
FS( 31 ),2085983.979999999981374,1919796.889999999897555,1981802.000000000000000,2070473.479999999981374,1862805.800000000046566,9920862.150000000372529
FS( 32 ),2102217.470000000204891,1960442.810000000055879,2002359.000000000000000,2093386.039999999804422,1856239.239999999990687,10014644.560000000521541
FS( 33 ),2096152.209999999962747,1911087.049999999813735,2008930.500000000000000,2047560.919999999925494,1828331.359999999869615,9892062.039999999105930
FS( 34 ),2081167.449999999953434,1874070.229999999981374,1951640.500000000000000,2043047.840000000083819,1812384.000000000000000,9762310.019999999552965
FS( 35 ),2099541.620000000111759,1882417.159999999916181,1978432.000000000000000,2067349.039999999804422,1811914.959999999962747,9839654.780000001192093
FS( 36 ),2100076.790000000037253,1890764.090000000083819,1978937.500000000000000,2101717.879999999888241,1821061.239999999990687,9892557.500000000000000
FS( 37 ),2119342.909999999683350,1922700.169999999925494,2000000.000000000000000,2120811.679999999701977,1880629.319999999832362,10043484.080000000074506
FS( 38 ),2115239.939999999944121,1917982.340000000083819,1994102.500000000000000,2111785.519999999552965,1860460.599999999860302,9999570.900000000372529
FS( 39 ),2118450.959999999962747,1917619.430000000167638,1993934.000000000000000,2109008.240000000223517,1846623.919999999925494,9985636.550000000745058
FS( 40 ),2141998.439999999944121,1935764.930000000167638,2019040.500000000000000,2138864.000000000000000,1856473.759999999776483,10092141.629999998956919
FS( 41 ),2130581.479999999981374,1932498.739999999990687,2003875.500000000000000,2141294.120000000111759,1831849.159999999916181,10040099.000000000000000
FS( 42 ),2107569.169999999925494,1916893.610000000102445,1982307.500000000000000,2128102.040000000037253,1828096.840000000083819,9962969.160000000149012
