代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12537779.839999999850988
真實報酬,2537779.839999999850988

夏普值報酬,0.245077984000000
夏普值風險,0.074408130133488
夏普值,3.293699002519373

二次趨勢線,111.704239201850825 x^2 + 6366.396130226798050 x + 10000000.000000000000000
二次加權預期報酬,25356.116794541438139
風險,170754.616711063717958
二次加權趨勢值,0.148494472846066
一次趨勢線,17047.949732963759743 x + 10000000.000000000000000
一次預期報酬,17047.949732963759743
一次風險,265579.388040672638454
一次趨勢值,0.064191539331181
找到最佳解世代,3228
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,2
VZ[26](8),XOM[29](1),
Stock#,VZ[26](8),XOM[29](1),
張數,169147,80723,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,14.680000000633299,17.379999999888241,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4996617.060000000521541,5062963.939999999478459,10059581.000000000000000
FS( 3 ),4972936.480000000447035,5062963.939999999478459,10035900.419999999925494
FS( 4 ),4998308.530000001192093,5062156.709999999962747,10060465.240000002086163
FS( 5 ),4998308.530000001192093,5002421.689999999478459,10000730.220000000670552
FS( 6 ),5050744.100000000558794,5041168.730000000447035,10091912.830000001937151
FS( 7 ),5077807.620000000111759,4999192.769999999552965,10077000.390000000596046
FS( 8 ),5000000.000000000000000,4874879.349999999627471,9874879.349999999627471
FS( 9 ),5128551.720000000670552,4861963.669999999925494,9990515.390000000596046
FS( 10 ),5079499.090000000782311,4836132.309999999590218,9915631.400000000372529
FS( 11 ),5067658.800000000745058,4833710.620000000111759,9901369.420000001788139
FS( 12 ),5103179.670000000856817,4909590.240000000223517,10012769.910000000149012
FS( 13 ),5099796.730000000447035,4855505.830000000074506,9955302.560000000521541
FS( 14 ),5010148.820000001229346,4786084.049999999813735,9796232.870000001043081
FS( 15 ),4967862.070000001229346,4753794.849999999627471,9721656.920000001788139
FS( 16 ),4974627.950000001117587,4803035.879999999888241,9777663.830000001937151
FS( 17 ),4984776.770000000484288,4757831.000000000000000,9742607.769999999552965
FS( 18 ),5016914.700000001117587,4755409.309999999590218,9772324.010000001639128
FS( 19 ),4989851.180000000633299,4720698.419999999925494,9710549.600000001490116
FS( 20 ),5047361.160000000149012,4827252.779999999329448,9874613.939999999478459
FS( 21 ),4979702.360000001266599,4762674.379999999888241,9742376.740000002086163
FS( 22 ),4994925.590000000782311,4771553.910000000149012,9766479.500000000000000
FS( 23 ),5118402.900000001303852,4916855.309999999590218,10035258.210000000894070
FS( 24 ),5093030.850000000558794,4928963.759999999776483,10021994.609999999403954
FS( 25 ),5108254.080000000074506,4949951.740000000223517,10058205.820000000298023
FS( 26 ),5111637.020000000484288,4887795.029999999329448,9999432.050000000745058
FS( 27 ),5152232.300000000745058,4903939.629999999888241,10056171.929999999701977
FS( 28 ),5216508.160000000149012,4928156.529999999329448,10144664.689999999478459
FS( 29 ),5213125.220000000670552,4940264.980000000447035,10153390.200000001117587
