代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12537779.839999999850988
真實報酬,2537779.839999999850988

夏普值報酬,0.245077984000000
夏普值風險,0.074408130133488
夏普值,3.293699002519373

二次趨勢線,111.704239201850825 x^2 + 6366.396130226798050 x + 10000000.000000000000000
二次加權預期報酬,25356.116794541438139
風險,170754.616711063717958
二次加權趨勢值,0.148494472846066
一次趨勢線,17047.949732963759743 x + 10000000.000000000000000
一次預期報酬,17047.949732963759743
一次風險,265579.388040672638454
一次趨勢值,0.064191539331181
找到最佳解世代,3228
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,2
VZ[26](8),XOM[29](1),
FS( 30 ),5226656.980000000447035,4924120.379999999888241,10150777.359999999403954
FS( 31 ),5228348.450000001117587,4924927.609999999403954,10153276.060000000521541
FS( 32 ),5275709.610000001266599,4924120.379999999888241,10199829.990000002086163
FS( 33 ),5314613.420000000856817,4921698.689999999478459,10236312.109999999403954
FS( 34 ),5358591.640000000596046,4906361.320000000298023,10264952.960000000894070
FS( 35 ),5427941.910000001080334,4968518.029999999329448,10396459.940000001341105
FS( 36 ),5466845.720000000670552,4967710.799999999813735,10434556.519999999552965
FS( 37 ),5478686.010000000707805,4960445.730000000447035,10439131.740000002086163
FS( 38 ),5441473.670000000856817,4936228.830000000074506,10377702.500000000000000
FS( 39 ),5520972.760000000707805,4984662.629999999888241,10505635.390000000596046
FS( 40 ),5558185.100000000558794,4981433.709999999962747,10539618.810000000521541
FS( 41 ),5534504.520000000484288,5009686.759999999776483,10544191.280000001192093
FS( 42 ),5524355.700000000186265,4971746.950000000186265,10496102.650000000372529
FS( 43 ),5512515.410000001080334,4987891.549999999813735,10500406.960000000894070
FS( 44 ),5563259.510000000707805,5048433.799999999813735,10611693.310000000521541
FS( 45 ),5586940.090000000782311,5020180.750000000000000,10607120.839999999850988
FS( 46 ),5678279.470000000670552,5106554.359999999403954,10784833.830000000074506
FS( 47 ),5624152.430000000633299,5143686.939999999478459,10767839.370000001043081
FS( 48 ),5570025.390000000596046,5154180.929999999701977,10724206.320000000298023
FS( 49 ),5553110.690000000409782,5196964.119999999180436,10750074.809999998658895
FS( 50 ),5586940.090000000782311,5210687.029999999329448,10797627.120000001043081
FS( 51 ),5504058.060000000521541,5222795.480000000447035,10726853.540000000968575
FS( 52 ),5448239.550000000745058,5250241.300000000745058,10698480.850000001490116
FS( 53 ),5487143.360000000335276,5271229.279999999329448,10758372.640000000596046
FS( 54 ),5485451.890000000596046,5262349.750000000000000,10747801.640000000596046
FS( 55 ),5512515.410000001080334,5350337.820000000298023,10862853.230000000447035
FS( 56 ),5439782.200000000186265,5256699.140000000596046,10696481.339999999850988
FS( 57 ),5520972.760000000707805,5328542.610000000335276,10849515.370000001043081
FS( 58 ),5500675.120000001043081,5353566.739999999292195,10854241.859999999403954
FS( 59 ),5427941.910000001080334,5355181.200000000186265,10783123.110000001266599
FS( 60 ),5471920.130000000819564,5343879.980000000447035,10815800.110000001266599
FS( 61 ),5497292.180000000633299,5370518.570000000298023,10867810.750000000000000
FS( 62 ),5498983.650000000372529,5301096.790000000037253,10800080.440000001341105
FS( 63 ),5482068.950000000186265,5345494.439999999478459,10827563.390000000596046
FS( 64 ),5493909.240000000223517,5367289.649999999441206,10861198.890000000596046
FS( 65 ),5480377.480000000447035,5404422.230000000447035,10884799.710000000894070
FS( 66 ),5548036.280000000260770,5476265.700000000186265,11024301.980000000447035
FS( 67 ),5580174.210000000894070,5486759.689999999478459,11066933.900000000372529
FS( 68 ),5669822.120000001043081,5600579.119999999180436,11270401.240000000223517
FS( 69 ),5654598.890000000596046,5650627.379999999888241,11305226.269999999552965
FS( 70 ),5610620.670000000856817,5676458.739999999292195,11287079.410000000149012
FS( 71 ),5583557.150000000372529,5701482.869999999180436,11285040.019999999552965
FS( 72 ),5556493.630000000819564,5741844.369999999180436,11298338.000000000000000
FS( 73 ),5519281.290000000968575,5798350.469999999739230,11317631.760000001639128
FS( 74 ),5507441.000000000931323,5730543.149999999441206,11237984.150000000372529
FS( 75 ),5542961.870000001043081,5689374.419999999925494,11232336.290000000968575
FS( 76 ),5444856.610000000335276,5565061.000000000000000,11009917.609999999403954
FS( 77 ),5470228.660000001080334,5570711.610000000335276,11040940.270000001415610
FS( 78 ),5522664.230000000447035,5675651.509999999776483,11198315.740000000223517
FS( 79 ),5512515.410000001080334,5694217.800000000745058,11206733.210000000894070
FS( 80 ),5497292.180000000633299,5665964.750000000000000,11163256.929999999701977
FS( 81 ),5478686.010000000707805,5568289.919999999925494,11046975.929999999701977
FS( 82 ),5471920.130000000819564,5640940.619999999180436,11112860.750000000000000
FS( 83 ),5448239.550000000745058,5588470.669999999925494,11036710.220000000670552
FS( 84 ),5395803.980000000447035,5606229.730000000447035,11002033.710000000894070
FS( 85 ),5414410.150000000372529,5615109.259999999776483,11029519.410000000149012
FS( 86 ),5471920.130000000819564,5757988.969999999739230,11229909.100000001490116
FS( 87 ),5537887.460000000894070,5770097.419999999925494,11307984.880000000819564
FS( 88 ),5564950.980000000447035,5746687.750000000000000,11311638.730000000447035
FS( 89 ),5563259.510000000707805,5756374.509999999776483,11319634.019999999552965
FS( 90 ),5573408.330000001005828,5768482.959999999031425,11341891.289999999105930
FS( 91 ),5578482.740000000223517,5799964.929999999701977,11378447.669999999925494
FS( 92 ),5676588.000000000931323,5812073.379999999888241,11488661.380000000819564
FS( 93 ),5757778.560000000521541,5826603.520000000484288,11584382.080000001937151
FS( 94 ),5769618.850000000558794,5841133.660000000149012,11610752.510000001639128
FS( 95 ),5864341.170000000856817,5826603.520000000484288,11690944.690000001341105
FS( 96 ),5857575.290000000968575,5799964.929999999701977,11657540.220000000670552
FS( 97 ),5879564.400000000372529,5829832.439999999478459,11709396.839999999850988
FS( 98 ),5859266.760000000707805,5825796.290000000037253,11685063.050000000745058
FS( 99 ),5876181.460000000894070,5829832.439999999478459,11706013.900000000372529
FS( 100 ),5910010.860000000335276,5870193.939999999478459,11780204.800000000745058
FS( 101 ),5950606.140000000596046,5876651.779999999329448,11827257.919999999925494
FS( 102 ),5994584.360000000335276,5908940.980000000447035,11903525.339999999850988
FS( 103 ),6004733.180000000633299,5893603.610000000335276,11898336.790000000968575
FS( 104 ),6025030.820000000298023,5926700.040000000037253,11951730.859999999403954
FS( 105 ),6018264.940000000409782,5922663.890000000596046,11940928.830000001937151
FS( 106 ),6014882.000000000931323,5921856.660000000149012,11936738.660000000149012
FS( 107 ),6052094.340000000782311,5902483.140000000596046,11954577.480000000447035
FS( 108 ),6162039.890000000596046,6017917.029999999329448,12179956.919999999925494
FS( 109 ),6285517.200000000186265,6046170.080000000074506,12331687.280000001192093
FS( 110 ),6371782.170000000856817,6030025.480000000447035,12401807.650000002235174
FS( 111 ),6128210.490000000223517,6068772.520000000484288,12196983.010000001639128
FS( 112 ),6077466.390000000596046,6101868.950000000186265,12179335.339999999850988
FS( 113 ),6075774.920000000856817,6064736.369999999180436,12140511.289999999105930
FS( 114 ),5981052.600000000558794,6109941.250000000000000,12090993.850000001490116
FS( 115 ),5999658.770000000484288,6181784.719999999739230,12181443.490000000223517
FS( 116 ),6055477.280000000260770,6192278.709999999031425,12247755.989999998360872
FS( 117 ),5997967.300000000745058,6283495.700000000186265,12281463.000000000000000
FS( 118 ),5811905.600000000558794,6353724.709999999031425,12165630.309999998658895
FS( 119 ),5852500.880000000819564,6315784.899999999441206,12168285.780000001192093
FS( 120 ),5854192.350000000558794,6276230.629999999888241,12130422.980000000447035
FS( 121 ),5911702.330000001005828,6375519.919999999925494,12287222.250000000000000
FS( 122 ),5960754.960000000894070,6344037.950000000186265,12304792.910000000149012
FS( 123 ),6053785.810000000521541,6351303.020000000484288,12405088.830000001937151
FS( 124 ),6156965.480000000447035,6430411.559999999590218,12587377.039999999105930
FS( 125 ),6172188.710000000894070,6448170.619999999180436,12620359.330000000074506
FS( 126 ),6026722.290000000968575,6376327.149999999441206,12403049.440000001341105
FS( 127 ),6025030.820000000298023,6512749.020000000484288,12537779.839999999850988
