代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11108577.760000001639128
真實報酬,1108577.760000001639128

夏普值報酬,0.102157776000000
夏普值風險,0.038694511539062
夏普值,2.640110236224884

二次趨勢線,38.073490149520019 x^2 + 5673.772189015858203 x + 10000000.000000000000000
二次加權預期報酬,11993.971553836181556
風險,121276.226846105113509
二次加權趨勢值,0.098897961008105
一次趨勢線,9228.826992133697786 x + 10000000.000000000000000
一次預期報酬,9228.826992133697786
一次風險,138124.336233029374853
一次趨勢值,0.066815358131848
找到最佳解世代,2512
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,5
DIS[6](3),IBM[10](1),MRK[17](19),NKE[19](2),WBA[27](9),
Stock#,DIS[6](3),IBM[10](1),MRK[17](19),NKE[19](2),WBA[27](9),
張數,21574,12380,33046,40941,29511,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,90.199999999953434,134.800000000046566,56.079999999841675,32.149999999906868,39.530000000027940,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2016611.979999999981374,2013989.399999999906868,2008591.959999999962747,2006959.969999999972060,1969898.780000000027940,10016052.089999999850988
FS( 3 ),2008845.339999999850988,2036892.400000000139698,2001982.759999999776483,2016376.399999999906868,1988490.709999999962747,10052587.609999999403954
FS( 4 ),2011434.219999999972060,2031073.800000000279397,2013218.399999999906868,2027839.879999999888241,2003836.430000000167638,10087402.730000000447035
FS( 5 ),2022868.440000000176951,2021417.400000000139698,2032054.619999999878928,2033571.619999999878928,2024494.129999999888241,10134406.210000000894070
FS( 6 ),2023731.399999999906868,2003961.600000000325963,2044942.559999999823049,2000409.409999999916181,1998819.560000000055879,10071864.529999999329448
FS( 7 ),2005177.760000000009313,2017951.000000000232831,1983146.539999999804422,1986489.469999999972060,2024199.020000000018626,10016963.789999999105930
FS( 8 ),1976915.819999999832362,1987248.599999999860302,1982155.159999999683350,1999181.179999999934807,2011214.180000000167638,9956714.939999999478459
FS( 9 ),1979504.699999999953434,1994181.399999999906868,1961005.719999999972060,1984442.419999999925494,2154637.640000000596046,10073771.879999998956919
FS( 10 ),1973895.459999999729916,1923739.199999999953434,1907471.199999999720603,1968884.840000000083819,2198609.030000000260770,9972599.730000000447035
FS( 11 ),1961166.800000000046566,1895017.600000000093132,1882025.780000000027940,1953736.669999999925494,2167327.370000000111759,9859274.220000000670552
FS( 12 ),1945417.780000000027940,1874590.600000000093132,1877068.879999999655411,1908292.159999999916181,2136340.820000000298023,9741710.240000000223517
FS( 13 ),1971522.319999999832362,1881028.200000000186265,1904497.059999999823049,1934494.399999999906868,2124536.419999999925494,9816078.400000000372529
FS( 14 ),1998058.339999999850988,1952213.200000000186265,1949109.159999999683350,1987308.289999999804422,2195067.709999999962747,10081756.699999999254942
FS( 15 ),2004099.060000000055879,1962488.599999999860302,1968936.759999999776483,1941454.369999999878928,2161130.060000000521541,10038108.850000001490116
FS( 16 ),2032361.000000000000000,1998762.000000000000000,1948448.239999999757856,1963971.919999999925494,2191821.500000000000000,10135364.660000000149012
FS( 17 ),2042932.260000000009313,2008666.000000000232831,1890617.739999999757856,1964790.739999999990687,2257926.140000000596046,10164932.880000000819564
FS( 18 ),2037107.280000000027940,2003466.399999999906868,1898879.239999999757856,1971341.299999999813735,2262647.900000000372529,10173442.120000001043081
FS( 19 ),2050267.419999999925494,2009904.000000000000000,1909453.959999999962747,1982395.369999999878928,2256450.589999999850988,10208471.339999999850988
FS( 20 ),2060407.199999999953434,1987248.599999999860302,1907801.659999999683350,1991811.799999999813735,2266189.220000000670552,10213458.480000000447035
FS( 21 ),2043148.000000000000000,1981553.800000000279397,1905157.979999999748543,1983214.189999999711290,2244351.080000000074506,10157425.050000000745058
FS( 22 ),2032145.260000000009313,1986382.000000000000000,1876738.419999999925494,1968475.429999999934807,2248777.730000000447035,10112518.839999999850988
FS( 23 ),2022652.699999999953434,2006437.600000000093132,1889956.819999999832362,1945548.469999999972060,2242875.530000000260770,10107471.119999999180436
FS( 24 ),1993096.319999999832362,1974868.599999999860302,1918045.919999999925494,1914023.899999999906868,2198609.030000000260770,9998643.769999999552965
FS( 25 ),1982525.060000000055879,1932281.399999999906868,1993390.799999999813735,1902969.829999999841675,2204216.120000000111759,10015383.210000000894070
FS( 26 ),2002804.619999999878928,1919653.800000000279397,2036020.139999999897555,1942273.189999999711290,2260582.129999999888241,10161333.879999998956919
FS( 27 ),2023515.660000000149012,1961374.399999999906868,2076997.179999999934807,1986898.879999999888241,2288617.580000000074506,10337403.699999999254942
FS( 28 ),2033439.699999999953434,1969916.600000000325963,2067413.839999999850988,1965200.149999999906868,2233136.900000000372529,10269107.190000001341105
FS( 29 ),2037970.239999999757856,1936862.000000000000000,2058821.879999999655411,1962334.279999999795109,2234022.230000000447035,10230010.629999998956919
FS( 30 ),2053719.260000000009313,1941442.600000000093132,2055186.819999999832362,1945139.059999999823049,2221037.390000000596046,10216525.129999998956919
FS( 31 ),2033008.219999999972060,1928938.800000000279397,2070057.519999999785796,1918527.409999999916181,2213069.419999999925494,10163601.370000001043081
FS( 32 ),2035597.099999999860302,1913711.399999999906868,2044942.559999999823049,1900103.959999999729916,2206872.110000000335276,10101227.129999998956919
FS( 33 ),2053503.520000000018626,1945527.999999999767169,2082945.459999999962747,1903788.649999999906868,2243760.860000000335276,10229526.489999998360872
