代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11157814.570000000298023
真實報酬,1157814.570000000298023

夏普值報酬,0.107081457000000
夏普值風險,0.040484527657335
夏普值,2.644997069160538

二次趨勢線,50.744265826832795 x^2 + 3686.180198569099957 x + 10000000.000000000000000
二次加權預期報酬,12380.364410233116359
風險,137929.290835201536538
二次加權趨勢值,0.089758776654809
一次趨勢線,8576.584774440661931 x + 10000000.000000000000000
一次預期報酬,8576.584774440661931
一次風險,166834.217117161781061
一次趨勢值,0.051407828217983
找到最佳解世代,2318
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),BA[2](10),PG[21](8),
Stock#,AAPL[0](1),BA[2](10),PG[21](8),
張數,35597,24873,41167,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.919999999925494,102.270000000018626,41.010000000242144,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3388152.380000000353903,3295526.040000000037253,3338684.709999999962747,10022364.129999998956919
FS( 3 ),3352911.349999999627471,3255729.239999999757856,3359268.209999999962747,9967909.800000000745058
FS( 4 ),3319094.199999999720603,3285328.110000000335276,3346918.110000000335276,9951341.420000001788139
FS( 5 ),3300583.759999999776483,3314678.250000000000000,3381086.720000000204891,9996349.730000000447035
FS( 6 ),3303075.550000000279397,3285825.569999999832362,3380675.050000000279397,9969577.169999999925494
FS( 7 ),3325501.660000000149012,3350992.830000000074506,3395495.170000000391155,10071990.660000000149012
FS( 8 ),3293108.390000000130385,3308211.270000000018626,3381910.060000000521541,9983230.720000000670552
FS( 9 ),3215862.899999999906868,3343530.929999999701977,3392613.479999999981374,9952008.310000000521541
FS( 10 ),3222270.359999999869615,3286323.030000000260770,3344036.420000000391155,9852630.810000000521541
FS( 11 ),3341876.279999999795109,3336566.489999999757856,3360503.220000000204891,10038946.990000000223517
FS( 12 ),3327993.449999999720603,3297267.149999999906868,3318924.550000000279397,9944186.150000000372529
FS( 13 ),3366082.240000000223517,3258216.540000000037253,3287225.959999999962747,9911525.740000000223517
FS( 14 ),3353267.319999999832362,3185836.110000000335276,3301222.740000000223517,9840327.169999999925494
FS( 15 ),3389576.259999999776483,3168673.740000000223517,3294224.350000000093132,9852475.349999999627471
FS( 16 ),3432648.630000000353903,3173399.609999999869615,3301634.410000000149012,9907683.650000000372529
FS( 17 ),3484976.220000000204891,3171409.770000000018626,3333333.000000000000000,9989719.990000000223517
FS( 18 ),3546203.060000000055879,3205237.050000000279397,3354328.170000000391155,10105769.280000001192093
FS( 19 ),3574324.689999999944121,3216429.899999999906868,3343624.750000000000000,10134380.339999999850988
FS( 20 ),3572188.869999999646097,3214191.330000000074506,3352269.820000000298023,10138651.019999999552965
FS( 21 ),3554746.339999999850988,3137831.220000000204891,3336214.690000000409782,10028793.250000000000000
FS( 22 ),3504910.539999999571592,3144298.199999999720603,3367089.940000000409782,10016299.679999999701977
FS( 23 ),3478568.759999999776483,3155242.319999999832362,3373676.660000000149012,10007488.740000000223517
FS( 24 ),3485688.160000000149012,3168425.009999999776483,3395083.500000000000000,10049197.669999999925494
FS( 25 ),3510962.029999999795109,3280850.970000000204891,3407433.600000000093132,10199247.599999999627471
FS( 26 ),3525200.830000000074506,3281597.160000000149012,3388908.450000000186265,10195707.440000001341105
FS( 27 ),3521997.099999999627471,3308211.270000000018626,3402493.560000000521541,10232702.929999999701977
FS( 28 ),3547270.970000000204891,3310698.569999999832362,3423900.400000000372529,10281870.940000001341105
FS( 29 ),3518081.429999999701977,3261947.489999999757856,3425135.410000000149012,10205165.330000000074506
FS( 30 ),3465041.899999999906868,3231602.429999999701977,3399200.200000000186265,10095845.530000001192093
FS( 31 ),3469313.539999999571592,3246028.770000000018626,3431310.459999999962747,10146653.769999999552965
FS( 32 ),3457922.500000000000000,3237571.949999999720603,3414843.660000000149012,10110339.109999999403954
FS( 33 ),3472517.270000000018626,3217922.280000000260770,3433780.479999999981374,10124221.030000001192093
