代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12997431.769999999552965
真實報酬,2997431.769999999552965

夏普值報酬,0.291043177000000
夏普值風險,0.081087569570468
夏普值,3.589245288047178

二次趨勢線,74.350974982396906 x^2 + 15269.076251242247963 x + 10000000.000000000000000
二次加權預期報酬,27710.472731629986811
風險,161411.558937754773069
二次加權趨勢值,0.171675888108583
一次趨勢線,22267.250689326505380 x + 10000000.000000000000000
一次預期報酬,22267.250689326505380
一次風險,207994.842493406758877
一次趨勢值,0.107056744399960
找到最佳解世代,1297
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](4),JNJ[12](7),UNH[23](2),
Stock#,BA[2](1),CSCO[4](4),JNJ[12](7),UNH[23](2),
張數,33391,120019,33701,44826,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.830000000074506,4.229999999981374,59.819999999832362,53.979999999981374,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2511352.939999999944121,2498799.810000000055879,2497640.929999999701977,2499103.479999999981374,10006897.160000000149012
FS( 3 ),2534058.820000000298023,2530004.750000000000000,2516176.479999999515712,2589652.000000000000000,10169892.050000000745058
FS( 4 ),2547415.220000000204891,2543206.840000000316650,2540778.209999999962747,2572169.859999999869615,10203570.130000000819564
FS( 5 ),2585480.960000000428408,2532405.130000000353903,2529656.879999999888241,2557377.279999999795109,10204920.250000000000000
FS( 6 ),2556430.790000000037253,2539606.270000000018626,2543811.299999999813735,2588307.220000000204891,10228155.580000000074506
FS( 7 ),2533391.000000000000000,2552808.359999999869615,2541452.229999999515712,2560515.100000000093132,10188166.689999999478459
FS( 8 ),2537397.919999999925494,2516802.659999999683350,2554595.619999999646097,2555584.239999999757856,10164380.439999999478459
FS( 9 ),2496994.810000000055879,2537205.890000000130385,2549877.479999999515712,2565445.959999999962747,10149524.140000000596046
FS( 10 ),2502003.460000000428408,2519203.039999999571592,2554932.629999999888241,2557377.279999999795109,10133516.410000000149012
FS( 11 ),2505342.560000000055879,2519203.039999999571592,2566727.979999999515712,2569480.299999999813735,10160753.879999998956919
FS( 12 ),2492653.980000000447035,2575611.970000000204891,2593688.779999999795109,2539895.139999999664724,10201849.870000001043081
FS( 13 ),2496994.810000000055879,2533605.319999999832362,2583241.470000000204891,2474897.439999999944121,10088739.039999999105930
FS( 14 ),2538065.740000000223517,2491598.670000000391155,2590655.689999999944121,2476242.220000000204891,10096562.320000000298023
FS( 15 ),2559769.890000000130385,2508401.329999999608845,2569761.069999999832362,2441726.199999999720603,10079658.489999998360872
FS( 16 ),2505342.560000000055879,2479596.770000000018626,2546844.389999999664724,2389279.779999999795109,9921063.500000000000000
FS( 17 ),2526044.980000000447035,2473595.819999999832362,2552910.569999999832362,2378073.279999999795109,9930624.650000000372529
FS( 18 ),2583143.589999999850988,2507201.140000000130385,2572120.139999999664724,2414830.600000000093132,10077295.470000000670552
FS( 19 ),2567783.730000000447035,2503600.569999999832362,2565042.929999999701977,2396003.680000000167638,10032430.910000000149012
FS( 20 ),2580472.310000000055879,2500000.000000000000000,2584926.520000000018626,2399141.500000000000000,10064540.330000000074506
FS( 21 ),2574128.020000000018626,2489198.289999999571592,2601777.020000000018626,2390176.299999999813735,10055279.629999998956919
FS( 22 ),2626551.890000000130385,2546807.409999999683350,2617279.479999999515712,2398244.979999999981374,10188883.759999999776483
FS( 23 ),2640576.109999999869615,2606816.909999999683350,2608180.209999999962747,2403175.839999999850988,10258749.070000000298023
FS( 24 ),2706356.379999999888241,2616418.430000000167638,2620312.569999999832362,2411692.779999999795109,10354780.160000000149012
FS( 25 ),2712366.760000000242144,2620019.000000000000000,2635141.009999999776483,2412141.040000000037253,10379667.809999998658895
FS( 26 ),2769465.370000000111759,2626019.949999999720603,2643566.259999999776483,2430071.439999999944121,10469123.019999999552965
FS( 27 ),2810202.390000000130385,2604416.529999999795109,2647610.379999999888241,2457863.560000000055879,10520092.859999999403954
FS( 28 ),2829903.080000000074506,2590014.250000000000000,2647273.369999999646097,2442174.459999999962747,10509365.160000000149012
FS( 29 ),2825562.250000000000000,2591214.439999999944121,2665808.919999999459833,2453380.959999999962747,10535966.570000000298023
FS( 30 ),2885999.960000000428408,2632020.899999999906868,2668842.009999999776483,2453380.959999999962747,10640243.830000000074506
FS( 31 ),2844261.210000000428408,2600815.959999999962747,2656035.629999999888241,2465483.979999999981374,10566596.779999999329448
FS( 32 ),2855280.240000000223517,2582813.109999999869615,2657720.679999999701977,2473104.399999999906868,10568918.429999999701977
FS( 33 ),2850605.500000000000000,2600815.959999999962747,2677604.270000000018626,2460104.859999999869615,10589130.589999999850988
FS( 34 ),2815878.859999999869615,2501200.189999999944121,2662775.830000000074506,2468173.540000000037253,10448028.419999999925494
FS( 35 ),2832240.449999999720603,2490398.479999999981374,2687377.559999999590218,2441277.939999999944121,10451294.429999999701977
FS( 36 ),2833242.179999999701977,2502400.380000000353903,2685355.500000000000000,2459208.339999999850988,10480206.400000000372529
FS( 37 ),2892344.250000000000000,2502400.380000000353903,2724785.669999999459833,2494620.879999999888241,10614151.179999999701977
FS( 38 ),2878320.030000000260770,2500000.000000000000000,2738940.089999999850988,2538102.100000000093132,10655362.220000000670552
FS( 39 ),2866633.179999999701977,2508401.329999999608845,2747702.350000000093132,2564549.439999999944121,10687286.299999998882413
FS( 40 ),2846598.580000000074506,2500000.000000000000000,2761182.750000000000000,2643443.199999999720603,10751224.529999999329448
FS( 41 ),2807865.020000000018626,2546807.409999999683350,2786795.509999999776483,2767611.220000000204891,10909079.160000000149012
FS( 42 ),2816880.589999999850988,2544407.029999999795109,2765900.889999999664724,2764473.399999999906868,10891661.909999998286366
FS( 43 ),2836581.280000000260770,2525203.989999999757856,2777359.229999999515712,2780610.760000000242144,10919755.259999999776483
FS( 44 ),2877318.300000000279397,2473595.819999999832362,2764889.859999999869615,2783748.580000000074506,10899552.560000000521541
FS( 45 ),2896685.080000000074506,2468795.060000000055879,2733547.929999999701977,2774335.120000000111759,10873363.190000001341105
FS( 46 ),2912044.939999999944121,2516802.659999999683350,2747365.339999999850988,2787334.660000000149012,10963547.599999999627471
