代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11565313.539999999105930
真實報酬,1565313.539999999105930

夏普值報酬,0.147831354000000
夏普值風險,0.046006737298388
夏普值,3.213254464040866

二次趨勢線,-19.053778089213584 x^2 + 15605.578569476527264 x + 10000000.000000000000000
二次加權預期報酬,12417.246369214781225
風險,114375.042879781147349
二次加權趨勢值,0.108566047772034
一次趨勢線,13812.170173629288911 x + 10000000.000000000000000
一次預期報酬,13812.170173629288911
一次風險,119213.117455457249889
一次趨勢值,0.115861160822257
找到最佳解世代,1804
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](3),DIS[6](2),KO[14](1),TRV[22](8),V[25](5),VZ[26](7),WMT[28](13),
Stock#,AXP[1](3),DIS[6](2),KO[14](1),TRV[22](8),V[25](5),VZ[26](7),WMT[28](13),
張數,29892,39693,42745,25955,58452,37822,24374,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,32.320000000065193,19.929999999934807,33.099999999860302,7.800000000046566,4.119999999878928,34.059999999823049,10.860000000102445,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1441723.479999999981374,1453180.659999999916181,1418739.649999999674037,1407807.000000000000000,1420387.719999999972060,1431596.759999999776483,1415896.520000000251457,9989334.789999999105930
FS( 3 ),1458164.080000000074506,1466279.349999999860302,1417457.299999999813735,1418967.650000000139698,1404021.159999999916181,1439161.159999999683350,1421990.020000000251457,10026043.719999998807907
FS( 4 ),1451587.840000000083819,1461913.119999999878928,1425151.399999999906868,1436617.050000000046566,1393499.799999999813735,1449373.099999999860302,1432714.580000000074506,10050859.889999998733401
FS( 5 ),1469523.040000000037253,1472630.229999999981374,1427288.649999999906868,1450892.300000000046566,1418634.159999999916181,1448994.879999999888241,1426133.600000000093132,10114099.859999999403954
FS( 6 ),1429168.840000000083819,1425792.489999999990687,1426433.749999999767169,1441288.950000000186265,1399929.519999999785796,1430083.879999999888241,1413215.380000000121072,9965915.810000000521541
FS( 7 ),1458761.919999999925494,1451196.010000000009313,1443959.199999999953434,1454006.900000000139698,1420387.719999999972060,1453533.519999999785796,1421502.540000000037253,10103350.809999998658895
FS( 8 ),1431560.200000000186265,1454768.379999999888241,1429853.350000000093132,1449075.449999999953434,1416296.079999999841675,1450507.759999999776483,1415896.520000000251457,10047960.739999998360872
FS( 9 ),1416614.200000000186265,1442066.619999999878928,1420876.899999999906868,1451670.949999999953434,1401683.079999999841675,1447103.779999999795109,1403953.260000000242144,9983971.790000000968575
FS( 10 ),1407347.679999999934807,1395625.809999999823049,1416174.949999999953434,1452709.149999999906868,1408112.799999999813735,1447103.779999999795109,1405171.959999999962747,9932249.129999998956919
FS( 11 ),1387618.960000000195578,1396816.599999999860302,1429853.350000000093132,1474511.350000000093132,1400514.040000000037253,1453155.299999999813735,1412484.160000000149012,9954956.759999999776483
FS( 12 ),1401369.280000000027940,1401976.689999999944121,1441394.499999999767169,1486710.200000000186265,1423894.839999999850988,1466771.219999999972060,1420283.840000000083819,10042403.570000000298023
FS( 13 ),1376260.000000000000000,1379351.679999999934807,1440112.149999999674037,1471915.850000000093132,1440845.919999999692664,1461097.919999999925494,1408340.580000000074506,9977927.099999999627471
FS( 14 ),1432456.960000000195578,1435715.739999999990687,1461912.100000000093132,1509291.050000000046566,1481177.799999999813735,1483034.679999999934807,1442707.920000000158325,10246299.250000000000000
FS( 15 ),1419603.400000000139698,1439685.040000000037253,1486704.199999999953434,1533688.750000000232831,1471825.479999999748543,1483791.119999999646097,1447582.720000000204891,10282883.710000000894070
FS( 16 ),1423788.280000000027940,1466676.280000000027940,1479010.099999999860302,1536284.250000000000000,1469487.399999999906868,1486060.439999999711290,1442707.920000000158325,10304017.669999999925494
FS( 17 ),1433353.720000000204891,1496446.030000000027940,1494825.749999999767169,1540437.050000000046566,1497544.359999999869615,1512157.619999999646097,1462207.120000000111759,10436974.649999998509884
FS( 18 ),1424685.040000000037253,1492873.659999999916181,1493543.399999999674037,1545108.950000000186265,1489361.079999999841675,1512535.839999999850988,1458307.280000000027940,10416418.249999998137355
FS( 19 ),1404059.560000000055879,1478187.250000000000000,1485849.299999999813735,1527719.100000000093132,1471825.479999999748543,1503836.779999999795109,1455869.880000000121072,10327350.349999999627471
FS( 20 ),1420500.160000000149012,1496842.959999999962747,1499527.699999999720603,1549002.199999999953434,1507481.199999999720603,1514805.159999999683350,1462207.120000000111759,10450369.500000000000000
FS( 21 ),1410037.960000000195578,1488507.429999999934807,1495680.649999999906868,1535765.150000000139698,1483515.879999999888241,1517452.699999999720603,1456601.100000000093132,10387563.869999999180436
FS( 22 ),1446506.200000000186265,1520658.760000000009313,1499100.249999999767169,1531093.250000000000000,1505143.119999999878928,1502702.119999999646097,1470494.280000000027940,10475700.979999998584390
FS( 23 ),1442022.400000000139698,1542092.979999999981374,1489696.349999999860302,1524864.050000000046566,1478255.199999999720603,1483034.679999999934807,1455382.400000000139698,10415351.059999998658895
FS( 24 ),1458761.919999999925494,1567893.429999999934807,1482857.149999999674037,1539917.949999999953434,1489361.079999999841675,1472822.739999999757856,1448313.940000000176951,10459931.209999999031425
FS( 25 ),1442919.160000000149012,1584167.559999999823049,1473453.249999999767169,1540437.050000000046566,1471825.479999999748543,1449751.319999999832362,1438076.860000000102445,10400633.679999997839332
FS( 26 ),1446506.200000000186265,1577816.679999999934807,1473453.249999999767169,1549261.750000000000000,1460135.079999999841675,1451264.199999999720603,1442464.180000000167638,10400904.339999999850988
FS( 27 ),1454875.960000000195578,1573053.520000000018626,1482002.250000000000000,1559903.300000000046566,1458381.519999999785796,1458828.599999999860302,1439051.820000000065193,10426099.970000000670552
FS( 28 ),1463245.720000000204891,1536139.030000000027940,1454645.449999999953434,1554712.300000000046566,1448444.679999999934807,1471309.859999999869615,1447826.459999999962747,10376326.500000000000000
FS( 29 ),1484170.120000000111759,1537329.819999999832362,1443959.199999999953434,1552116.800000000046566,1481177.799999999813735,1472066.299999999813735,1450263.860000000102445,10421086.899999998509884
FS( 30 ),1487458.239999999990687,1524231.129999999888241,1431563.149999999906868,1540956.149999999906868,1472410.000000000000000,1472066.299999999813735,1451238.820000000065193,10379926.789999999105930
FS( 31 ),1501208.560000000055879,1527406.569999999832362,1439257.250000000000000,1549261.750000000000000,1498128.879999999888241,1475848.500000000000000,1458794.760000000242144,10449909.269999999552965
FS( 32 ),1511371.840000000083819,1548840.790000000037253,1444814.099999999627471,1554452.750000000000000,1516833.519999999785796,1475470.279999999795109,1462694.600000000093132,10514480.879999998956919
FS( 33 ),1523029.720000000204891,1565511.849999999860302,1441821.949999999720603,1565094.300000000046566,1495790.799999999813735,1475092.059999999823049,1477319.000000000000000,10543662.679999999701977
FS( 34 ),1495828.000000000000000,1560351.760000000009313,1455500.349999999627471,1598576.250000000232831,1470071.919999999692664,1473957.399999999674037,1487068.600000000093132,10541357.279999999329448
FS( 35 ),1477892.800000000046566,1557970.179999999934807,1464904.250000000000000,1564834.750000000000000,1455458.919999999692664,1452398.859999999869615,1484631.199999999953434,10458093.959999999031425
