代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11961553.439999999478459
真實報酬,1961553.439999999478459

夏普值報酬,0.187455344000000
夏普值風險,0.055974282729636
夏普值,3.348954821010158

二次趨勢線,-3.397437905488260 x^2 + 14326.806987281457623 x + 10000000.000000000000000
二次加權預期報酬,13753.772460555770522
風險,319299.658492632093839
二次加權趨勢值,0.043074811058319
一次趨勢線,14004.480101726407156 x + 10000000.000000000000000
一次預期報酬,14004.480101726407156
一次風險,319357.731011602969375
一次趨勢值,0.043852015285071
找到最佳解世代,2429
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,123992,
分配資金,10000000.000000000000000,
剩餘資金,45.199999999254942,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10167389.199999999254942,10167389.199999999254942
FS( 3 ),10208306.559999998658895,10208306.559999998658895
FS( 4 ),10231865.039999999105930,10231865.039999999105930
FS( 5 ),10246744.080000000074506,10246744.080000000074506
FS( 6 ),10210786.399999998509884,10210786.399999998509884
FS( 7 ),10092994.000000000000000,10092994.000000000000000
FS( 8 ),10096713.759999999776483,10096713.759999999776483
FS( 9 ),10107873.039999999105930,10107873.039999999105930
FS( 10 ),10081834.719999998807907,10081834.719999998807907
FS( 11 ),10204586.799999998882413,10204586.799999998882413
FS( 12 ),10376935.679999999701977,10376935.679999999701977
FS( 13 ),10376935.679999999701977,10376935.679999999701977
FS( 14 ),10370736.080000000074506,10370736.080000000074506
FS( 15 ),10402974.000000000000000,10402974.000000000000000
FS( 16 ),10339738.080000000074506,10339738.080000000074506
FS( 17 ),10321139.279999999329448,10321139.279999999329448
FS( 18 ),10336018.319999998435378,10336018.319999998435378
FS( 19 ),10345937.679999999701977,10345937.679999999701977
FS( 20 ),10350897.359999999403954,10350897.359999999403954
FS( 21 ),10352137.279999999329448,10352137.279999999329448
FS( 22 ),10342217.919999998062849,10342217.919999998062849
FS( 23 ),10285181.599999999627471,10285181.599999999627471
FS( 24 ),10254183.599999999627471,10254183.599999999627471
FS( 25 ),10327338.880000000819564,10327338.880000000819564
FS( 26 ),10247984.000000000000000,10247984.000000000000000
FS( 27 ),10156229.919999998062849,10156229.919999998062849
FS( 28 ),10214506.159999998286366,10214506.159999998286366
FS( 29 ),10168629.119999999180436,10168629.119999999180436
FS( 30 ),10305020.319999998435378,10305020.319999998435378
FS( 31 ),10347177.599999999627471,10347177.599999999627471
FS( 32 ),10367016.319999998435378,10367016.319999998435378
FS( 33 ),10446371.199999999254942,10446371.199999999254942
FS( 34 ),10415373.199999999254942,10415373.199999999254942
FS( 35 ),10415373.199999999254942,10415373.199999999254942
FS( 36 ),10584002.319999998435378,10584002.319999998435378
FS( 37 ),10641038.639999998733401,10641038.639999998733401
FS( 38 ),10448851.039999999105930,10448851.039999999105930
FS( 39 ),10306260.240000000223517,10306260.240000000223517
FS( 40 ),10323619.119999999180436,10323619.119999999180436
FS( 41 ),10274022.319999998435378,10274022.319999998435378
FS( 42 ),10319899.359999999403954,10319899.359999999403954
FS( 43 ),10374455.839999999850988,10374455.839999999850988
FS( 44 ),10460010.319999998435378,10460010.319999998435378
FS( 45 ),10295100.959999999031425,10295100.959999999031425
FS( 46 ),10157469.839999999850988,10157469.839999999850988
FS( 47 ),10185988.000000000000000,10185988.000000000000000
FS( 48 ),10216986.000000000000000,10216986.000000000000000
FS( 49 ),10192187.599999999627471,10192187.599999999627471
FS( 50 ),10097953.679999999701977,10097953.679999999701977
FS( 51 ),9779294.240000000223517,9779294.240000000223517
FS( 52 ),9802852.719999998807907,9802852.719999998807907
FS( 53 ),9935524.159999998286366,9935524.159999998286366
FS( 54 ),10044637.119999999180436,10044637.119999999180436
FS( 55 ),10150030.319999998435378,10150030.319999998435378
FS( 56 ),9949163.279999999329448,9949163.279999999329448
FS( 57 ),10824546.799999998882413,10824546.799999998882413
FS( 58 ),10737752.399999998509884,10737752.399999998509884
FS( 59 ),10807187.919999998062849,10807187.919999998062849
FS( 60 ),11092369.519999997690320,11092369.519999997690320
FS( 61 ),11035333.199999999254942,11035333.199999999254942
FS( 62 ),10893982.319999998435378,10893982.319999998435378
FS( 63 ),10941099.279999999329448,10941099.279999999329448
FS( 64 ),11058891.679999999701977,11058891.679999999701977
FS( 65 ),10995655.759999999776483,10995655.759999999776483
FS( 66 ),11108488.480000000447035,11108488.480000000447035
FS( 67 ),11135766.719999998807907,11135766.719999998807907
FS( 68 ),11308115.599999999627471,11308115.599999999627471
FS( 69 ),11346553.119999999180436,11346553.119999999180436
FS( 70 ),11319274.880000000819564,11319274.880000000819564
FS( 71 ),11327954.319999998435378,11327954.319999998435378
FS( 72 ),11458145.919999998062849,11458145.919999998062849
FS( 73 ),11494103.599999999627471,11494103.599999999627471
FS( 74 ),11589577.439999999478459,11589577.439999999478459
FS( 75 ),11592057.279999999329448,11592057.279999999329448
FS( 76 ),11634214.559999998658895,11634214.559999998658895
FS( 77 ),11632974.639999998733401,11632974.639999998733401
FS( 78 ),11567258.880000000819564,11567258.880000000819564
FS( 79 ),11419708.399999998509884,11419708.399999998509884
FS( 80 ),11334153.919999998062849,11334153.919999998062849
FS( 81 ),11350272.880000000819564,11350272.880000000819564
FS( 82 ),11399869.679999999701977,11399869.679999999701977
FS( 83 ),11496583.439999999478459,11496583.439999999478459
FS( 84 ),11532541.119999999180436,11532541.119999999180436
FS( 85 ),11508982.639999998733401,11508982.639999998733401
FS( 86 ),11718529.119999999180436,11718529.119999999180436
FS( 87 ),11570978.639999998733401,11570978.639999998733401
FS( 88 ),11569738.719999998807907,11569738.719999998807907
FS( 89 ),11599496.799999998882413,11599496.799999998882413
FS( 90 ),11463105.599999999627471,11463105.599999999627471
FS( 91 ),11535020.959999999031425,11535020.959999999031425
FS( 92 ),11644133.919999998062849,11644133.919999998062849
FS( 93 ),11659012.959999999031425,11659012.959999999031425
FS( 94 ),11964033.279999999329448,11964033.279999999329448
FS( 95 ),11982632.080000000074506,11982632.080000000074506
FS( 96 ),11502783.039999999105930,11502783.039999999105930
FS( 97 ),11468065.279999999329448,11468065.279999999329448
FS( 98 ),11377551.119999999180436,11377551.119999999180436
FS( 99 ),11280837.359999999403954,11280837.359999999403954
FS( 100 ),11279597.439999999478459,11279597.439999999478459
FS( 101 ),10831986.319999998435378,10831986.319999998435378
FS( 102 ),11170484.480000000447035,11170484.480000000447035
FS( 103 ),11409789.039999999105930,11409789.039999999105930
FS( 104 ),11305635.759999999776483,11305635.759999999776483
FS( 105 ),11397389.839999999850988,11397389.839999999850988
FS( 106 ),11318034.959999999031425,11318034.959999999031425
FS( 107 ),11238680.080000000074506,11238680.080000000074506
FS( 108 ),11468065.279999999329448,11468065.279999999329448
FS( 109 ),11422188.240000000223517,11422188.240000000223517
FS( 110 ),11464345.519999997690320,11464345.519999997690320
FS( 111 ),11277117.599999999627471,11277117.599999999627471
FS( 112 ),11304395.839999999850988,11304395.839999999850988
FS( 113 ),11378791.039999999105930,11378791.039999999105930
FS( 114 ),11301916.000000000000000,11301916.000000000000000
FS( 115 ),11408549.119999999180436,11408549.119999999180436
FS( 116 ),11329194.240000000223517,11329194.240000000223517
FS( 117 ),11238680.080000000074506,11238680.080000000074506
FS( 118 ),11335393.839999999850988,11335393.839999999850988
FS( 119 ),11213881.679999999701977,11213881.679999999701977
FS( 120 ),11759446.480000000447035,11759446.480000000447035
FS( 121 ),11692490.799999998882413,11692490.799999998882413
FS( 122 ),11605696.399999998509884,11605696.399999998509884
FS( 123 ),11595777.039999999105930,11595777.039999999105930
FS( 124 ),11598256.880000000819564,11598256.880000000819564
FS( 125 ),11719769.039999999105930,11719769.039999999105930
FS( 126 ),11961553.439999999478459,11961553.439999999478459
