代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12213010.719999998807907
真實報酬,2213010.719999998807907

夏普值報酬,0.212601072000000
夏普值風險,0.085660491915953
夏普值,2.481903468504443

二次趨勢線,216.812862267572683 x^2 + -5910.929505346845872 x + 10000000.000000000000000
二次加權預期報酬,30947.257080140505423
風險,257111.013063760619843
二次加權趨勢值,0.120365350015038
一次趨勢線,14821.481606545276009 x + 10000000.000000000000000
一次預期報酬,14821.481606545276009
一次風險,471146.835599069134332
一次趨勢值,0.031458306597135
找到最佳解世代,2413
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](3),
Stock#,HD[9](1),MCD[15](3),
張數,145985,57877,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,13.750000000000000,5.969999999739230,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4791241.450000000186265,4923023.589999999850988,9714265.039999999105930
FS( 3 ),4810219.500000000000000,4950804.549999999813735,9761024.050000000745058
FS( 4 ),4627738.250000000000000,4877879.530000000260770,9505617.780000001192093
FS( 5 ),4487592.649999999441206,4924181.129999999888241,9411773.779999999329448
FS( 6 ),4223359.799999999813735,4752286.439999999478459,8975646.239999998360872
FS( 7 ),4401461.500000000000000,4975112.889999999664724,9376574.390000000596046
FS( 8 ),4162046.100000000093132,4866304.129999999888241,9028350.230000000447035
FS( 9 ),4386863.000000000000000,4993633.530000000260770,9380496.530000001192093
FS( 10 ),4464235.049999999813735,5006366.469999999739230,9470601.519999999552965
FS( 11 ),4592701.850000000558794,5024887.109999999403954,9617588.960000000894070
FS( 12 ),4835036.949999999254942,5016205.559999999590218,9851242.509999997913837
FS( 13 ),4877372.599999999627471,5064243.469999999739230,9941616.070000000298023
FS( 14 ),4694891.349999999627471,4954855.939999999478459,9649747.289999999105930
FS( 15 ),4654015.549999999813735,5048616.679999999701977,9702632.230000000447035
FS( 16 ),4712409.549999999813735,5079291.490000000223517,9791701.039999999105930
FS( 17 ),4833577.099999999627471,5181733.780000000260770,10015310.879999998956919
FS( 18 ),5017518.199999999254942,5216459.979999999515712,10233978.179999999701977
FS( 19 ),4940146.150000000372529,5134274.639999999664724,10074420.789999999105930
FS( 20 ),4963503.750000000000000,5204884.580000000074506,10168388.330000000074506
FS( 21 ),4962043.900000000372529,5254658.799999999813735,10216702.699999999254942
FS( 22 ),4900730.200000000186265,5254080.030000000260770,10154810.230000000447035
