代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12846422.580000000074506
真實報酬,2846422.580000000074506

夏普值報酬,0.275942258000000
夏普值風險,0.077886197731247
夏普值,3.542890345631730

二次趨勢線,129.321689474653596 x^2 + 6503.482680680550402 x + 10000000.000000000000000
二次加權預期報酬,28143.312052772591414
風險,199186.068737821566174
二次加權趨勢值,0.141291568386824
一次趨勢線,18675.693492786947900 x + 10000000.000000000000000
一次預期報酬,18675.693492786947900
一次風險,302877.963137725484557
一次趨勢值,0.061660786738369
找到最佳解世代,2082
找到最佳解實驗#,2
找到最佳解次數,28

stock[index](rank)
投資組合檔數,2
BA[2](1),MCD[15](7),
Stock#,BA[2](1),MCD[15](7),
張數,95950,88121,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,45.500000000000000,14.459999999962747,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4931875.500000000000000,4997356.370000000111759,9929231.870000001043081
FS( 3 ),5016311.500000000000000,4988544.269999999552965,10004855.769999999552965
FS( 4 ),5017271.000000000000000,5061684.700000000186265,10078955.699999999254942
FS( 5 ),4969296.000000000000000,5035248.400000000372529,10004544.400000000372529
FS( 6 ),5018230.500000000000000,5011455.729999999515712,10029686.230000000447035
FS( 7 ),5055651.000000000000000,4996475.160000000149012,10052126.160000000149012
FS( 8 ),4956822.500000000000000,4994712.740000000223517,9951535.240000000223517
FS( 9 ),4979850.500000000000000,5027317.509999999776483,10007168.009999999776483
FS( 10 ),5038380.000000000000000,5066971.959999999962747,10105351.960000000894070
FS( 11 ),4966417.500000000000000,5128656.660000000149012,10095074.160000000149012
FS( 12 ),5103626.000000000000000,5179766.839999999850988,10283392.839999999850988
FS( 13 ),5128573.000000000000000,5223827.339999999850988,10352400.339999999850988
FS( 14 ),4978891.000000000000000,5192103.780000000260770,10170994.780000001192093
FS( 15 ),4857994.000000000000000,5140112.389999999664724,9998106.390000000596046
FS( 16 ),4900212.000000000000000,5243213.959999999962747,10143425.960000000894070
FS( 17 ),4786991.000000000000000,5237045.490000000223517,10024036.490000000223517
FS( 18 ),4633471.000000000000000,5216777.660000000149012,9850248.660000000149012
FS( 19 ),4581658.000000000000000,5200915.879999999888241,9782573.879999998956919
FS( 20 ),4530804.500000000000000,5167429.900000000372529,9698234.400000000372529
FS( 21 ),4683365.000000000000000,5211490.400000000372529,9894855.400000000372529
FS( 22 ),4586455.500000000000000,5164786.269999999552965,9751241.769999999552965
FS( 23 ),4631552.000000000000000,5213252.819999999366701,9844804.820000000298023
FS( 24 ),4615240.500000000000000,5220302.500000000000000,9835543.000000000000000
FS( 25 ),4612362.000000000000000,5312829.549999999813735,9925191.550000000745058
FS( 26 ),4775477.000000000000000,5417693.540000000037253,10193170.539999999105930
FS( 27 ),4766841.500000000000000,5438842.580000000074506,10205684.080000000074506
FS( 28 ),4927078.000000000000000,5519913.900000000372529,10446991.900000000372529
FS( 29 ),4828249.500000000000000,5488190.339999999850988,10316439.839999999850988
FS( 30 ),4862791.500000000000000,5536656.889999999664724,10399448.390000000596046
FS( 31 ),4824411.500000000000000,5478497.030000000260770,10302908.530000001192093
FS( 32 ),4862791.500000000000000,5602747.639999999664724,10465539.140000000596046
FS( 33 ),5035501.500000000000000,5686462.589999999850988,10721964.089999999850988
FS( 34 ),5040299.000000000000000,5601866.429999999701977,10642165.429999999701977
FS( 35 ),4991364.500000000000000,5637996.040000000037253,10629360.539999999105930
FS( 36 ),4934754.000000000000000,5587767.069999999366701,10522521.070000000298023
