代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11243059.980000000447035
真實報酬,1243059.980000000447035

夏普值報酬,0.115605998000000
夏普值風險,0.042401040669222
夏普值,2.726489637409222

二次趨勢線,150.638649736783066 x^2 + -9001.977127940746868 x + 10000000.000000000000000
二次加權預期報酬,15602.335662400484580
風險,234860.989243813732173
二次加權趨勢值,0.066432214701282
一次趨勢線,4837.718247264360798 x + 10000000.000000000000000
一次預期報酬,4837.718247264360798
一次風險,345379.521540457324591
一次趨勢值,0.014006963197144
找到最佳解世代,2861
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](2),NKE[19](3),PG[21](1),
Stock#,INTC[11](2),NKE[19](3),PG[21](1),
張數,69502,41876,40306,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,17.080000000074506,3.400000000372529,26.799999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3316652.520000000018626,3346733.320000000298023,3357113.540000000037253,10020500.379999998956919
FS( 3 ),3284681.600000000093132,3366833.800000000745058,3331317.700000000186265,9982834.100000001490116
FS( 4 ),3228384.980000000447035,3362646.200000000186265,3301491.259999999776483,9892523.440000001341105
FS( 5 ),3217959.679999999701977,3438023.000000000000000,3320435.079999999608845,9976418.759999999776483
FS( 6 ),3122741.939999999944121,3460217.280000000260770,3305521.859999999869615,9888482.080000000074506
FS( 7 ),3122741.939999999944121,3475711.400000000372529,3349858.459999999962747,9948312.800000000745058
FS( 8 ),3167223.220000000204891,3495393.120000000111759,3363562.500000000000000,10026179.839999999850988
FS( 9 ),3165138.160000000149012,3496230.640000000130385,3370011.459999999962747,10031381.260000001639128
FS( 10 ),3156797.920000000391155,3486599.160000000614673,3395807.299999999813735,10039205.380000000819564
FS( 11 ),3204059.280000000260770,3570351.160000000614673,3385730.799999999813735,10160142.240000002086163
FS( 12 ),3207534.379999999888241,3535594.080000000540167,3385730.799999999813735,10128860.260000001639128
FS( 13 ),3280511.480000000447035,3574957.520000000484288,3440546.959999999962747,10296016.960000000894070
FS( 14 ),3242980.399999999906868,3582495.200000000186265,3459087.719999999739230,10284564.320000000298023
FS( 15 ),3260355.899999999906868,3528893.920000000391155,3396613.419999999459833,10185864.240000000223517
FS( 16 ),3190853.899999999906868,3550669.440000000409782,3350261.520000000018626,10091785.859999999403954
FS( 17 ),3176258.480000000447035,3505024.600000000558794,3355904.359999999869615,10037188.440000001341105
FS( 18 ),3188768.840000000316650,3540200.440000000409782,3339781.959999999962747,10068752.240000002086163
FS( 19 ),3286766.660000000149012,3547738.120000000111759,3354695.180000000167638,10189200.960000000894070
FS( 20 ),3228384.980000000447035,3536850.360000000335276,3372429.819999999832362,10137666.160000000149012
FS( 21 ),3343063.280000000260770,3466079.920000000391155,3400240.959999999962747,10209385.160000000149012
FS( 22 ),3388934.600000000093132,3454773.400000000372529,3346633.979999999981374,10190342.980000000447035
FS( 23 ),3345148.340000000316650,3357621.080000000540167,3301894.319999999832362,10004664.740000000223517
FS( 24 ),3268696.140000000130385,3355108.520000000484288,3311164.700000000186265,9934970.359999999403954
FS( 25 ),3268696.140000000130385,3359714.880000000353903,3321241.200000000186265,9949653.220000000670552
FS( 26 ),3235335.179999999701977,3367671.320000000298023,3313180.000000000000000,9916187.500000000000000
FS( 27 ),3113706.679999999701977,3138190.840000000316650,3282547.439999999944121,9534445.959999999031425
FS( 28 ),3074090.540000000037253,3120184.160000000614673,3178961.020000000018626,9373236.720000000670552
FS( 29 ),3119266.840000000316650,3178810.560000000055879,3186619.159999999683350,9484697.560000000521541
FS( 30 ),3094941.140000000130385,3140284.640000000130385,3229746.579999999608845,9464973.359999999403954
FS( 31 ),3192938.959999999962747,3244555.880000000353903,3265215.859999999869615,9702711.699999999254942
FS( 32 ),3189463.860000000335276,3202679.880000000353903,3299475.959999999962747,9691620.699999999254942
FS( 33 ),3125522.020000000018626,3165829.000000000000000,3234180.239999999757856,9525532.259999999776483
FS( 34 ),3058105.080000000074506,3107621.360000000335276,3518740.599999999627471,9684468.039999999105930
FS( 35 ),3128302.100000000093132,3136515.800000000745058,3490526.399999999441206,9755345.300000000745058
FS( 36 ),3092856.080000000074506,3071608.000000000000000,3513097.759999999776483,9677562.839999999850988
FS( 37 ),2948291.920000000391155,3020100.520000000484288,3605801.559999999590218,9574195.000000000000000
FS( 38 ),3079650.700000000186265,3061139.000000000000000,3587260.799999999813735,9728051.500000000000000
FS( 39 ),3175563.459999999962747,3018006.720000000204891,3541311.959999999962747,9734883.140000000596046
FS( 40 ),3155407.879999999888241,3023031.840000000316650,3556628.239999999757856,9735068.960000000894070
FS( 41 ),3319432.600000000093132,3120184.160000000614673,3594918.939999999944121,10034536.700000001117587
FS( 42 ),3258270.840000000316650,3142378.440000000409782,3574362.879999999888241,9975013.160000000149012
FS( 43 ),3351403.520000000018626,3215661.440000000409782,3611041.339999999850988,10178107.300000000745058
FS( 44 ),3274256.299999999813735,3206867.480000000447035,3619908.659999999683350,10101033.439999999478459
FS( 45 ),3334028.020000000018626,3246649.680000000633299,3675934.000000000000000,10256612.700000001117587
FS( 46 ),3283986.580000000074506,3206448.720000000204891,3688428.859999999869615,10178865.160000000149012
FS( 47 ),3386154.520000000018626,3265075.120000000111759,3679561.540000000037253,10330792.179999999701977
FS( 48 ),3404920.060000000055879,3257118.680000000633299,3682382.959999999962747,10344422.699999999254942
FS( 49 ),3343758.299999999813735,3197654.760000000242144,3724704.259999999776483,10266118.320000000298023
FS( 50 ),3242285.379999999888241,3144891.000000000000000,3736393.000000000000000,10123570.379999998956919
FS( 51 ),3293716.860000000335276,3149078.600000000558794,3767428.619999999646097,10210225.080000000074506
FS( 52 ),3272866.260000000242144,3149078.600000000558794,3768234.739999999757856,10190180.600000001490116
FS( 53 ),3343758.299999999813735,3112646.480000000447035,3781938.779999999795109,10238344.560000000521541
FS( 54 ),3393799.739999999757856,3129815.640000000130385,3781535.719999999739230,10305152.099999999627471
FS( 55 ),3336113.080000000074506,3036850.920000000391155,3760173.540000000037253,10133138.539999999105930
FS( 56 ),3293716.860000000335276,2978224.520000000484288,3712209.399999999441206,9984151.780000001192093
FS( 57 ),3268696.140000000130385,3030569.520000000484288,3684398.259999999776483,9983664.919999999925494
FS( 58 ),3234640.160000000149012,2993718.640000000130385,3689638.040000000037253,9917997.839999999850988
FS( 59 ),3297886.980000000447035,3044807.360000000335276,3705760.439999999944121,10048455.780000001192093
FS( 60 ),3340978.220000000204891,3018844.240000000689179,3737199.119999999646097,10097022.580000000074506
FS( 61 ),3395884.799999999813735,3126465.560000000055879,3748887.859999999869615,10271239.219999998807907
FS( 62 ),3315262.480000000447035,3113065.240000000689179,3741229.719999999739230,10169558.440000001341105
FS( 63 ),3427160.700000000186265,3145728.520000000484288,3809346.859999999869615,10382237.080000000074506
FS( 64 ),3484152.340000000316650,3263818.840000000316650,3761382.719999999739230,10509354.900000000372529
FS( 65 ),3318737.580000000074506,3173785.440000000409782,3760979.659999999683350,10253503.679999999701977
FS( 66 ),3361828.819999999832362,3163316.440000000409782,3770653.099999999627471,10295799.359999999403954
FS( 67 ),3213789.560000000055879,3071189.240000000689179,3726316.500000000000000,10011296.300000000745058
FS( 68 ),3281206.500000000000000,3036432.160000000614673,3749693.979999999981374,10067333.640000000596046
FS( 69 ),3293021.840000000316650,3080820.720000000204891,3785163.259999999776483,10159006.820000000298023
