代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10823320.980000000447035
真實報酬,823320.980000000447035

夏普值報酬,0.073632098000000
夏普值風險,0.044771797914664
夏普值,1.644608915200242

二次趨勢線,233.087413848068252 x^2 + -20770.269026464215131 x + 10000000.000000000000000
二次加權預期報酬,18233.024890779208363
風險,176474.475215206679422
二次加權趨勢值,0.103318198671759
一次趨勢線,1168.735563817113416 x + 10000000.000000000000000
一次預期報酬,1168.735563817113416
一次風險,447509.488003028964158
一次趨勢值,0.002611644211238
找到最佳解世代,2145
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](3),NKE[19](1),
Stock#,DIS[6](3),NKE[19](1),
張數,45252,73909,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,106.520000000484288,56.149999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4918998.920000000856817,4968219.129999998956919,9887218.050000000745058
FS( 3 ),4737990.920000000856817,4759056.659999999217689,9497047.580000000074506
FS( 4 ),4804511.360000000335276,4820401.129999998956919,9624912.489999998360872
FS( 5 ),4740706.040000000968575,4850703.819999999366701,9591409.859999999403954
FS( 6 ),4586396.720000000670552,4618629.559999999590218,9205026.280000001192093
FS( 7 ),4665135.200000000186265,4840356.559999998658895,9505491.759999997913837
FS( 8 ),4678710.800000000745058,4876571.969999999739230,9555282.769999999552965
FS( 9 ),4711744.760000000707805,4868441.979999999515712,9580186.740000000223517
FS( 10 ),4733465.720000000670552,5022911.789999999105930,9756377.509999999776483
FS( 11 ),4759711.880000000819564,5047301.759999999776483,9807013.640000000596046
FS( 12 ),4820802.080000000074506,5048040.849999999627471,9868842.929999999701977
FS( 13 ),4795913.480000000447035,4988174.559999998658895,9784088.039999999105930
FS( 14 ),4753829.120000000111759,4955654.599999999627471,9709483.719999998807907
FS( 15 ),4762427.000000000000000,4961567.319999999366701,9723994.320000000298023
FS( 16 ),4853383.520000000484288,5037693.589999998919666,9891077.109999999403954
FS( 17 ),4969228.640000000596046,5147818.000000000000000,10117046.640000000596046
FS( 18 ),4745683.760000000707805,5028085.419999999925494,9773769.179999999701977
FS( 19 ),4668302.840000000782311,4954176.419999999925494,9622479.260000001639128
FS( 20 ),4641604.160000000149012,4901701.029999999329448,9543305.189999999478459
FS( 21 ),4660610.000000000000000,4869920.159999999217689,9530530.160000000149012
FS( 22 ),4679615.840000000782311,4807836.599999999627471,9487452.440000001341105
FS( 23 ),4748851.400000000372529,4821879.309999998658895,9570730.709999999031425
FS( 24 ),4687761.200000000186265,4742796.679999999701977,9430557.879999998956919
FS( 25 ),4707672.080000000074506,4812271.139999999664724,9519943.219999998807907
FS( 26 ),4739348.480000000447035,4900222.849999999627471,9639571.330000000074506
FS( 27 ),4759259.360000000335276,4938655.529999999329448,9697914.890000000596046
FS( 28 ),4694096.480000000447035,4890614.679999999701977,9584711.160000000149012
FS( 29 ),4701789.320000000298023,4892831.949999999254942,9594621.269999999552965
FS( 30 ),4671923.000000000000000,4906874.659999999217689,9578797.660000000149012
FS( 31 ),4655179.760000000707805,4871398.339999998919666,9526578.099999999627471
FS( 32 ),4592279.480000000447035,4856616.539999999105930,9448896.019999999552965
FS( 33 ),4586396.720000000670552,4937177.349999999627471,9523574.070000000298023
FS( 34 ),4607665.160000000149012,4903918.299999998882413,9511583.459999999031425
FS( 35 ),4552457.720000000670552,4761273.929999999701977,9313731.650000000372529
FS( 36 ),4459238.600000000558794,4776794.819999999366701,9236033.419999999925494
FS( 37 ),4554720.320000000298023,4870659.250000000000000,9425379.570000000298023
FS( 38 ),4496345.240000000223517,4890614.679999999701977,9386959.919999999925494
FS( 39 ),4459238.600000000558794,4836661.109999999403954,9295899.710000000894070
FS( 40 ),4545217.400000000372529,4910570.109999999403954,9455787.509999999776483
FS( 41 ),4464668.840000000782311,4739101.229999999515712,9203770.070000000298023
FS( 42 ),4499060.360000000335276,4929786.449999999254942,9428846.809999998658895
FS( 43 ),4568295.920000000856817,5056909.929999999701977,9625205.850000001490116
FS( 44 ),4620788.240000000223517,5143383.459999999962747,9764171.699999999254942
FS( 45 ),4541144.720000000670552,4992609.099999999627471,9533753.820000000298023
FS( 46 ),4511730.920000000856817,4965262.769999999552965,9476993.690000001341105
FS( 47 ),4587301.760000000707805,4951959.149999999441206,9539260.910000000149012
FS( 48 ),4561508.120000000111759,4939394.619999999180436,9500902.739999998360872
FS( 49 ),4542954.800000000745058,5008869.079999999143183,9551823.879999998956919
FS( 50 ),4541144.720000000670552,4970436.399999999441206,9511581.120000001043081
FS( 51 ),4536167.000000000000000,4956393.689999999478459,9492560.689999999478459
FS( 52 ),4623503.360000000335276,4989652.740000000223517,9613156.100000001490116
FS( 53 ),4580061.440000000409782,4892831.949999999254942,9472893.390000000596046
FS( 54 ),4565580.800000000745058,4858094.719999999739230,9423675.519999999552965
FS( 55 ),4536167.000000000000000,4884701.959999999962747,9420868.960000000894070
FS( 56 ),4532094.320000000298023,4943090.069999999366701,9475184.390000000596046
FS( 57 ),4500870.440000000409782,4949741.879999998956919,9450612.320000000298023
FS( 58 ),4577346.320000000298023,4927569.179999999701977,9504915.500000000000000
FS( 59 ),4518066.200000000186265,5029563.599999999627471,9547629.800000000745058
FS( 60 ),4490462.480000000447035,5141166.189999999478459,9631628.669999999925494
FS( 61 ),4540239.680000000633299,5054692.659999999217689,9594932.339999999850988
FS( 62 ),4528021.640000000596046,5033259.049999998882413,9561280.689999999478459
FS( 63 ),4508110.760000000707805,5045084.490000000223517,9553195.250000000000000
FS( 64 ),4469194.040000000968575,4944568.250000000000000,9413762.290000000968575
FS( 65 ),4577346.320000000298023,5033259.049999998882413,9610605.369999999180436
