代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12670524.460000000894070
真實報酬,2670524.460000000894070

夏普值報酬,0.258352446000000
夏普值風險,0.063432405665142
夏普值,4.072877944497916

二次趨勢線,66.951523383145314 x^2 + 10964.977968950228387 x + 10000000.000000000000000
二次加權預期報酬,22168.199548396551108
風險,134033.883865781826898
二次加權趨勢值,0.165392503067323
一次趨勢線,17266.690080212483736 x + 10000000.000000000000000
一次預期報酬,17266.690080212483736
一次風險,178657.628568399522919
一次趨勢值,0.096646811102174
找到最佳解世代,1875
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](5),MCD[15](2),MSFT[18](4),UNH[23](1),
Stock#,BA[2](5),MCD[15](2),MSFT[18](4),UNH[23](1),
張數,15246,20421,39320,15364,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,113.379999999888241,61.180000000167638,34.399999999906868,123.560000000055879,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2473929.339999999850988,2516336.800000000279397,2483878.799999999813735,2470040.199999999720603,9944185.140000000596046
FS( 3 ),2476063.779999999795109,2537166.220000000204891,2503932.000000000000000,2487094.240000000223517,10004256.240000000223517
FS( 4 ),2500152.459999999962747,2541454.630000000353903,2502359.199999999720603,2466199.199999999720603,10010165.489999998360872
FS( 5 ),2538572.379999999888241,2544313.570000000298023,2494102.000000000000000,2466506.479999999981374,10043494.429999999701977
FS( 6 ),2497560.640000000130385,2545947.250000000000000,2490563.200000000186265,2463126.399999999906868,9997197.490000000223517
FS( 7 ),2504726.259999999776483,2542067.260000000242144,2518873.600000000093132,2465123.720000000204891,10030790.839999999850988
FS( 8 ),2534455.959999999962747,2569431.399999999906868,2516514.399999999906868,2469886.560000000055879,10090288.320000000298023
FS( 9 ),2561898.759999999776483,2563713.520000000484288,2544824.799999999813735,2488937.920000000391155,10159375.000000000000000
FS( 10 ),2569064.379999999888241,2569227.190000000409782,2538926.799999999813735,2506452.879999999888241,10183671.250000000000000
FS( 11 ),2581261.180000000167638,2582909.260000000242144,2537354.000000000000000,2524275.120000000111759,10225799.560000000521541
FS( 12 ),2604282.640000000130385,2587401.880000000353903,2536960.799999999813735,2514442.160000000149012,10243087.480000000447035
FS( 13 ),2633250.040000000037253,2609864.979999999981374,2540892.800000000279397,2421797.240000000223517,10205805.060000000521541
FS( 14 ),2676701.140000000130385,2614766.020000000018626,2535781.199999999720603,2467121.040000000037253,10294369.399999998509884
FS( 15 ),2673651.939999999944121,2610886.030000000260770,2530669.600000000093132,2467121.040000000037253,10282328.609999999403954
FS( 16 ),2696520.939999999944121,2619462.850000000558794,2540892.800000000279397,2498309.959999999962747,10355186.550000000745058
FS( 17 ),2705363.619999999646097,2627222.830000000074506,2540892.800000000279397,2505377.399999999906868,10378856.650000000372529
FS( 18 ),2735703.160000000149012,2593323.970000000204891,2525558.000000000000000,2541021.879999999888241,10395607.010000001639128
FS( 19 ),2747899.959999999962747,2606801.830000000074506,2515728.000000000000000,2541021.879999999888241,10411451.669999999925494
FS( 20 ),2804005.239999999757856,2635391.230000000447035,2553475.199999999720603,2580353.720000000204891,10573225.390000000596046
FS( 21 ),2789978.919999999925494,2618646.009999999776483,2516907.600000000093132,2570674.399999999906868,10496206.929999999701977
FS( 22 ),2777629.660000000149012,2611907.080000000074506,2526344.399999999906868,2584348.359999999869615,10500229.500000000000000
FS( 23 ),2758572.160000000149012,2614561.810000000055879,2527130.799999999813735,2592030.359999999869615,10492295.130000000819564
FS( 24 ),2775190.299999999813735,2615378.649999999906868,2532242.399999999906868,2585884.760000000242144,10508696.109999999403954
FS( 25 ),2770921.419999999925494,2615787.070000000298023,2555441.199999999720603,2579892.799999999813735,10522042.489999998360872
FS( 26 ),2753083.599999999627471,2616808.120000000111759,2545218.000000000000000,2581429.199999999720603,10496538.919999999925494
FS( 27 ),2724573.579999999608845,2613540.760000000242144,2553082.000000000000000,2611696.279999999795109,10502892.619999999180436
FS( 28 ),2729909.680000000167638,2605984.990000000223517,2544431.599999999627471,2615230.000000000000000,10495556.269999999552965
FS( 29 ),2725030.959999999962747,2609864.979999999981374,2532635.599999999627471,2597561.399999999906868,10465092.939999999478459
FS( 30 ),2724726.040000000037253,2611498.660000000149012,2546004.399999999906868,2639351.479999999981374,10521580.580000000074506
FS( 31 ),2716798.119999999646097,2613540.760000000242144,2541679.199999999720603,2631976.760000000242144,10503994.839999999850988
FS( 32 ),2745917.979999999981374,2627018.620000000111759,2550722.800000000279397,2607394.359999999869615,10531053.759999999776483
FS( 33 ),2735093.319999999832362,2629877.560000000055879,2553082.000000000000000,2581275.560000000055879,10499328.439999999478459
FS( 34 ),2682799.540000000037253,2624568.100000000558794,2524771.599999999627471,2576666.359999999869615,10408805.599999999627471
FS( 35 ),2698350.459999999962747,2636412.280000000260770,2557014.000000000000000,2566372.479999999981374,10458149.220000000670552
FS( 36 ),2702619.339999999850988,2634370.180000000167638,2550722.800000000279397,2539639.120000000111759,10427351.440000001341105
FS( 37 ),2680665.099999999627471,2641313.320000000298023,2555048.000000000000000,2535183.560000000055879,10412209.980000000447035
FS( 38 ),2684933.979999999981374,2644376.470000000204891,2559766.399999999906868,2529037.959999999962747,10418114.809999998658895
FS( 39 ),2704143.939999999944121,2643559.629999999888241,2567237.200000000186265,2540560.959999999962747,10455501.730000000447035
FS( 40 ),2708260.359999999869615,2631102.820000000298023,2574314.799999999813735,2511215.720000000204891,10424893.699999999254942
FS( 41 ),2713596.459999999962747,2640904.899999999906868,2583751.599999999627471,2535029.920000000391155,10473282.879999998956919
FS( 42 ),2696520.939999999944121,2646826.990000000223517,2589649.600000000093132,2519973.199999999720603,10452970.729999998584390
FS( 43 ),2693319.279999999795109,2646826.990000000223517,2577460.399999999906868,2544248.320000000298023,10461854.990000000223517
FS( 44 ),2724573.579999999608845,2640292.270000000018626,2584538.000000000000000,2534722.640000000130385,10484126.490000000223517
FS( 45 ),2699875.060000000055879,2663163.790000000037253,2577853.600000000093132,2540868.240000000223517,10481760.689999999478459
FS( 46 ),2704296.399999999906868,2657854.330000000074506,2584538.000000000000000,2540407.320000000298023,10487096.050000000745058
FS( 47 ),2726860.479999999981374,2653974.340000000316650,2582572.000000000000000,2550854.840000000316650,10514261.660000000149012
FS( 48 ),2707193.140000000130385,2654382.759999999776483,2576674.000000000000000,2542558.279999999795109,10480808.179999999701977
FS( 49 ),2722591.599999999627471,2679296.379999999888241,2574708.000000000000000,2547935.680000000167638,10524531.660000000149012
FS( 50 ),2684171.680000000167638,2680521.640000000130385,2564878.000000000000000,2543787.399999999906868,10473358.720000000670552
FS( 51 ),2677615.899999999906868,2670311.140000000130385,2553868.399999999906868,2534569.000000000000000,10436364.439999999478459
FS( 52 ),2729452.299999999813735,2682359.530000000260770,2574708.000000000000000,2568677.080000000074506,10555196.910000000149012
FS( 53 ),2711614.479999999981374,2701759.480000000447035,2571169.199999999720603,2590340.320000000298023,10574883.480000000447035
FS( 54 ),2719999.779999999795109,2708702.620000000111759,2557407.200000000186265,2600480.560000000055879,10586590.160000000149012
FS( 55 ),2733721.180000000167638,2721567.850000000558794,2575494.399999999906868,2635664.120000000111759,10666447.550000000745058
FS( 56 ),2750186.859999999869615,2724426.790000000037253,2610882.399999999906868,2629825.799999999813735,10715321.850000001490116
FS( 57 ),2775800.140000000130385,2741172.009999999776483,2655314.000000000000000,2647801.680000000167638,10820087.830000000074506
FS( 58 ),2797906.839999999850988,2893716.879999999888241,2670648.799999999813735,2674074.120000000111759,11036346.640000000596046
FS( 59 ),2770464.040000000037253,2876154.820000000298023,2667110.000000000000000,2679297.879999999888241,10993026.740000000223517
FS( 60 ),2793485.500000000000000,2876767.450000000186265,2684410.799999999813735,2683138.879999999888241,11037802.629999998956919
