代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11173665.100000001490116
真實報酬,1173665.100000001490116

夏普值報酬,0.108666510000000
夏普值風險,0.037575229143419
夏普值,2.891971984661367

二次趨勢線,149.015160901655321 x^2 + -12506.893146298929423 x + 10000000.000000000000000
二次加權預期報酬,13024.371088184681867
風險,216974.692132132040570
二次加權趨勢值,0.060027143996375
一次趨勢線,1854.225551024804872 x + 10000000.000000000000000
一次預期報酬,1854.225551024804872
一次風險,350776.938542453630362
一次趨勢值,0.005286053178779
找到最佳解世代,2449
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](1),MCD[15](2),
Stock#,CSCO[4](1),MCD[15](2),
張數,284414,63580,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.880000000819564,68.799999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4951649.620000001043081,5019074.000000000000000,9970723.620000001043081
FS( 3 ),4968714.460000000894070,5027339.399999999441206,9996053.859999999403954
FS( 4 ),4971558.600000000558794,4997456.799999999813735,9969015.400000000372529
FS( 5 ),4994311.720000000670552,5003814.799999999813735,9998126.519999999552965
FS( 6 ),5005688.280000001192093,5042598.599999999627471,10048286.880000000819564
FS( 7 ),5059726.940000000409782,5068030.599999999627471,10127757.539999999105930
FS( 8 ),5056882.800000000745058,5055314.600000000558794,10112197.400000002235174
FS( 9 ),4815130.900000000372529,5128431.599999999627471,9943562.500000000000000
FS( 10 ),4800910.200000000186265,5133517.999999999068677,9934428.199999999254942
FS( 11 ),4721274.280000001192093,5158950.000000000000000,9880224.280000001192093
FS( 12 ),4732650.840000000782311,5145598.200000000186265,9878249.040000000968575
FS( 13 ),4735494.980000000447035,5181838.799999999813735,9917333.780000001192093
FS( 14 ),4738339.120000001043081,5246054.600000000558794,9984393.720000002533197
FS( 15 ),4701365.300000000745058,5234610.199999999254942,9935975.500000000000000
FS( 16 ),4650170.780000001192093,5245418.799999999813735,9895589.580000001937151
FS( 17 ),4627417.660000001080334,5254320.000000000000000,9881737.660000000149012
FS( 18 ),4604664.540000000968575,5259406.399999999441206,9864070.940000001341105
FS( 19 ),4621729.380000000819564,5240968.200000000186265,9862697.580000001937151
FS( 20 ),4681456.320000001229346,5189468.400000000372529,9870924.720000002533197
FS( 21 ),4778157.080000001005828,5184382.000000000000000,9962539.080000001937151
FS( 22 ),4658703.200000000186265,5148777.200000000186265,9807480.400000000372529
FS( 23 ),4621729.380000000819564,5134153.799999999813735,9755883.179999999701977
FS( 24 ),4553470.020000001415610,5120802.000000000000000,9674272.020000001415610
FS( 25 ),4547781.740000001154840,5130974.799999999813735,9678756.540000000968575
FS( 26 ),4411263.020000000484288,5158950.000000000000000,9570213.019999999552965
