代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13002578.759999999776483
真實報酬,3002578.759999999776483

夏普值報酬,0.291557876000000
夏普值風險,0.078841134545540
夏普值,3.698042623062322

二次趨勢線,101.055669349847776 x^2 + 9279.180028569615388 x + 10000000.000000000000000
二次加權預期報酬,26593.384710510206787
風險,362767.580482993333135
二次加權趨勢值,0.073306949521519
一次趨勢線,19018.272707390740834 x + 10000000.000000000000000
一次預期報酬,19018.272707390740834
一次風險,408089.508665394911077
一次趨勢值,0.046603189505135
找到最佳解世代,2328
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,198452,
分配資金,10000000.000000000000000,
剩餘資金,3.720000000670552,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10005953.560000000521541,10005953.560000000521541
FS( 3 ),9964278.640000000596046,9964278.640000000596046
FS( 4 ),9944433.440000001341105,9944433.440000001341105
FS( 5 ),10067473.679999999701977,10067473.679999999701977
FS( 6 ),10164715.160000000149012,10164715.160000000149012
FS( 7 ),10200436.519999999552965,10200436.519999999552965
FS( 8 ),10158761.599999999627471,10158761.599999999627471
FS( 9 ),10136931.880000000819564,10136931.880000000819564
FS( 10 ),10263941.160000000149012,10263941.160000000149012
FS( 11 ),10416749.200000001117587,10416749.200000001117587
FS( 12 ),10394919.480000000447035,10394919.480000000447035
FS( 13 ),10383012.360000001266599,10383012.360000001266599
FS( 14 ),10381027.840000001713634,10381027.840000001713634
FS( 15 ),10359198.120000001043081,10359198.120000001043081
FS( 16 ),10363167.160000000149012,10363167.160000000149012
FS( 17 ),10261956.640000000596046,10261956.640000000596046
FS( 18 ),10204405.560000000521541,10204405.560000000521541
FS( 19 ),10150823.519999999552965,10150823.519999999552965
FS( 20 ),10089303.400000002235174,10089303.400000002235174
FS( 21 ),10097241.480000000447035,10097241.480000000447035
FS( 22 ),10132962.840000001713634,10132962.840000001713634
FS( 23 ),10172653.240000000223517,10172653.240000000223517
FS( 24 ),10117086.679999999701977,10117086.679999999701977
FS( 25 ),10125024.760000001639128,10125024.760000001639128
FS( 26 ),10065489.160000000149012,10065489.160000000149012
FS( 27 ),10057551.080000000074506,10057551.080000000074506
FS( 28 ),10254018.560000000521541,10254018.560000000521541
FS( 29 ),10307600.599999999627471,10307600.599999999627471
FS( 30 ),10297678.000000000000000,10297678.000000000000000
FS( 31 ),10256003.080000000074506,10256003.080000000074506
FS( 32 ),10375074.280000001192093,10375074.280000001192093
FS( 33 ),10394919.480000000447035,10394919.480000000447035
FS( 34 ),10517959.720000000670552,10517959.720000000670552
FS( 35 ),10571541.760000001639128,10571541.760000001639128
FS( 36 ),10597340.519999999552965,10597340.519999999552965
FS( 37 ),10637030.920000001788139,10637030.920000001788139
FS( 38 ),10539789.440000001341105,10539789.440000001341105
FS( 39 ),10440563.440000001341105,10440563.440000001341105
FS( 40 ),10887080.440000001341105,10887080.440000001341105
FS( 41 ),10684659.400000002235174,10684659.400000002235174
FS( 42 ),10718396.240000000223517,10718396.240000000223517
FS( 43 ),10859297.160000000149012,10859297.160000000149012
FS( 44 ),10902956.599999999627471,10902956.599999999627471
FS( 45 ),10898987.560000000521541,10898987.560000000521541
FS( 46 ),11043857.519999999552965,11043857.519999999552965
FS( 47 ),10843421.000000000000000,10843421.000000000000000
FS( 48 ),10859297.160000000149012,10859297.160000000149012
FS( 49 ),10966461.240000000223517,10966461.240000000223517
FS( 50 ),11154990.640000000596046,11154990.640000000596046
FS( 51 ),11147052.560000000521541,11147052.560000000521541
FS( 52 ),11103393.120000001043081,11103393.120000001043081
FS( 53 ),11147052.560000000521541,11147052.560000000521541
FS( 54 ),11192696.519999999552965,11192696.519999999552965
FS( 55 ),11226433.360000001266599,11226433.360000001266599
FS( 56 ),11212541.720000000670552,11212541.720000000670552
FS( 57 ),11321690.320000000298023,11321690.320000000298023
FS( 58 ),11311767.720000000670552,11311767.720000000670552
FS( 59 ),11212541.720000000670552,11212541.720000000670552
FS( 60 ),11087516.960000000894070,11087516.960000000894070
FS( 61 ),11260170.200000001117587,11260170.200000001117587
FS( 62 ),11403055.640000000596046,11403055.640000000596046
FS( 63 ),11412978.240000000223517,11412978.240000000223517
FS( 64 ),11432823.440000001341105,11432823.440000001341105
FS( 65 ),11395117.560000000521541,11395117.560000000521541
FS( 66 ),11488390.000000000000000,11488390.000000000000000
FS( 67 ),11585631.480000000447035,11585631.480000000447035
FS( 68 ),11422900.840000001713634,11422900.840000001713634
FS( 69 ),11363365.240000000223517,11363365.240000000223517
FS( 70 ),11446715.080000000074506,11446715.080000000074506
FS( 71 ),11357411.679999999701977,11357411.679999999701977
FS( 72 ),11218495.280000001192093,11218495.280000001192093
FS( 73 ),11272077.320000000298023,11272077.320000000298023
FS( 74 ),11347489.080000000074506,11347489.080000000074506
FS( 75 ),11409009.200000001117587,11409009.200000001117587
FS( 76 ),11393133.039999999105930,11393133.039999999105930
FS( 77 ),11407024.679999999701977,11407024.679999999701977
FS( 78 ),11143083.519999999552965,11143083.519999999552965
FS( 79 ),10605278.599999999627471,10605278.599999999627471
FS( 80 ),10307600.599999999627471,10307600.599999999627471
FS( 81 ),10273863.760000001639128,10273863.760000001639128
FS( 82 ),10791823.480000000447035,10791823.480000000447035
FS( 83 ),11174835.840000001713634,11174835.840000001713634
FS( 84 ),11162928.720000000670552,11162928.720000000670552
FS( 85 ),11089501.480000000447035,11089501.480000000447035
FS( 86 ),10779916.360000001266599,10779916.360000001266599
FS( 87 ),10984321.920000001788139,10984321.920000001788139
FS( 88 ),11000198.080000000074506,11000198.080000000074506
FS( 89 ),10885095.920000001788139,10885095.920000001788139
FS( 90 ),11089501.480000000447035,11089501.480000000447035
FS( 91 ),10900972.080000000074506,10900972.080000000074506
FS( 92 ),10952569.599999999627471,10952569.599999999627471
FS( 93 ),11095455.039999999105930,11095455.039999999105930
FS( 94 ),11103393.120000001043081,11103393.120000001043081
FS( 95 ),11295891.560000000521541,11295891.560000000521541
FS( 96 ),11468544.800000000745058,11468544.800000000745058
FS( 97 ),11438777.000000000000000,11438777.000000000000000
FS( 98 ),11416947.280000001192093,11416947.280000001192093
FS( 99 ),11565786.280000001192093,11565786.280000001192093
FS( 100 ),11508235.200000001117587,11508235.200000001117587
FS( 101 ),11454653.160000000149012,11454653.160000000149012
FS( 102 ),11391148.519999999552965,11391148.519999999552965
FS( 103 ),12403253.720000000670552,12403253.720000000670552
FS( 104 ),12119467.360000001266599,12119467.360000001266599
FS( 105 ),11875371.400000002235174,11875371.400000002235174
FS( 106 ),12202817.200000001117587,12202817.200000001117587
FS( 107 ),12288151.560000000521541,12288151.560000000521541
FS( 108 ),12425083.440000001341105,12425083.440000001341105
FS( 109 ),12331811.000000000000000,12331811.000000000000000
FS( 110 ),12224646.920000001788139,12224646.920000001788139
FS( 111 ),12115498.320000000298023,12115498.320000000298023
FS( 112 ),12395315.640000000596046,12395315.640000000596046
FS( 113 ),12397300.160000000149012,12397300.160000000149012
FS( 114 ),12546139.160000000149012,12546139.160000000149012
FS( 115 ),12484619.039999999105930,12484619.039999999105930
FS( 116 ),12486603.560000000521541,12486603.560000000521541
FS( 117 ),12780312.520000001415610,12780312.520000001415610
FS( 118 ),12947012.199999999254942,12947012.199999999254942
FS( 119 ),13218891.440000001341105,13218891.440000001341105
FS( 120 ),13135541.599999999627471,13135541.599999999627471
FS( 121 ),13145464.199999999254942,13145464.199999999254942
FS( 122 ),13139510.639999998733401,13139510.639999998733401
FS( 123 ),12952965.759999999776483,12952965.759999999776483
FS( 124 ),13036315.599999999627471,13036315.599999999627471
FS( 125 ),12980749.039999999105930,12980749.039999999105930
FS( 126 ),13028377.520000001415610,13028377.520000001415610
FS( 127 ),13010516.840000001713634,13010516.840000001713634
FS( 128 ),13002578.759999999776483,13002578.759999999776483
