代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12669756.949999999254942
真實報酬,2669756.949999999254942

夏普值報酬,0.258275695000000
夏普值風險,0.065341855208395
夏普值,3.952683837584324

二次趨勢線,67.281808526023994 x^2 + 10639.735332150823524 x + 10000000.000000000000000
二次加權預期報酬,22167.351859609600069
風險,130207.363454295904376
二次加權趨勢值,0.170246530392197
一次趨勢線,17123.921455001243885 x + 10000000.000000000000000
一次預期報酬,17123.921455001243885
一次風險,180112.635890072007896
一次趨勢值,0.095073404319353
找到最佳解世代,1894
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MCD[15](3),PFE[20](7),VZ[26](4),WBA[27](1),
Stock#,MCD[15](3),PFE[20](7),VZ[26](4),WBA[27](1),
張數,15707,68965,52290,39770,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,73.879999999888241,18.750000000000000,15.100000000093132,57.799999999813735,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2516649.419999999925494,2513793.000000000000000,2500522.899999999906868,2517498.799999999813735,10048464.120000001043081
FS( 3 ),2505026.239999999757856,2513103.349999999627471,2508366.399999999906868,2501193.099999999627471,10027689.089999999850988
FS( 4 ),2550576.540000000037253,2508965.450000000186265,2531374.000000000000000,2511533.299999999813735,10102449.289999999105930
FS( 5 ),2662096.239999999757856,2516551.600000000093132,2562748.000000000000000,2529429.799999999813735,10270825.640000000596046
FS( 6 ),2653143.250000000000000,2528965.300000000279397,2571637.300000000279397,2521475.799999999813735,10275221.650000002235174
FS( 7 ),2615132.310000000055879,2503448.250000000000000,2577912.100000000093132,2547724.000000000000000,10244216.660000000149012
FS( 8 ),2618901.989999999757856,2503448.250000000000000,2552290.000000000000000,2533406.799999999813735,10208047.039999999105930
FS( 9 ),2616545.939999999944121,2497931.049999999813735,2478561.100000000093132,2541758.499999999534339,10134796.589999999850988
FS( 10 ),2623928.229999999981374,2493793.149999999906868,2500522.899999999906868,2579937.700000000186265,10198181.980000000447035
FS( 11 ),2614661.100000000093132,2507586.149999999906868,2513072.500000000000000,2616923.799999999813735,10252243.550000000745058
FS( 12 ),2611833.839999999850988,2493793.149999999906868,2481698.500000000000000,2551303.299999999813735,10138628.789999999105930
FS( 13 ),2591257.669999999925494,2497931.049999999813735,2536080.100000000093132,2569597.500000000000000,10194866.320000000298023
FS( 14 ),2553403.799999999813735,2514482.649999999906868,2514641.200000000186265,2704417.799999999813735,10286945.449999999254942
FS( 15 ),2521518.589999999850988,2503448.250000000000000,2542877.800000000279397,2696066.100000000093132,10263910.740000000223517
FS( 16 ),2584660.729999999981374,2517930.899999999906868,2601965.500000000000000,2688907.500000000000000,10393464.629999998956919
FS( 17 ),2510209.549999999813735,2508965.450000000186265,2593599.100000000093132,2674192.599999999627471,10286966.699999999254942
FS( 18 ),2527487.250000000000000,2508965.450000000186265,2577912.100000000093132,2647546.699999999720603,10261911.500000000000000
FS( 19 ),2472669.819999999832362,2497241.399999999906868,2578435.000000000000000,2635218.000000000000000,10183564.219999998807907
FS( 20 ),2455392.119999999646097,2507586.149999999906868,2659484.500000000000000,2374326.799999999813735,9996789.570000000298023
FS( 21 ),2461203.709999999962747,2502068.950000000186265,2630725.000000000000000,2387053.199999999720603,9981050.859999999403954
FS( 22 ),2464030.969999999739230,2505517.199999999720603,2636476.900000000372529,2431197.899999999906868,10037222.970000000670552
FS( 23 ),2457905.239999999757856,2506896.500000000000000,2651118.100000000093132,2416482.999999999534339,10032402.839999999850988
FS( 24 ),2471099.119999999646097,2542758.299999999813735,2681446.300000000279397,2480910.399999999906868,10176214.120000001043081
FS( 25 ),2504083.819999999832362,2559309.899999999906868,2691904.299999999813735,2517498.799999999813735,10272796.820000000298023
FS( 26 ),2512251.459999999962747,2562758.149999999906868,2653209.700000000186265,2534599.899999999906868,10262819.209999999031425
FS( 27 ),2522932.219999999739230,2581378.700000000186265,2684583.700000000186265,2513521.799999999813735,10302416.419999999925494
FS( 28 ),2491518.219999999739230,2566206.399999999906868,2684583.700000000186265,2531815.999999999534339,10274124.319999998435378
FS( 29 ),2499371.719999999739230,2587585.550000000279397,2679354.700000000186265,2540565.399999999906868,10306877.369999999180436
FS( 30 ),2489790.449999999720603,2588275.200000000186265,2688244.000000000000000,2591868.699999999720603,10358178.349999999627471
FS( 31 ),2494031.339999999850988,2577930.450000000186265,2697656.200000000186265,2591470.999999999534339,10361088.990000000223517
FS( 32 ),2509267.129999999888241,2596551.000000000000000,2689289.800000000279397,2610162.899999999441206,10405270.829999998211861
FS( 33 ),2480680.390000000130385,2597240.649999999906868,2674125.700000000186265,2631240.999999999534339,10383287.740000000223517
FS( 34 ),2472512.750000000000000,2576551.149999999906868,2653732.600000000093132,2582323.899999999906868,10285120.400000000372529
FS( 35 ),2481308.669999999925494,2574482.199999999720603,2646934.899999999906868,2584312.399999999906868,10287038.169999999925494
FS( 36 ),2493560.129999999888241,2566206.399999999906868,2653732.600000000093132,2598629.600000000093132,10312128.729999998584390
FS( 37 ),2480837.459999999962747,2599999.250000000000000,2693473.000000000000000,2605390.500000000000000,10379700.210000000894070
FS( 38 ),2495759.109999999869615,2619999.100000000093132,2662099.000000000000000,2652716.799999999813735,10430574.009999999776483
FS( 39 ),2452564.859999999869615,2631723.149999999906868,2676217.300000000279397,2686123.600000000093132,10446628.910000000149012
FS( 40 ),2473612.239999999757856,2648964.399999999906868,2719618.000000000000000,2729870.599999999627471,10572065.239999998360872
FS( 41 ),2491832.359999999869615,2661378.100000000093132,2744717.200000000186265,2750550.999999999534339,10648478.660000000149012
FS( 42 ),2474554.659999999683350,2753791.200000000186265,2700270.700000000186265,2689305.200000000186265,10617921.759999999776483
FS( 43 ),2464816.319999999832362,2777239.300000000279397,2704976.799999999813735,2642376.599999999627471,10589409.019999999552965
