代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12040375.129999998956919
真實報酬,2040375.129999998956919

夏普值報酬,0.195337513000000
夏普值風險,0.056775035507261
夏普值,3.440552898906053

二次趨勢線,21.576281067962370 x^2 + 13568.404849815613488 x + 10000000.000000000000000
二次加權預期報酬,17265.141006126494176
風險,96652.259338718271465
二次加權趨勢值,0.178631530439663
一次趨勢線,15647.787454840052305 x + 10000000.000000000000000
一次預期報酬,15647.787454840052305
一次風險,104567.137290982020204
一次趨勢值,0.149643452620267
找到最佳解世代,2256
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),MCD[15](2),PG[21](3),
Stock#,KO[14](1),MCD[15](2),PG[21](3),
張數,73453,18013,33861,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.859999999869615,27.349999999627471,56.160000000149012,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3353165.309999999590218,3252995.019999999552965,3347893.230000000447035,9954054.559999998658895
FS( 3 ),3349492.660000000149012,3266684.899999999441206,3355342.650000000372529,9971521.210000000894070
FS( 4 ),3338474.709999999962747,3278933.739999999757856,3349924.890000000596046,9967334.339999999850988
FS( 5 ),3325987.699999999720603,3251734.109999999869615,3337057.709999999962747,9914780.519999999552965
FS( 6 ),3293668.379999999888241,3233360.849999999627471,3332317.169999999925494,9859347.399999998509884
FS( 7 ),3392095.399999999906868,3261821.389999999664724,3371934.540000000037253,10025852.329999998211861
FS( 8 ),3382546.509999999776483,3275331.139999999664724,3387849.209999999962747,10045727.859999999403954
FS( 9 ),3395033.520000000018626,3279474.129999999888241,3426112.140000000596046,10100620.790000000968575
FS( 10 ),3356837.959999999962747,3291722.969999999739230,3430852.679999999701977,10079414.609999999403954
FS( 11 ),3327456.759999999776483,3338376.639999999664724,3468777.000000000000000,10134611.399999998509884
FS( 12 ),3335536.589999999850988,3313518.699999999254942,3437286.270000000484288,10086342.559999998658895
FS( 13 ),3346554.540000000037253,3298387.779999999795109,3450492.060000000521541,10095435.380000000819564
FS( 14 ),3344350.949999999720603,3331891.959999999497086,3444397.080000000074506,10120640.989999998360872
FS( 15 ),3342881.889999999664724,3357110.159999999683350,3470470.049999999813735,10170463.099999997764826
FS( 16 ),3373732.149999999906868,3365035.879999999888241,3442365.419999999925494,10181134.449999999254942
FS( 17 ),3381077.449999999720603,3345401.709999999497086,3452523.719999999739230,10179003.879999998956919
FS( 18 ),3425883.779999999795109,3377104.589999999385327,3488416.379999999888241,10291405.750000000000000
FS( 19 ),3423680.189999999944121,3377644.979999999515712,3484353.060000000521541,10285679.230000000447035
FS( 20 ),3421476.599999999627471,3411509.419999999459833,3506362.709999999962747,10339349.730000000447035
FS( 21 ),3442043.439999999944121,3420696.049999999813735,3523293.209999999962747,10386033.699999999254942
FS( 22 ),3431760.020000000018626,3393496.419999999459833,3509410.200000000186265,10334667.640000000596046
FS( 23 ),3420742.069999999832362,3392775.899999999441206,3513134.910000000149012,10326653.879999998956919
FS( 24 ),3392095.399999999906868,3392775.899999999441206,3511103.250000000000000,10295975.549999998882413
FS( 25 ),3414131.299999999813735,3420155.659999999683350,3502299.390000000596046,10336587.349999999627471
FS( 26 ),3413396.770000000018626,3435286.579999999608845,3509748.810000000521541,10358433.160000000149012
FS( 27 ),3419273.009999999776483,3419795.399999999441206,3554445.330000000074506,10393514.739999998360872
FS( 28 ),3428087.370000000111759,3423938.389999999664724,3543948.419999999925494,10395975.179999999701977
FS( 29 ),3425883.779999999795109,3408447.209999999497086,3543609.810000000521541,10377941.800000000745058
FS( 30 ),3431025.489999999757856,3402322.789999999571592,3546995.910000000149012,10380345.189999999478459
FS( 31 ),3433229.080000000074506,3451318.149999999441206,3557492.820000000298023,10442041.050000000745058
FS( 32 ),3452326.859999999869615,3455821.399999999441206,3580179.690000000409782,10488328.949999999254942
FS( 33 ),3448654.209999999962747,3453119.449999999254942,3603543.780000000260770,10505318.439999999478459
FS( 34 ),3472893.699999999720603,3451498.279999999795109,3584243.009999999776483,10508635.989999998360872
FS( 35 ),3487584.299999999813735,3510941.179999999701977,3591015.209999999962747,10589541.689999999478459
FS( 36 ),3481708.059999999590218,3493108.309999999590218,3589660.770000000484288,10564478.140000000596046
FS( 37 ),3541204.989999999757856,3517245.729999999515712,3493156.919999999925494,10551608.639999998733401
FS( 38 ),3524310.799999999813735,3559936.539999999571592,3511103.250000000000000,10595351.589999999850988
FS( 39 ),3514027.379999999888241,3565340.439999999944121,3497220.240000000223517,10576589.060000000521541
FS( 40 ),3544877.639999999664724,3556153.809999999590218,3584581.620000000111759,10685614.070000000298023
FS( 41 ),3556630.120000000111759,3550749.909999999683350,3548011.740000000223517,10655392.769999999552965
FS( 42 ),3603640.040000000037253,3558855.759999999310821,3605575.440000000409782,10768072.239999998360872
FS( 43 ),3569117.129999999888241,3497611.559999999590218,3553090.890000000596046,10619820.580000000074506
FS( 44 ),3554426.529999999795109,3505537.279999999795109,3574423.320000000298023,10634388.129999998956919
FS( 45 ),3578666.020000000018626,3557955.109999999869615,3592031.040000000037253,10728653.169999999925494
FS( 46 ),3560302.770000000018626,3582813.049999999813735,3578486.640000000596046,10721603.460000000894070
FS( 47 ),3525779.859999999869615,3567321.869999999646097,3545302.860000000335276,10638405.589999999850988
FS( 48 ),3514761.910000000149012,3567141.739999999757856,3557831.429999999701977,10639736.080000000074506
FS( 49 ),3481708.059999999590218,3561737.839999999385327,3529726.799999999813735,10573173.699999999254942
FS( 50 ),3539735.929999999701977,3602447.219999999739230,3589660.770000000484288,10731844.919999999925494
FS( 51 ),3529452.509999999776483,3585154.739999999757856,3593046.870000000111759,10707655.120000001043081
FS( 52 ),3576462.429999999701977,3566781.479999999515712,3575777.759999999776483,10719022.669999998062849
FS( 53 ),3612454.399999999906868,3585875.259999999310821,3613024.860000000335276,10811355.519999999552965
FS( 54 ),3641835.599999999627471,3602447.219999999739230,3660768.870000000111759,10905052.689999999478459
