代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12035953.469999998807907
真實報酬,2035953.469999998807907

夏普值報酬,0.194895347000000
夏普值風險,0.074169011570910
夏普值,2.627719351681915

二次趨勢線,133.027971030795300 x^2 + 3826.567654000691618 x + 10000000.000000000000000
二次加權預期報酬,26263.952101194830902
風險,192321.598045886377804
二次加權趨勢值,0.136562676101144
一次趨勢線,16447.399229701022705 x + 10000000.000000000000000
一次預期報酬,16447.399229701022705
一次風險,306348.677866154990625
一次趨勢值,0.053688494248658
找到最佳解世代,1863
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](6),UNH[23](1),WBA[27](3),WMT[28](2),
Stock#,HD[9](6),UNH[23](1),WBA[27](3),WMT[28](2),
張數,31347,30678,35445,33995,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,76.750000000000000,49.780000000260770,64.149999999906868,7.699999999720603,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2508777.160000000149012,2523928.840000000316650,2556003.100000000093132,2500000.000000000000000,10088709.099999999627471
FS( 3 ),2508777.160000000149012,2484661.000000000000000,2450022.550000000279397,2493201.000000000000000,9936661.710000000894070
FS( 4 ),2524137.189999999944121,2500306.780000000260770,2098762.600000000093132,2522436.699999999720603,9645643.269999999552965
FS( 5 ),2522569.839999999850988,2431588.060000000521541,2157601.299999999813735,2513937.949999999720603,9625697.150000000372529
FS( 6 ),2584009.960000000428408,2457971.140000000596046,2151575.649999999906868,2538414.349999999627471,9731971.100000001490116
FS( 7 ),2598116.109999999869615,2450301.640000000596046,2197299.700000000186265,2527875.899999999906868,9773593.349999999627471
FS( 8 ),2599369.990000000223517,2461038.940000000409782,2203325.349999999627471,2523116.599999999627471,9786850.879999998956919
FS( 9 ),2605639.390000000130385,2500613.560000000521541,2213604.399999999906868,2516657.549999999813735,9836514.900000002235174
FS( 10 ),2628836.169999999925494,2510123.740000000223517,2206515.399999999906868,2528895.749999999534339,9874371.060000000521541
FS( 11 ),2623507.179999999701977,2499386.440000000409782,2188792.899999999906868,2512238.199999999720603,9823924.719999998807907
FS( 12 ),2620372.479999999981374,2526076.300000000279397,2200135.299999999813735,2532295.249999999534339,9878879.330000000074506
FS( 13 ),2765822.560000000055879,2560742.440000000409782,2202970.899999999906868,2545553.299999999348074,10075089.199999999254942
FS( 14 ),2844817.000000000000000,2559515.320000000298023,2197654.149999999906868,2548272.899999999441206,10150259.370000001043081
FS( 15 ),2857355.800000000279397,2569945.840000000316650,2164690.299999999813735,2568329.949999999720603,10160321.890000000596046
FS( 16 ),2853594.160000000149012,2570252.620000000111759,2163981.399999999906868,2574449.049999999813735,10162277.230000000447035
FS( 17 ),2858923.149999999906868,2584364.500000000000000,2154765.699999999720603,2573089.249999999534339,10171142.599999999627471
FS( 18 ),2872402.359999999869615,2611361.140000000596046,2159728.000000000000000,2567310.099999999627471,10210801.599999999627471
FS( 19 ),2879925.640000000130385,2650015.419999999925494,2145550.000000000000000,2578528.449999999720603,10254019.509999999776483
FS( 20 ),2899987.720000000204891,2648788.300000000279397,2143423.299999999813735,2580228.199999999720603,10272427.519999999552965
FS( 21 ),2931021.250000000000000,2659218.820000000298023,2145195.549999999813735,2566630.199999999720603,10302065.820000000298023
FS( 22 ),2857355.800000000279397,2650322.200000000186265,2127118.599999999627471,2575128.949999999720603,10209925.549999998882413
FS( 23 ),2789959.750000000000000,2662593.400000000372529,2134562.049999999813735,2583967.649999999906868,10171082.849999999627471
FS( 24 ),2819112.460000000428408,2670876.460000000428408,2213958.850000000093132,2602664.899999999906868,10306612.670000001788139
FS( 25 ),2871775.419999999925494,2692044.280000000260770,2266771.899999999906868,2634960.149999999906868,10465551.750000000000000
FS( 26 ),2847011.289999999571592,2696952.760000000242144,2231681.350000000093132,2601645.049999999813735,10377290.449999999254942
FS( 27 ),2787765.460000000428408,2716893.460000000428408,2219275.600000000093132,2608783.999999999534339,10332718.520000001415610
FS( 28 ),2797796.500000000000000,2676705.280000000260770,2244441.549999999813735,2600965.149999999906868,10319908.480000000447035
FS( 29 ),2796856.089999999850988,2671490.020000000018626,2248694.949999999720603,2587027.199999999720603,10304068.259999997913837
FS( 30 ),2784944.229999999981374,2643879.820000000298023,2226719.049999999813735,2575808.849999999627471,10231351.949999999254942
FS( 31 ),2801871.609999999869615,2639278.120000000111759,2223174.549999999813735,2577168.649999999906868,10241492.929999999701977
FS( 32 ),2829770.439999999944121,2673944.260000000242144,2255783.949999999720603,2594506.099999999627471,10354004.750000000000000
FS( 33 ),2859550.089999999850988,2668729.000000000000000,2258974.000000000000000,2591786.499999999534339,10379039.589999999850988
FS( 34 ),2886821.979999999981374,2688362.919999999925494,2239479.250000000000000,2591106.599999999627471,10405770.750000000000000
FS( 35 ),2894658.729999999981374,2693578.180000000167638,2228845.750000000000000,2612183.500000000000000,10429266.160000000149012
FS( 36 ),2880552.580000000074506,2692657.840000000316650,2141651.049999999813735,2594166.149999999906868,10309027.619999999180436
FS( 37 ),2868013.779999999795109,2656457.800000000279397,2165753.649999999906868,2570029.699999999720603,10260254.929999999701977
FS( 38 ),2915974.689999999944121,2706156.160000000149012,2180640.549999999813735,2620342.299999999813735,10423113.699999999254942
FS( 39 ),2880866.050000000279397,2643879.820000000298023,2144132.200000000186265,2587707.100000000093132,10256585.170000001788139
FS( 40 ),2910332.229999999981374,2656764.580000000074506,2133144.250000000000000,2600285.249999999534339,10300526.310000000521541
FS( 41 ),2911586.109999999869615,2654003.560000000521541,2112586.149999999906868,2586347.299999999813735,10264523.120000001043081
FS( 42 ),2875850.529999999795109,2646027.280000000260770,2100889.299999999813735,2599605.349999999627471,10222372.460000000894070
FS( 43 ),2853280.689999999944121,2603998.419999999925494,2092736.949999999953434,2587707.100000000093132,10137723.160000000149012
FS( 44 ),2891524.029999999795109,2604611.980000000447035,2118257.349999999627471,2591446.549999999813735,10205839.910000000149012
FS( 45 ),2932275.130000000353903,2638971.340000000316650,2154056.799999999813735,2628501.099999999627471,10353804.370000001043081
FS( 46 ),2923497.970000000204891,2610440.800000000279397,2149803.399999999906868,2629520.949999999720603,10313263.119999999180436
FS( 47 ),2898733.839999999850988,2582830.600000000093132,2121092.950000000186265,2627821.199999999720603,10230478.589999999850988
FS( 48 ),2949515.979999999981374,2657378.140000000596046,2178513.850000000093132,2659776.499999999534339,10445184.470000000670552
FS( 49 ),2917542.039999999571592,2605839.100000000093132,2181703.899999999906868,2646858.399999999906868,10351943.439999999478459
FS( 50 ),2901241.600000000093132,2619644.200000000186265,2232744.700000000186265,2661476.250000000000000,10415106.750000000000000
FS( 51 ),2840114.949999999720603,2575467.880000000353903,2151221.199999999720603,2636659.899999999906868,10203463.929999999701977
FS( 52 ),2824441.449999999720603,2540801.740000000223517,2151221.199999999720603,2650937.799999999813735,10167402.189999997615814
FS( 53 ),2753910.699999999720603,2520554.260000000242144,2160436.899999999906868,2556431.699999999720603,9991333.559999998658895
FS( 54 ),2786198.109999999869615,2619644.200000000186265,2140587.699999999720603,2509518.599999999627471,10055948.609999999403954
