代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12419203.719999998807907
真實報酬,2419203.719999998807907

夏普值報酬,0.233220372000000
夏普值風險,0.060922081989046
夏普值,3.828174684541063

二次趨勢線,44.970900459199925 x^2 + 12391.720281555531983 x + 10000000.000000000000000
二次加權預期報酬,19916.850958394985355
風險,121270.959450662281597
二次加權趨勢值,0.164234298537878
一次趨勢線,16624.539099677476770 x + 10000000.000000000000000
一次預期報酬,16624.539099677476770
一次風險,144920.876138082239777
一次趨勢值,0.114714591456357
找到最佳解世代,1983
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](2),CVX[5](1),KO[14](15),MCD[15](21),PFE[20](4),UNH[23](3),
Stock#,CAT[3](2),CVX[5](1),KO[14](15),MCD[15](21),PFE[20](4),UNH[23](3),
張數,21025,20462,54007,21400,94589,46155,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,14.250000000000000,36.099999999860302,9.979999999981374,34.000000000000000,7.819999999832362,8.949999999953434,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1676758.000000000000000,1680989.399999999906868,1670446.489999999990687,1677794.000000000232831,1650585.869999999878928,1707743.949999999953434,10064321.709999999031425
FS( 3 ),1679491.250000000000000,1692243.500000000000000,1673146.840000000083819,1679934.000000000000000,1663828.329999999841675,1692051.249999999767169,10080699.169999999925494
FS( 4 ),1748873.750000000232831,1742170.779999999795109,1686648.590000000083819,1694486.000000000232831,1643964.639999999664724,1698512.949999999720603,10214660.709999999031425
FS( 5 ),1756442.750000000232831,1738896.859999999869615,1689889.010000000009313,1697054.000000000000000,1625046.839999999850988,1701282.250000000000000,10208615.710000000894070
FS( 6 ),1747612.250000000000000,1735213.699999999720603,1686648.590000000083819,1697268.000000000000000,1612750.269999999785796,1713282.549999999813735,10192779.359999999403954
FS( 7 ),1722172.000000000000000,1709840.819999999832362,1691509.219999999972060,1692773.999999999767169,1607074.929999999701977,1706820.849999999860302,10130195.819999998435378
FS( 8 ),1733735.749999999767169,1742784.639999999897555,1689348.939999999944121,1701334.000000000000000,1591940.689999999711290,1715128.749999999767169,10174276.769999999552965
FS( 9 ),1733315.250000000000000,1761609.679999999934807,1695829.779999999795109,1705614.000000000000000,1606129.039999999804422,1729436.799999999813735,10231938.549999997019768
FS( 10 ),1703880.250000000232831,1748309.379999999888241,1699070.199999999953434,1687423.999999999767169,1593832.469999999972060,1692512.800000000046566,10125033.100000001490116
FS( 11 ),1720279.749999999767169,1736441.419999999925494,1700150.340000000083819,1692131.999999999767169,1584373.569999999832362,1637126.799999999813735,10070507.879999998956919
FS( 12 ),1689793.500000000000000,1687741.859999999869615,1676387.260000000009313,1656822.000000000000000,1570185.219999999972060,1615895.499999999767169,9896829.339999999850988
FS( 13 ),1706613.500000000000000,1687332.619999999646097,1688268.800000000046566,1677152.000000000000000,1558834.539999999804422,1630665.099999999860302,9948870.560000000521541
FS( 14 ),1747402.000000000000000,1715160.939999999711290,1723913.420000000158325,1691062.000000000000000,1591940.689999999711290,1644511.600000000093132,10113994.649999998509884
FS( 15 ),1765483.500000000000000,1717616.379999999888241,1736875.099999999860302,1704330.000000000000000,1589103.019999999785796,1661588.949999999953434,10175000.949999999254942
FS( 16 ),1766114.250000000000000,1707590.000000000000000,1735794.959999999962747,1701762.000000000000000,1573022.889999999664724,1682820.250000000000000,10167108.349999999627471
FS( 17 ),1737310.000000000000000,1672804.599999999860302,1717972.649999999906868,1690848.000000000000000,1567347.549999999813735,1663896.699999999720603,10050183.500000000000000
FS( 18 ),1780621.500000000000000,1696949.760000000009313,1744976.150000000139698,1700906.000000000000000,1578698.229999999981374,1669896.849999999860302,10172052.490000000223517
FS( 19 ),1768847.500000000000000,1678943.199999999720603,1731474.400000000139698,1680790.000000000232831,1559780.429999999701977,1656050.350000000093132,10075889.879999998956919
FS( 20 ),1759176.000000000000000,1671576.879999999888241,1712031.879999999888241,1674798.000000000000000,1566401.659999999683350,1688820.400000000139698,10072808.820000000298023
FS( 21 ),1778729.249999999767169,1656844.239999999757856,1706091.109999999869615,1675654.000000000000000,1541808.519999999785796,1685589.550000000046566,10044720.669999999925494
FS( 22 ),1838650.500000000000000,1692243.500000000000000,1747136.430000000167638,1696840.000000000232831,1579644.119999999878928,1738667.800000000046566,10293186.349999999627471
FS( 23 ),1863249.750000000000000,1729075.099999999860302,1752537.130000000121072,1698766.000000000000000,1578698.229999999981374,1756206.699999999720603,10378536.909999998286366
FS( 24 ),1879228.750000000000000,1737055.279999999795109,1741735.729999999981374,1706898.000000000000000,1581535.899999999674037,1745591.050000000046566,10392048.710000000894070
FS( 25 ),1875444.250000000000000,1738283.000000000000000,1728233.979999999981374,1703046.000000000000000,1590048.909999999683350,1721128.899999999906868,10356189.040000000968575
FS( 26 ),1899622.999999999767169,1765906.699999999720603,1732014.469999999972060,1719310.000000000000000,1586265.349999999860302,1697128.300000000046566,10400251.820000000298023
FS( 27 ),1884274.750000000000000,1762632.779999999795109,1739035.380000000121072,1685070.000000000000000,1581535.899999999674037,1700359.150000000139698,10352911.960000000894070
FS( 28 ),1885326.000000000000000,1773068.399999999906868,1750916.920000000158325,1660888.000000000000000,1585319.459999999962747,1691589.699999999953434,10347112.480000000447035
FS( 29 ),1891002.750000000000000,1780843.959999999962747,1746056.289999999804422,1659818.000000000000000,1609912.599999999860302,1692512.800000000046566,10380150.400000000372529
FS( 30 ),1926535.000000000000000,1808263.040000000037253,1750916.920000000158325,1650188.000000000000000,1625992.729999999981374,1703128.449999999953434,10465028.139999998733401
FS( 31 ),1936206.500000000000000,1808467.659999999683350,1725533.629999999888241,1650188.000000000000000,1618425.609999999869615,1684666.449999999953434,10423491.849999997764826
FS( 32 ),1957862.250000000000000,1800896.719999999972060,1748216.569999999832362,1647406.000000000000000,1615587.939999999711290,1636203.700000000186265,10406177.179999999701977
FS( 33 ),1959544.250000000000000,1822381.819999999832362,1764418.670000000158325,1641627.999999999767169,1628830.399999999674037,1643588.500000000000000,10460395.640000000596046
FS( 34 ),1946719.000000000000000,1810718.479999999748543,1774139.930000000167638,1643768.000000000000000,1610858.489999999990687,1617741.699999999720603,10403949.599999999627471
FS( 35 ),1961646.750000000000000,1817061.699999999720603,1763878.599999999860302,1646122.000000000000000,1624100.949999999953434,1623741.849999999860302,10436555.849999999627471
FS( 36 ),1989610.000000000000000,1825860.359999999869615,1768199.160000000149012,1644838.000000000000000,1643964.639999999664724,1630665.099999999860302,10503141.259999999776483
FS( 37 ),1988348.499999999767169,1839979.139999999897555,1771439.579999999841675,1648048.000000000000000,1660990.659999999683350,1654204.150000000139698,10563014.029999999329448
FS( 38 ),1985825.500000000000000,1855530.260000000009313,1770899.510000000009313,1646977.999999999767169,1665720.109999999869615,1650973.300000000046566,10575930.679999999701977
FS( 39 ),1977835.999999999767169,1844071.540000000037253,1756857.689999999944121,1635636.000000000232831,1654369.429999999701977,1640357.649999999906868,10509132.310000000521541
FS( 40 ),1969846.500000000000000,1865965.879999999888241,1764958.739999999990687,1635636.000000000232831,1663828.329999999841675,1648665.549999999813735,10548905.000000000000000
FS( 41 ),1971738.750000000000000,1869649.040000000037253,1767659.089999999850988,1647620.000000000000000,1664774.219999999972060,1657434.999999999767169,10578880.099999999627471
FS( 42 ),1973631.000000000000000,1874355.299999999813735,1768739.229999999981374,1642698.000000000000000,1654369.429999999701977,1658819.649999999906868,10572616.609999999403954
FS( 43 ),1969215.750000000000000,1867193.599999999860302,1776300.209999999962747,1642698.000000000000000,1656261.209999999962747,1666666.000000000000000,10578338.769999999552965
FS( 44 ),1979518.000000000232831,1881312.379999999888241,1761178.250000000000000,1639273.999999999767169,1672341.339999999850988,1713744.100000000093132,10647372.069999998435378
FS( 45 ),1970266.999999999767169,1874355.299999999813735,1724993.560000000055879,1590268.000000000000000,1701663.929999999701977,1729436.799999999813735,10590988.589999999850988
FS( 46 ),1987297.250000000000000,1871081.379999999888241,1714732.229999999981374,1597758.000000000000000,1713014.609999999869615,1734975.400000000139698,10618862.869999999180436
FS( 47 ),1966692.750000000232831,1855734.879999999888241,1702310.619999999878928,1588127.999999999767169,1719635.839999999850988,1770976.299999999813735,10603482.390000000596046
FS( 48 ),1970687.500000000000000,1865965.879999999888241,1699070.199999999953434,1591552.000000000000000,1734770.079999999841675,1774668.700000000186265,10636718.359999999403954
FS( 49 ),1963539.000000000000000,1850005.519999999785796,1702850.689999999944121,1574218.000000000000000,1727202.959999999962747,1774668.700000000186265,10592488.869999997317791
FS( 50 ),1975313.000000000000000,1879061.559999999823049,1693129.430000000167638,1581494.000000000232831,1723419.399999999674037,1803746.349999999860302,10656167.740000000223517
FS( 51 ),1965641.500000000000000,1891748.000000000000000,1702310.619999999878928,1575073.999999999767169,1737607.750000000000000,1793592.250000000000000,10665978.120000001043081
FS( 52 ),1979307.750000000000000,1886223.260000000009313,1712031.879999999888241,1555172.000000000000000,1723419.399999999674037,1827746.949999999953434,10683905.239999998360872
FS( 53 ),1976574.500000000000000,1899523.559999999823049,1705010.969999999972060,1584918.000000000000000,1734770.079999999841675,1881748.300000000046566,10782549.410000000149012
FS( 54 ),2023250.000000000000000,1910163.799999999813735,1714192.159999999916181,1598186.000000000232831,1738553.639999999664724,1886825.350000000093132,10871174.949999999254942
FS( 55 ),2008742.750000000232831,1902388.239999999757856,1712571.949999999953434,1612523.999999999767169,1732878.299999999813735,1872055.750000000000000,10841164.990000000223517
FS( 56 ),1968164.500000000000000,1897068.119999999646097,1699610.270000000018626,1608458.000000000000000,1725311.179999999701977,1860517.000000000000000,10759133.070000000298023
FS( 57 ),1950083.000000000000000,1918962.459999999962747,1695289.709999999962747,1605248.000000000000000,1736661.859999999869615,1865132.499999999767169,10771381.529999999329448
