訓練日期,20150702 - 20151002
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10062182.200000001117587
真實報酬,62182.200000001117587

夏普值報酬,-0.002481780000000
夏普值風險,0.027363024839979
夏普值,-0.090698305999191

預期報酬,953.117304863084883
風險,306458.755443082307465
趨勢值,0.003110099770147
找到最佳解世代,91
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,5
HD[9](1),KO[14](7),PG[21](24),TRV[22](6),V[25](3),
Stock#,HD[9](1),KO[14](7),PG[21](24),TRV[22](6),V[25](3),
張數,17845,50632,25087,20140,29476,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,110.850000000093132,36.000000000000000,64.360000000102445,98.000000000000000,53.400000000139698,
20150702,1989649.899999999906868,1999493.680000000167638,2005268.270000000251457,1998590.200000000186265,2011495.639999999897555,10004497.690000001341105
20150706,1986616.250000000000000,1995949.440000000176951,2008278.709999999962747,1992749.599999999860302,2007958.520000000251457,9991552.519999999552965
20150707,2005888.850000000093132,2037974.000000000000000,2050174.000000000000000,2014702.199999999953434,1997641.919999999925494,10106380.969999998807907
20150708,1980905.850000000093132,2018227.520000000018626,2031860.489999999990687,1989124.400000000139698,1966986.880000000353903,9987105.140000000596046
20150709,1987686.949999999953434,2021265.440000000176951,2023581.780000000027940,2015507.799999999813735,1976419.199999999953434,10024461.169999999925494
20150710,2018380.350000000093132,2045062.479999999981374,2030857.010000000242144,2034238.000000000000000,2016801.320000000298023,10145339.160000000149012
20150713,2050501.350000000093132,2058733.119999999878928,2054940.530000000027940,2061024.199999999953434,2049224.919999999925494,10274424.120000001043081
20150714,2058710.050000000046566,2084555.440000000176951,2058201.840000000316650,2062031.199999999953434,2066321.000000000000000,10329819.530000001192093
20150715,2062635.949999999953434,2082530.160000000149012,2060961.410000000149012,2062836.800000000046566,2063962.919999999925494,10332927.240000000223517
20150716,2047467.700000000186265,2100251.359999999869615,2064724.459999999962747,2080358.600000000093132,2080174.719999999972060,10372976.839999999850988
20150717,2042828.000000000000000,2088606.000000000000000,2063219.239999999990687,2073309.599999999860302,2089312.280000000027940,10357275.119999999180436
20150720,2023912.300000000046566,2095188.160000000149012,2061964.890000000130385,2066663.399999999906868,2142958.600000000558794,10390687.350000001490116
20150721,2031942.550000000046566,2085568.079999999841675,2047916.169999999925494,2104325.200000000186265,2122914.919999999925494,10392666.919999999925494
20150722,2050501.350000000093132,2070884.799999999813735,2027846.570000000065193,2120840.000000000000000,2121441.120000000111759,10391513.839999999850988
20150723,2044969.400000000139698,2067846.880000000121072,2024585.260000000242144,2120840.000000000000000,2114956.400000000372529,10373197.940000001341105
20150724,2027124.400000000139698,2047594.079999999841675,2014299.590000000316650,2120235.799999999813735,2204858.200000000186265,10414112.070000000298023
20150727,2017845.000000000000000,2052657.280000000027940,2006271.750000000000000,2126680.600000000093132,2177150.759999999776483,10380605.390000000596046
20150728,2049430.650000000139698,2053163.599999999860302,2012794.370000000111759,2133729.600000000093132,2203089.639999999664724,10452207.859999999403954
20150729,2076733.500000000232831,2055188.880000000121072,2022578.300000000279397,2143598.200000000186265,2240524.160000000149012,10538623.040000000968575
20150730,2078339.550000000046566,2053669.920000000158325,1941547.290000000037253,2145008.000000000000000,2251430.280000000260770,10469995.039999999105930
20150731,2088511.200000000186265,2079998.559999999823049,1924237.260000000242144,2137354.800000000279397,2220775.240000000223517,10450877.060000000521541
20150803,2086012.900000000139698,2103289.279999999795109,1916711.160000000149012,2153869.600000000093132,2233449.919999999925494,10493332.859999999403954
20150804,2097433.700000000186265,2118985.200000000186265,1904418.530000000027940,2147626.199999999720603,2218711.919999999925494,10487175.550000000745058
20150805,2105820.850000000093132,2132655.839999999850988,1900906.350000000093132,2136549.200000000186265,2210163.879999999888241,10486096.119999999180436
