訓練日期,20100302 - 20100602
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10322001.349999999627471
真實報酬,322001.349999999627471

夏普值報酬,0.023500135000000
夏普值風險,0.027272925059423
夏普值,0.861665367715318

預期報酬,10799.718332461428872
風險,374193.634588443965185
趨勢值,0.028861309584647
找到最佳解世代,37
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](1),BA[2](10),DIS[6](5),HD[9](2),INTC[11](9),KO[14](17),NKE[19](4),TRV[22](25),UNH[23](28),WMT[28](23),
Stock#,AAPL[0](1),BA[2](10),DIS[6](5),HD[9](2),INTC[11](9),KO[14](17),NKE[19](4),TRV[22](25),UNH[23](28),WMT[28](23),
張數,33489,15625,31705,31816,47915,37537,58616,18839,29377,18552,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,18.459999999962747,0.000000000000000,24.300000000046566,23.119999999995343,13.949999999953434,14.319999999948777,11.040000000037253,25.880000000004657,6.920000000041910,47.200000000069849,
20100302,999330.219999999972060,1006875.000000000000000,1010779.700000000069849,997772.880000000004657,991854.449999999953434,1000375.369999999878928,997069.200000000186265,1003956.189999999944121,997356.070000000181608,994248.880000000121072,9999617.960000000894070
20100303,1001339.559999999939464,1007031.250000000000000,1003170.500000000116415,1001272.640000000013970,983229.749999999883585,1012387.209999999962747,991207.600000000093132,1000753.559999999939464,1001762.620000000111759,995547.520000000018626,9997702.209999999031425
20100304,1008037.359999999986030,1024218.750000000000000,1032656.150000000023283,1000318.160000000032596,983708.900000000023283,1022522.199999999837019,991207.600000000093132,1008854.329999999958090,967979.070000000181608,1001113.120000000111759,10040615.640000000596046
20100305,1047554.380000000004657,1061406.250000000000000,1053264.399999999906868,1011771.920000000041910,996166.799999999930151,1026651.270000000018626,1001172.319999999948777,1016201.539999999920838,991186.900000000139698,1004452.480000000097789,10209828.259999999776483
20100308,1048224.160000000032596,1050625.000000000000000,1052313.250000000000000,1016862.479999999981374,995208.499999999883585,1022146.829999999958090,1008206.239999999990687,1013564.079999999958090,972385.620000000111759,1004638.000000000000000,10184174.160000000149012
20100309,1066978.000000000000000,1059218.750000000000000,1056117.850000000093132,1007954.000000000000000,1003354.050000000046566,1016891.649999999906868,1009964.720000000088476,1009231.109999999986030,971798.079999999958090,1002968.320000000065193,10204476.530000001192093
