訓練日期,20140203 - 20140506
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10778823.339999999850988
真實報酬,778823.339999999850988

夏普值報酬,0.069182334000000
夏普值風險,0.024885039574661
夏普值,2.780077314823455

預期報酬,13834.864084022839961
風險,87364.348896124211024
趨勢值,0.158358234895935
找到最佳解世代,25
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
CAT[3](3),DIS[6](16),IBM[10](5),KO[14](15),MCD[15](7),MRK[17](10),MSFT[18](18),TRV[22](8),WMT[28](17),
Stock#,CAT[3](3),DIS[6](16),IBM[10](5),KO[14](15),MCD[15](7),MRK[17](10),MSFT[18](18),TRV[22](8),WMT[28](17),
張數,11831,15302,6288,29378,11798,20976,29363,13670,14878,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,61.790000000037253,32.780000000027940,147.159999999916181,35.040000000037253,93.340000000083819,12.280000000027940,15.079999999841675,13.399999999906868,21.959999999962747,
20140203,1093482.810000000055879,1071019.760000000009313,1087342.359999999869615,1092896.640000000130385,1097543.300000000046566,1092442.360000000102445,1071177.319999999832362,1097167.600000000093132,1081057.439999999944121,9784130.589999999850988
20140204,1094429.290000000037253,1087239.879999999888241,1086965.079999999841675,1101122.479999999981374,1098369.160000000149012,1122438.040000000037253,1067360.129999999888241,1098397.899999999906868,1082098.899999999906868,9838421.860000001266599
20140205,1088040.550000000046566,1098104.300000000046566,1095768.280000000027940,1104941.620000000111759,1104150.180000000167638,1122857.560000000055879,1051797.739999999757856,1099628.199999999953434,1084181.820000000065193,9849471.250000000000000
20140206,1110164.520000000018626,1156251.900000000139698,1098472.119999999878928,1117280.380000000121072,1120195.459999999962747,1127891.800000000046566,1062368.419999999925494,1103045.699999999953434,1083437.919999999925494,9979109.219999998807907
20140207,1122468.760000000009313,1157935.120000000111759,1114695.159999999916181,1114930.140000000130385,1131757.500000000000000,1148867.800000000046566,1073526.359999999869615,1105642.999999999767169,1097274.459999999962747,10067099.300000000745058
20140210,1118091.290000000037253,1179204.900000000139698,1114003.479999999748543,1133144.500000000000000,1119251.620000000111759,1151384.919999999925494,1080573.479999999748543,1125737.899999999906868,1097423.239999999990687,10118816.330000000074506
