訓練日期,20100319 - 20100621
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10064391.620000001043081
真實報酬,64391.620000001043081

夏普值報酬,-0.002260838000000
夏普值風險,0.036322490958339
夏普值,-0.062243473405858

預期報酬,2306.621888005116944
風險,414227.831091869855300
趨勢值,0.005568486023561
找到最佳解世代,76
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,6
AAPL[0](1),AXP[1](7),JNJ[12](17),MCD[15](2),MMM[16](14),WBA[27](22),
Stock#,AAPL[0](1),AXP[1](7),JNJ[12](17),MCD[15](2),MMM[16](14),WBA[27](22),
張數,51937,40650,25617,24994,19919,47865,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,7.669999999925494,16.000000000000000,23.979999999981374,66.079999999841675,43.270000000018626,6.699999999953434,
20100319,1649007.419999999925494,1639430.500000000000000,1667946.849999999860302,1662916.899999999906868,1632604.510000000009313,1652785.149999999906868,9904695.330000000074506
20100322,1667704.739999999990687,1669918.000000000000000,1667690.679999999934807,1674914.020000000018626,1630214.229999999981374,1691077.149999999906868,10001522.820000000298023
20100323,1694192.609999999869615,1676422.000000000000000,1674351.099999999860302,1683411.979999999748543,1640372.919999999925494,1718838.849999999860302,10087593.459999999031425
20100324,1701983.160000000149012,1667072.500000000000000,1658724.729999999981374,1669665.279999999795109,1625632.860000000102445,1694427.699999999953434,10017510.230000000447035
20100325,1681727.729999999981374,1683739.000000000000000,1654113.669999999692664,1672164.679999999934807,1612087.940000000176951,1738942.149999999906868,10042779.169999999925494
20100326,1713409.300000000046566,1671544.000000000000000,1649246.439999999944121,1681162.520000000018626,1613482.270000000018626,1760960.049999999813735,10089808.579999998211861
20100329,1724316.070000000065193,1686177.999999999767169,1660517.919999999692664,1676413.659999999683350,1620653.110000000102445,1794465.550000000046566,10162548.309999998658895
20100330,1749765.199999999720603,1678454.500000000000000,1662567.280000000027940,1680662.639999999664724,1678816.590000000083819,1791115.000000000000000,10241385.209999999031425
20100331,1743532.760000000009313,1677235.000000000000000,1670252.380000000121072,1667665.759999999776483,1664674.099999999860302,1775319.550000000046566,10198683.550000000745058
20100401,1750803.939999999944121,1695121.000000000000000,1684854.069999999832362,1689160.599999999860302,1670251.419999999925494,1806910.449999999953434,10297105.479999998584390
20100405,1769501.260000000009313,1734551.500000000000000,1675375.780000000027940,1700407.899999999906868,1677023.879999999888241,1810739.649999999906868,10367603.970000000670552
20100406,1777291.809999999823049,1752844.000000000000000,1673070.250000000000000,1694909.219999999972060,1680210.919999999925494,1790157.699999999953434,10368487.899999998509884
20100407,1785082.359999999869615,1722356.500000000000000,1670764.719999999972060,1692159.879999999888241,1666466.810000000055879,1760960.049999999813735,10297794.320000000298023
