訓練日期,20170111 - 20170413
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10353329.029999997466803
真實報酬,353329.029999997466803

夏普值報酬,0.026632903000000
夏普值風險,0.012773454188025
夏普值,2.085019651533808

預期報酬,7256.938564244906956
風險,57743.215675124185509
趨勢值,0.125676037944856
找到最佳解世代,85
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
DIS[6](5),INTC[11](26),KO[14](11),MMM[16](8),MRK[17](15),MSFT[18](6),V[25](3),WMT[28](17),XOM[29](28),
Stock#,DIS[6](5),INTC[11](26),KO[14](11),MMM[16](8),MRK[17](15),MSFT[18](6),V[25](3),WMT[28](17),XOM[29](28),
張數,10251,30408,27073,6292,18543,17743,13665,16284,12930,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,107.620000000111759,2.679999999934807,35.080000000074506,69.639999999897555,14.439999999944121,44.340000000083819,9.849999999860302,53.679999999934807,36.099999999860302,
20170111,1121977.060000000055879,1123578.280000000027940,1111381.729999999981374,1119353.519999999785796,1142819.530000000027940,1121224.510000000009313,1117806.849999999860302,1115996.199999999953434,1122489.399999999906868,10096628.080000000074506
20170112,1102397.650000000139698,1116280.359999999869615,1108674.430000000167638,1116522.119999999878928,1153574.469999999972060,1110933.570000000065193,1111930.899999999906868,1106877.159999999916181,1116412.299999999813735,10043603.960000000894070
20170113,1107830.680000000167638,1118713.000000000000000,1106779.320000000065193,1116207.519999999785796,1155985.060000000055879,1112530.440000000176951,1109197.899999999906868,1093198.599999999860302,1116541.599999999860302,10036985.119999999180436
20170117,1106908.090000000083819,1119017.079999999841675,1115984.140000000130385,1115389.559999999823049,1140038.079999999841675,1109514.130000000121072,1110427.750000000000000,1114204.959999999962747,1129600.899999999906868,10061085.689999999478459
20170118,1108855.780000000027940,1117800.759999999776483,1117879.250000000000000,1123128.719999999972060,1134289.750000000000000,1108981.840000000083819,1114937.199999999953434,1109156.919999999925494,1115636.499999999767169,10050667.719999998807907
20170119,1099834.900000000139698,1112023.239999999990687,1113818.300000000046566,1124324.199999999953434,1118713.629999999888241,1105433.239999999990687,1116850.299999999813735,1101177.760000000009313,1095595.000000000000000,9987771.570000000298023
