訓練日期,20091103 - 20100205
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11002290.910000000149012
真實報酬,1002290.910000000149012

夏普值報酬,0.091529091000000
夏普值風險,0.032056795819380
夏普值,2.855216457555822

預期報酬,28507.690059360491432
風險,378310.231017710990272
趨勢值,0.075355324075351
找到最佳解世代,92
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](17),AXP[1](16),BA[2](1),HD[9](6),INTC[11](14),KO[14](23),MRK[17](3),UNH[23](2),WMT[28](13),
Stock#,AAPL[0](17),AXP[1](16),BA[2](1),HD[9](6),INTC[11](14),KO[14](23),MRK[17](3),UNH[23](2),WMT[28](13),
張數,41091,31141,23018,44338,58448,41366,35544,42055,22098,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,10.360000000102445,0.120000000111759,32.139999999897555,0.719999999972060,14.520000000018626,20.239999999990687,5.560000000055879,17.899999999906868,23.560000000055879,
20091103,1107823.720000000204891,1122321.760000000009313,1107197.939999999944121,1108450.719999999972060,1081302.520000000018626,1098701.199999999953434,1090140.040000000037253,1131717.949999999953434,1102713.760000000009313,9950370.609999999403954
20091104,1120151.020000000251457,1119830.480000000214204,1106507.399999999906868,1106677.199999999953434,1086562.840000000083819,1106560.739999999990687,1160161.719999999972060,1172090.750000000000000,1113320.800000000046566,10091863.950000001117587
20091105,1139052.880000000121072,1175261.460000000195578,1145638.000000000000000,1136383.659999999916181,1104097.239999999990687,1125175.439999999944121,1162649.800000000046566,1186389.449999999953434,1133209.000000000000000,10307857.929999999701977
20091106,1140696.520000000251457,1158756.730000000214204,1143566.379999999888241,1156335.760000000009313,1106435.159999999916181,1127243.739999999990687,1158384.520000000251457,1205734.750000000000000,1132546.060000000055879,10329700.620000002905726
20091109,1182609.340000000083819,1216056.169999999925494,1182006.439999999944121,1188702.500000000000000,1137412.600000000093132,1147513.079999999841675,1188241.479999999981374,1225080.049999999813735,1149119.560000000055879,10616742.220000000670552
20091110,1191649.360000000102445,1235675.000000000000000,1158297.899999999906868,1189145.879999999888241,1139750.520000000018626,1154545.300000000046566,1194639.400000000139698,1218351.249999999767169,1155969.940000000176951,10638025.549999998882413
20091111,1193293.000000000000000,1247197.169999999925494,1166584.379999999888241,1210871.500000000000000,1159622.840000000083819,1161163.860000000102445,1180777.239999999990687,1235173.250000000000000,1170554.620000000111759,10725238.859999999403954
20091112,1185896.620000000111759,1230069.620000000111759,1157377.179999999934807,1207767.839999999850988,1150271.159999999916181,1157027.260000000009313,1172246.679999999934807,1209519.699999999953434,1176521.080000000074506,10646698.139999998733401
