訓練日期,20100225 - 20100527
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10658787.870000001043081
真實報酬,658787.870000001043081

夏普值報酬,0.057178787000000
夏普值風險,0.039484981706472
夏普值,1.448114815528144

預期報酬,21683.751605508994544
風險,422320.866579457127955
趨勢值,0.051344258173020
找到最佳解世代,53
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](1),CAT[3](5),CSCO[4](13),HD[9](2),INTC[11](10),JNJ[12](17),MCD[15](4),MMM[16](8),NKE[19](3),
Stock#,AAPL[0](1),CAT[3](5),CSCO[4](13),HD[9](2),INTC[11](10),JNJ[12](17),MCD[15](4),MMM[16](8),NKE[19](3),
張數,38755,19506,45649,35430,53676,17511,17025,13876,68460,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,5.149999999906868,49.239999999990687,14.340000000083819,26.199999999953434,17.800000000046566,38.050000000046566,59.500000000000000,59.680000000167638,5.199999999953434,
20100225,1118474.449999999953434,1107794.979999999981374,1110654.510000000009313,1111111.000000000000000,1107353.679999999934807,1108134.130000000121072,1096129.000000000000000,1106531.920000000158325,1132333.599999999860302,9998518.269999999552965
20100226,1132813.799999999813735,1112866.540000000037253,1110654.510000000009313,1105442.199999999953434,1101986.080000000074506,1103231.050000000046566,1087105.750000000000000,1112221.080000000307336,1156979.199999999953434,10023301.209999999031425
20100301,1157229.449999999953434,1128471.340000000083819,1122979.740000000223517,1113591.099999999860302,1120235.920000000158325,1110060.340000000083819,1089319.000000000000000,1118187.760000000242144,1167932.799999999813735,10128008.449999999254942
20100302,1156454.349999999860302,1134323.139999999897555,1123436.229999999981374,1111111.000000000000000,1111111.000000000000000,1110935.889999999897555,1090851.250000000000000,1125819.560000000055879,1164509.800000000046566,10128553.220000000670552
20100303,1158779.649999999906868,1142515.659999999916181,1133935.500000000000000,1115008.299999999813735,1101449.320000000065193,1110235.449999999953434,1083360.250000000000000,1124015.680000000167638,1157663.800000000046566,10126964.610000001266599
20100304,1166530.649999999906868,1140174.939999999944121,1138956.890000000130385,1113945.399999999906868,1101986.080000000074506,1113212.320000000065193,1079955.250000000000000,1124293.200000000186265,1157663.800000000046566,10136719.530000001192093
20100305,1212261.550000000046566,1155389.619999999878928,1150825.630000000121072,1126700.199999999953434,1115941.840000000083819,1121442.490000000223517,1084041.250000000000000,1143997.120000000111759,1169301.999999999767169,10279902.699999999254942
20100308,1213036.649999999906868,1149147.699999999953434,1192822.709999999962747,1132369.000000000000000,1114868.320000000065193,1124244.250000000000000,1108727.500000000000000,1128317.240000000223517,1177517.199999999953434,10341051.570000000298023
20100309,1234739.449999999953434,1154414.320000000065193,1192822.709999999962747,1122448.599999999860302,1123993.240000000223517,1125470.020000000018626,1108387.000000000000000,1137752.920000000158325,1179571.000000000000000,10379600.259999999776483
20100310,1244815.749999999767169,1146611.919999999925494,1180953.970000000204891,1123511.500000000000000,1137412.240000000223517,1125820.240000000223517,1105663.000000000000000,1131786.240000000223517,1182994.000000000000000,10379569.860000001266599
20100311,1248303.699999999953434,1148952.639999999897555,1185518.870000000111759,1138392.100000000093132,1140632.800000000046566,1124594.469999999972060,1110259.750000000000000,1127623.440000000176951,1193947.600000000093132,10418226.369999999180436
20100312,1254504.499999999767169,1177431.399999999906868,1181410.459999999962747,1149729.699999999953434,1141706.320000000065193,1123894.030000000260770,1115707.750000000000000,1129288.560000000055879,1196686.000000000000000,10470359.720000000670552
20100315,1239390.049999999813735,1160071.060000000055879,1190540.260000000009313,1158232.899999999906868,1136338.720000000204891,1130723.319999999832362,1122517.750000000000000,1127623.440000000176951,1204901.199999999953434,10470339.699999999254942
20100316,1242490.449999999953434,1159680.939999999944121,1193735.689999999944121,1153272.699999999953434,1181426.560000000055879,1130022.880000000121072,1124901.250000000000000,1133173.840000000083819,1204901.199999999953434,10523606.509999999776483
20100317,1240940.250000000000000,1174700.560000000055879,1198757.080000000074506,1152209.800000000046566,1193772.040000000037253,1132124.200000000186265,1130179.000000000000000,1140389.360000000335276,1213116.399999999906868,10576189.690000001341105
20100318,1243653.100000000093132,1165922.860000000102445,1202409.000000000000000,1147958.199999999953434,1191625.000000000000000,1139303.710000000195578,1135286.500000000000000,1161064.600000000093132,1278153.400000000139698,10665377.370000001043081
20100319,1230476.399999999906868,1158120.459999999962747,1193735.689999999944121,1146541.000000000000000,1180353.040000000037253,1140179.260000000009313,1132732.750000000000000,1137336.640000000130385,1258300.000000000000000,10577776.240000000223517
20100322,1244428.199999999953434,1169433.939999999944121,1199670.060000000055879,1157524.300000000046566,1193772.040000000037253,1140004.149999999906868,1140904.750000000000000,1135671.520000000251457,1264461.399999999906868,10645871.359999999403954
20100323,1264193.249999999767169,1217418.699999999953434,1216103.700000000186265,1154689.900000000139698,1216852.720000000204891,1144557.010000000009313,1146693.250000000000000,1142748.280000000027940,1274730.399999999906868,10777988.209999999031425
20100324,1270006.500000000000000,1210591.600000000093132,1207430.390000000130385,1145123.800000000046566,1203970.479999999981374,1133875.300000000046566,1137329.500000000000000,1132480.040000000270084,1256246.199999999953434,10697054.809999998658895
20100325,1254892.050000000046566,1212152.080000000074506,1206517.410000000149012,1155752.799999999813735,1199676.400000000139698,1130723.319999999832362,1139032.000000000000000,1123044.360000000335276,1258984.600000000093132,10680776.020000001415610
20100326,1278532.600000000093132,1218003.879999999888241,1208343.370000000111759,1160358.699999999953434,1193772.040000000037253,1127396.229999999981374,1145161.000000000000000,1124015.680000000167638,1264461.399999999906868,10720045.900000000372529
20100329,1286671.149999999906868,1238290.119999999878928,1210169.330000000074506,1155044.199999999953434,1198602.879999999888241,1135101.069999999832362,1141926.250000000000000,1129011.040000000270084,1265830.599999999860302,10760647.640000000596046
20100330,1305661.099999999860302,1232048.199999999953434,1216560.189999999944121,1158232.899999999906868,1199139.640000000130385,1136501.950000000186265,1144820.500000000000000,1169528.960000000195578,1263092.199999999953434,10825586.640000000596046
20100331,1301010.500000000000000,1226001.340000000083819,1188257.810000000055879,1146186.699999999953434,1196455.840000000083819,1141755.250000000000000,1135967.500000000000000,1159677.000000000000000,1258300.000000000000000,10753612.939999999478459
20100401,1306436.199999999953434,1248238.179999999934807,1179128.010000000009313,1147249.600000000093132,1201823.440000000176951,1151736.520000000018626,1150609.000000000000000,1163562.280000000027940,1266515.199999999953434,10815299.429999999701977
20100405,1320388.000000000000000,1267744.179999999934807,1194648.670000000158325,1157169.999999999767169,1212558.640000000130385,1145257.450000000186265,1158270.250000000000000,1168280.120000000111759,1268569.000000000000000,10892887.310000002384186
20100406,1326201.249999999767169,1273595.980000000214204,1196931.120000000111759,1153272.699999999953434,1202360.199999999953434,1143681.460000000195578,1154524.750000000000000,1170500.280000000027940,1265146.000000000000000,10886214.740000000223517
20100407,1332014.499999999767169,1257601.060000000055879,1202409.000000000000000,1155398.500000000000000,1205044.000000000000000,1142105.469999999972060,1152652.000000000000000,1160925.840000000083819,1259669.199999999953434,10867820.569999998435378
20100408,1328526.550000000046566,1257796.120000000111759,1199670.060000000055879,1168153.299999999813735,1197529.359999999869615,1137027.280000000260770,1170698.500000000000000,1151073.880000000121072,1266515.199999999953434,10876991.249999998137355
20100409,1338602.849999999860302,1273205.859999999869615,1214277.740000000223517,1178073.699999999953434,1210411.600000000093132,1140704.590000000083819,1169336.500000000000000,1158566.920000000158325,1287053.199999999953434,10970233.959999999031425
20100412,1341315.699999999953434,1301684.620000000111759,1211082.310000000055879,1186222.599999999860302,1209874.840000000083819,1140179.260000000009313,1166782.750000000000000,1155652.960000000195578,1292530.000000000000000,11005326.040000000968575
20100413,1342090.800000000046566,1291151.379999999888241,1206973.900000000139698,1216692.400000000139698,1222220.320000000065193,1150160.530000000260770,1173422.500000000000000,1164811.120000000111759,1292530.000000000000000,11060053.950000002980232
20100414,1360305.649999999906868,1312412.919999999925494,1227059.459999999962747,1239367.599999999860302,1262477.320000000065193,1146833.439999999944121,1181935.000000000000000,1171055.320000000065193,1297322.199999999953434,11198769.910000000149012
20100415,1378132.949999999953434,1330748.560000000055879,1242123.630000000121072,1245036.399999999906868,1300050.520000000018626,1147183.660000000149012,1177508.500000000000000,1179519.680000000167638,1294583.800000000046566,11294888.699999999254942
20100416,1369606.850000000093132,1304610.519999999785796,1231624.360000000102445,1240430.499999999767169,1283947.720000000204891,1138603.270000000018626,1175295.250000000000000,1162313.440000000176951,1286368.599999999860302,11192801.509999999776483
20100419,1368056.649999999906868,1306756.179999999934807,1235732.770000000018626,1246099.300000000046566,1288241.800000000046566,1156289.380000000121072,1190447.500000000000000,1164256.080000000307336,1293899.199999999953434,11249779.859999999403954
20100420,1354104.849999999860302,1316704.239999999990687,1240754.160000000149012,1246453.599999999860302,1294682.920000000158325,1155588.939999999944121,1197598.000000000000000,1183266.200000000186265,1306906.599999999860302,11296060.509999999776483
20100421,1435102.800000000046566,1321580.739999999990687,1243493.100000000093132,1249642.300000000046566,1277506.600000000093132,1145082.340000000083819,1197938.500000000000000,1189232.880000000121072,1313068.000000000000000,11372648.260000001639128
20100422,1475408.000000000000000,1316899.300000000046566,1247145.020000000018626,1265585.799999999813735,1287705.040000000037253,1134400.630000000121072,1209345.250000000000000,1194089.480000000214204,1339082.799999999813735,11469662.320000000298023
20100423,1499436.099999999860302,1341671.919999999925494,1253992.370000000111759,1289323.899999999906868,1290388.840000000083819,1138953.490000000223517,1211388.250000000000000,1201443.760000000242144,1333606.000000000000000,11560205.629999998956919
20100426,1492072.649999999906868,1397654.140000000130385,1258557.270000000018626,1292866.900000000139698,1278580.120000000111759,1134050.410000000149012,1209175.000000000000000,1213377.120000000111759,1335659.800000000046566,11611994.410000000149012
20100427,1450604.799999999813735,1336795.419999999925494,1232993.830000000074506,1250350.899999999906868,1253352.400000000139698,1125645.130000000121072,1200832.750000000000000,1220731.400000000139698,1313068.000000000000000,11384375.630000000819564
20100428,1448279.499999999767169,1345378.060000000055879,1234363.300000000046566,1246807.899999999906868,1248521.560000000055879,1131598.870000000111759,1197598.000000000000000,1224477.920000000158325,1308275.799999999813735,11385301.910000000149012
20100429,1487422.050000000046566,1380098.739999999990687,1256731.310000000055879,1259917.000000000000000,1260867.040000000037253,1138428.160000000149012,1217687.500000000000000,1239602.760000000242144,1327444.600000000093132,11568200.160000000149012
20100430,1445566.649999999906868,1328212.780000000027940,1229341.910000000149012,1248225.099999999860302,1225977.640000000130385,1125995.350000000093132,1201854.250000000000000,1230444.600000000093132,1299376.000000000000000,11334995.279999999329448
20100503,1474632.899999999906868,1364298.879999999888241,1257187.800000000046566,1270900.299999999813735,1248521.560000000055879,1144031.679999999934807,1215985.000000000000000,1246263.240000000223517,1330867.600000000093132,11552689.959999999031425
