訓練日期,20091118 - 20100223
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10419503.069999998435378
真實報酬,419503.069999998435378

夏普值報酬,0.033250307000000
夏普值風險,0.016959589419128
夏普值,1.960560847215969

預期報酬,8516.811729781660688
風險,163636.235250687226653
趨勢值,0.052047223628276
找到最佳解世代,46
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](1),IBM[10](16),INTC[11](12),MCD[15](10),MRK[17](4),PG[21](14),UNH[23](2),V[25](5),VZ[26](13),WMT[28](9),
Stock#,BA[2](1),IBM[10](16),INTC[11](12),MCD[15](10),MRK[17](4),PG[21](14),UNH[23](2),V[25](5),VZ[26](13),WMT[28](9),
張數,19036,7774,49212,15730,29163,16048,34518,49652,34891,18635,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,38.919999999925494,30.380000000004657,12.160000000032596,43.900000000023283,0.729999999981374,49.119999999995343,13.540000000037253,8.719999999972060,23.939999999944121,45.900000000023283,
20091118,990291.640000000013970,996268.480000000097789,990157.600000000093132,1006449.299999999930151,1024788.550000000046566,1001604.799999999930151,996548.200000000069849,998013.920000000041910,1000348.910000000032596,1009131.150000000023283,10013602.550000000745058
20091119,979060.399999999906868,991526.340000000083819,949803.760000000125729,997483.199999999953434,1030329.519999999902211,997432.319999999948777,988263.880000000004657,995531.320000000065193,995464.170000000041910,1016398.800000000046566,9941293.710000000894070
20091120,984200.119999999995343,987017.419999999925494,946851.039999999920838,1006292.000000000000000,1063283.709999999962747,991815.519999999902211,985847.619999999995343,993048.719999999972060,992672.889999999897555,1011553.700000000069849,9962582.739999998360872
20091123,1001903.599999999976717,996657.179999999934807,954724.959999999962747,1006606.600000000093132,1062117.189999999944121,1006740.159999999916181,1003796.979999999981374,998510.439999999944121,1021981.329999999958090,1019007.700000000069849,10072046.139999998733401
20091124,989339.839999999850988,994558.200000000069849,954232.840000000083819,1010224.500000000000000,1056284.589999999850988,1007863.519999999902211,1020365.619999999995343,1000993.040000000037253,1039775.739999999990687,1022175.650000000023283,10095813.539999999105930
20091125,1007614.399999999906868,989505.099999999976717,951772.239999999990687,1013842.400000000023283,1066491.639999999897555,1008986.880000000004657,1019675.260000000009313,1015392.119999999878928,1045009.389999999897555,1024225.500000000000000,10142514.929999999701977
