訓練日期,20150728 - 20151027
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10768495.470000000670552
真實報酬,768495.470000000670552

夏普值報酬,0.068149547000000
夏普值風險,0.036401960116059
夏普值,1.872139488717685

預期報酬,937.629549351410787
風險,362034.793817451107316
趨勢值,0.002589887948240
找到最佳解世代,76
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](16),CSCO[4](18),INTC[11](3),JPM[13](22),KO[14](8),MCD[15](4),MSFT[18](6),NKE[19](2),UNH[23](7),VZ[26](10),XOM[29](17),
Stock#,BA[2](16),CSCO[4](18),INTC[11](3),JPM[13](22),KO[14](8),MCD[15](4),MSFT[18](6),NKE[19](2),UNH[23](7),VZ[26](10),XOM[29](17),
張數,6446,32225,32066,13367,22424,9465,20046,16271,7711,19836,11469,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,10.619999999995343,22.750000000000000,18.899999999906868,0.329999999958090,21.040000000037253,71.399999999906868,3.900000000023283,29.230000000097789,117.320000000065193,6.119999999995343,57.059999999939464,
20150728,914117.880000000004657,909090.000000000000000,928650.259999999892898,909624.679999999934807,909314.239999999990687,921299.849999999860302,908889.540000000037253,923245.770000000135042,937158.040000000037253,910280.160000000032596,946020.179999999934807,10117700.599999999627471
20150729,929137.059999999939464,915212.750000000000000,930253.559999999939464,921521.309999999939464,910211.200000000069849,929629.049999999813735,927933.239999999990687,934960.890000000130385,937158.040000000037253,923570.280000000027940,953589.719999999972060,10213187.100000001490116
20150730,921853.079999999958090,911990.250000000000000,927046.959999999962747,922858.010000000009313,909538.480000000097789,938715.449999999953434,939760.380000000121072,935774.440000000060536,929755.480000000097789,925752.239999999990687,952098.750000000000000,10215153.520000001415610
20150731,929330.439999999944121,915857.250000000000000,928329.599999999860302,916040.839999999967404,921198.959999999962747,945246.299999999930151,936152.100000000093132,937401.540000000037253,936232.720000000088476,928132.559999999939464,908516.549999999813735,10202448.859999999403954
20150803,926236.359999999986030,913923.750000000000000,931536.199999999953434,916040.839999999967404,931514.000000000000000,941081.699999999953434,938357.160000000032596,934310.050000000162981,932300.110000000102445,931703.039999999920838,895327.199999999953434,10192340.409999998286366
20150804,925269.459999999962747,903289.500000000000000,934101.479999999864958,915105.149999999906868,938465.440000000060536,938431.499999999883585,952990.739999999990687,941957.420000000158325,931914.560000000055879,925752.239999999990687,885119.789999999920838,10192407.279999999329448
