訓練日期,20150522 - 20150824
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9149587.390000000596046
真實報酬,-850412.609999999403954

夏普值報酬,-0.093741261000000
夏普值風險,0.018541049106259
夏普值,-5.055876852640179

預期報酬,253.952231249655966
風險,185613.625958886899753
趨勢值,0.001368176662342
找到最佳解世代,89
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
BA[2](16),DD[7](28),GS[8](10),HD[9](2),KO[14](11),NKE[19](1),PFE[20](6),PG[21](19),TRV[22](9),UNH[23](8),V[25](3),WBA[27](4),WMT[28](22),
Stock#,BA[2](16),DD[7](28),GS[8](10),HD[9](2),KO[14](11),NKE[19](1),PFE[20](6),PG[21](19),TRV[22](9),UNH[23](8),V[25](3),WBA[27](4),WMT[28](22),
張數,5220,10512,3753,6867,18657,14736,22387,9566,7461,6385,11088,8827,10106,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,63.000000000000000,66.959999999962747,52.650000000023283,57.329999999958090,1.890000000013970,10.799999999930151,12.680000000051223,27.940000000060536,75.510000000009313,92.900000000023283,55.439999999944121,45.219999999972060,62.339999999967404,
20150522,755971.200000000069849,767863.440000000060536,779926.050000000046566,770260.049999999930151,768856.859999999986030,769524.719999999855645,767439.040000000037253,764829.640000000130385,766544.040000000037253,763675.050000000046566,772002.000000000000000,763139.369999999995343,766703.500000000000000,9976744.959999999031425
20150526,745479.000000000116415,757877.040000000037253,774596.790000000037253,761813.640000000013970,764752.320000000065193,762009.359999999986030,763633.250000000000000,757081.180000000051223,758113.109999999986030,755055.300000000046566,760026.959999999962747,755195.069999999948777,757001.739999999990687,9872644.759999999776483
20150527,746523.000000000000000,766496.879999999888241,784654.830000000074506,770260.049999999930151,767177.729999999981374,757735.919999999925494,767886.780000000027940,759472.680000000051223,763634.250000000000000,762781.150000000023283,770560.559999999939464,760756.080000000074506,759932.479999999981374,9937882.390000000596046
20150528,743025.600000000093132,772068.239999999990687,782478.089999999967404,770466.059999999939464,767550.869999999995343,753757.199999999953434,771020.959999999962747,758898.720000000088476,762216.660000000032596,763866.600000000093132,771336.719999999972060,759608.569999999948777,756395.380000000004657,9932699.670000001788139
20150529,733577.400000000023283,779531.760000000009313,773883.719999999972060,765178.469999999972060,764192.609999999986030,749189.040000000037253,777960.930000000051223,749906.680000000051223,754531.830000000074506,767633.750000000000000,761579.280000000027940,757754.900000000023283,750634.959999999962747,9885565.329999998211861
20150601,737388.000000000000000,782370.000000000000000,779963.580000000074506,766895.219999999972060,763819.469999999972060,749778.479999999981374,773707.400000000139698,754307.040000000037253,753711.119999999995343,765399.000000000000000,766347.119999999995343,758990.680000000051223,755283.719999999972060,9907970.830000000074506
