訓練日期,20110614 - 20110914
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10564938.019999999552965
真實報酬,564938.019999999552965

夏普值報酬,0.047793802000000
夏普值風險,0.031457431146486
夏普值,1.519316748320644

預期報酬,9178.510454705608936
風險,398190.731345193111338
趨勢值,0.023050537674994
找到最佳解世代,27
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](2),CSCO[4](7),HD[9](13),INTC[11](16),KO[14](3),MCD[15](1),MRK[17](19),MSFT[18](5),NKE[19](6),
Stock#,AAPL[0](2),CSCO[4](7),HD[9](13),INTC[11](16),KO[14](3),MCD[15](1),MRK[17](19),MSFT[18](5),NKE[19](6),
張數,23812,73778,33157,51945,34125,13763,31449,46219,55196,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,43.080000000074506,14.320000000065193,19.930000000167638,7.449999999953434,1.000000000000000,24.010000000009313,17.830000000074506,6.239999999990687,15.520000000018626,
20110614,1130874.960000000195578,1112586.560000000055879,1152225.680000000167638,1133447.349999999860302,1119642.250000000000000,1121295.619999999878928,1120860.190000000176951,1119430.419999999925494,1134845.280000000027940,10145209.310000000521541
20110615,1111587.239999999990687,1094879.840000000083819,1123379.090000000316650,1112669.350000000093132,1108722.250000000000000,1118130.129999999888241,1106079.160000000149012,1097245.299999999813735,1109455.120000000111759,9982148.480000000447035
20110616,1106110.480000000214204,1110373.220000000204891,1143936.430000000167638,1112669.350000000093132,1117253.500000000000000,1125975.040000000037253,1106393.650000000139698,1109262.239999999990687,1107799.239999999990687,10039774.150000000372529
20110617,1089442.080000000074506,1104470.980000000214204,1144931.140000000130385,1100722.000000000000000,1119642.250000000000000,1135746.770000000018626,1112997.940000000176951,1121279.180000000167638,1119390.400000000139698,10048623.740000002086163
20110620,1072773.679999999934807,1117013.240000000223517,1152888.820000000298023,1107994.299999999813735,1123396.000000000000000,1138086.479999999981374,1125577.540000000037253,1130985.169999999925494,1148644.280000000027940,10117360.509999999776483
20110621,1106586.719999999972060,1144311.100000000093132,1174772.440000000176951,1124616.699999999953434,1130562.250000000000000,1139600.409999999916181,1125263.050000000046566,1144388.680000000167638,1166307.000000000000000,10256409.350000001490116
20110622,1097538.160000000149012,1133244.399999999906868,1158193.940000000176951,1111630.449999999953434,1132951.000000000000000,1137535.960000000195578,1115513.860000000102445,1139304.589999999850988,1130981.559999999823049,10156894.919999999925494
20110623,1126826.920000000158325,1141359.980000000214204,1182066.980000000214204,1127733.399999999906868,1108722.250000000000000,1132581.280000000027940,1099789.360000000102445,1138380.209999999962747,1134293.320000000065193,10191754.700000002980232
20110624,1110158.520000000018626,1101519.860000000102445,1163167.490000000223517,1101241.449999999953434,1108039.750000000000000,1126387.930000000167638,1086580.780000000027940,1123127.939999999944121,1120494.320000000065193,10040719.040000000968575
20110627,1129446.239999999990687,1110373.220000000204891,1167146.330000000307336,1108513.750000000000000,1112476.000000000000000,1132994.169999999925494,1085951.800000000046566,1164725.040000000037253,1126565.880000000121072,10138193.430000001564622
20110628,1140399.760000000009313,1116275.460000000195578,1195661.350000000325963,1116305.499999999767169,1126808.500000000000000,1160933.059999999823049,1097902.419999999925494,1192456.439999999944121,1240821.600000000093132,10387565.089999999850988
20110629,1136351.719999999972060,1131768.840000000083819,1193008.790000000037253,1111111.000000000000000,1138069.750000000000000,1163960.919999999925494,1103877.730000000214204,1184137.020000000018626,1239165.719999999972060,10401452.490000000223517
20110630,1141828.480000000214204,1151688.899999999906868,1200966.470000000204891,1151108.649999999906868,1148307.250000000000000,1160520.169999999925494,1109853.040000000037253,1201700.239999999990687,1241925.520000000018626,10507899.719999998807907
20110701,1167783.560000000055879,1170133.399999999906868,1217876.540000000037253,1170328.300000000046566,1161957.250000000000000,1178824.960000000195578,1119602.230000000214204,1202624.619999999878928,1267315.680000000167638,10656447.539999999105930
20110705,1188738.120000000111759,1156115.580000000074506,1213234.560000000288710,1165653.250000000000000,1165369.750000000000000,1178687.330000000074506,1116142.840000000083819,1203086.810000000055879,1266211.760000000009313,10653241.000000000000000
20110706,1196596.080000000074506,1148000.000000000000000,1212571.420000000158325,1181756.199999999953434,1169464.750000000000000,1181715.189999999944121,1117400.800000000046566,1216952.510000000009313,1274491.159999999916181,10698949.110000001266599
20110707,1215169.440000000176951,1173084.520000000018626,1228486.780000000027940,1206689.800000000046566,1173218.500000000000000,1184467.790000000037253,1123690.599999999860302,1237288.869999999878928,1292705.840000000083819,10834803.139999998733401
20110708,1223741.760000000009313,1161280.040000000037253,1214229.270000000018626,1199417.500000000000000,1171853.500000000000000,1178136.809999999823049,1135955.709999999962747,1244221.719999999972060,1286634.280000000027940,10815471.589999999850988
20110711,1204215.920000000158325,1138408.860000000102445,1205608.450000000186265,1186950.699999999953434,1161957.250000000000000,1174696.059999999823049,1122118.150000000139698,1230818.209999999962747,1261796.080000000074506,10686570.680000001564622
20110712,1203501.560000000055879,1150951.120000000111759,1197319.200000000186265,1166172.699999999953434,1157521.000000000000000,1169741.379999999888241,1120545.700000000186265,1226658.500000000000000,1259036.280000000027940,10651448.439999999478459
20110713,1218026.880000000121072,1148737.780000000027940,1197982.340000000316650,1167731.050000000046566,1161274.750000000000000,1169328.489999999990687,1133125.300000000046566,1230818.209999999962747,1270075.480000000214204,10697101.280000001192093
20110714,1217074.400000000139698,1138408.860000000102445,1192345.650000000139698,1156822.599999999860302,1154791.000000000000000,1181027.040000000037253,1141931.020000000251457,1223423.169999999925494,1268971.559999999823049,10674796.300000000745058
20110715,1241362.640000000130385,1150213.340000000083819,1190687.800000000046566,1162017.100000000093132,1152402.250000000000000,1176485.250000000000000,1129980.400000000139698,1237751.060000000055879,1265659.800000000046566,10706560.640000002458692
20110718,1271603.880000000121072,1139146.640000000130385,1183393.260000000009313,1157342.050000000046566,1145236.000000000000000,1175384.210000000195578,1116142.840000000083819,1228969.449999999953434,1250756.880000000121072,10667976.210000000894070
20110719,1282081.160000000149012,1155377.800000000046566,1197319.200000000186265,1197859.149999999906868,1182773.500000000000000,1186532.239999999990687,1125577.540000000037253,1272877.500000000000000,1252412.760000000009313,10852811.849999999627471
20110720,1316132.320000000065193,1167182.280000000027940,1207266.300000000046566,1194222.999999999767169,1175266.000000000000000,1187358.020000000018626,1119287.740000000223517,1250692.379999999888241,1250204.919999999925494,10867613.959999999031425
20110721,1317561.040000000037253,1206284.620000000111759,1217544.970000000204891,1184872.899999999906868,1183114.750000000000000,1191074.030000000027940,1137842.650000000139698,1252541.140000000130385,1267315.680000000167638,10958152.780000001192093
20110722,1338039.360000000102445,1214400.200000000186265,1210913.570000000298023,1201495.299999999813735,1189939.750000000000000,1218875.290000000037253,1135012.240000000223517,1272415.310000000055879,1265659.800000000046566,11046751.820000002160668
20110725,1355660.239999999990687,1201120.160000000149012,1215223.980000000214204,1196300.800000000046566,1181749.750000000000000,1212819.570000000065193,1128722.440000000176951,1289978.530000000027940,1254620.600000000093132,11036197.070000000298023
20110726,1372328.640000000130385,1201857.939999999944121,1206603.160000000149012,1189547.949999999953434,1180726.000000000000000,1211443.270000000018626,1125577.540000000037253,1297835.760000000009313,1246341.199999999953434,11032262.459999999031425
20110727,1335420.040000000037253,1157591.140000000130385,1181403.840000000316650,1170328.300000000046566,1172194.750000000000000,1198643.680000000167638,1106708.139999999897555,1263171.510000000009313,1224262.800000000046566,10809725.200000001117587
20110728,1332800.719999999972060,1181200.100000000093132,1165488.480000000214204,1171367.199999999953434,1174242.250000000000000,1194377.150000000139698,1098531.400000000139698,1281196.919999999925494,1248549.040000000037253,10847754.260000001639128
20110729,1328276.440000000176951,1178248.980000000214204,1158193.940000000176951,1159939.299999999813735,1160592.250000000000000,1190248.250000000000000,1073372.200000000186265,1266406.839999999850988,1244133.359999999869615,10759412.559999998658895
20110801,1349707.239999999990687,1167920.060000000055879,1135647.180000000167638,1155264.249999999767169,1155814.750000000000000,1189009.580000000074506,1051672.389999999897555,1260398.369999999878928,1233094.159999999916181,10698528.979999998584390
20110802,1323037.800000000046566,1140622.200000000186265,1088232.670000000158325,1128252.849999999860302,1144212.250000000000000,1170704.790000000037253,1034689.930000000051223,1238675.439999999944121,1174586.400000000139698,10443015.330000000074506
20110803,1335420.040000000037253,1142835.540000000037253,1092543.080000000307336,1132927.899999999906868,1167076.000000000000000,1177311.030000000027940,1028400.130000000121072,1244221.719999999972060,1201632.439999999944121,10522368.880000000819564
20110804,1283748.000000000000000,1093404.280000000027940,1051096.830000000074506,1083060.699999999953434,1123054.750000000000000,1159969.650000000139698,990975.820000000181608,1198927.100000000093132,1125461.959999999962747,10109700.089999999850988
20110805,1270889.520000000018626,1102257.640000000130385,1019266.110000000102445,1079944.000000000000000,1139434.750000000000000,1170980.050000000046566,997265.620000000111759,1186910.159999999916181,1157475.639999999897555,10124424.490000000223517
20110808,1201596.600000000093132,1028479.640000000013970,959251.940000000176951,1044621.399999999906868,1111111.000000000000000,1130103.939999999944121,941600.890000000130385,1131447.360000000102445,1092896.320000000065193,9641110.089999999850988
20110809,1272318.239999999990687,1037333.000000000116415,999703.480000000097789,1070074.449999999953434,1137728.500000000000000,1183091.489999999990687,981855.609999999986030,1182288.260000000009313,1138709.000000000000000,10003103.030000001192093
20110810,1237314.600000000093132,1012986.260000000125729,945326.000000000232831,1035271.299999999930151,1091318.500000000000000,1157217.050000000046566,937512.520000000018626,1118506.040000000037253,1094552.199999999953434,9630005.469999998807907
20110811,1271365.760000000009313,1174560.080000000074506,996387.780000000144355,1078385.650000000139698,1134316.000000000000000,1187495.650000000139698,981226.630000000004657,1164262.850000000093132,1148644.280000000027940,10136645.679999999701977
20110812,1282557.400000000139698,1179724.540000000037253,1013960.990000000107102,1072671.699999999953434,1145577.250000000000000,1190523.510000000009313,985629.490000000107102,1160103.140000000130385,1162443.280000000027940,10193192.300000000745058
