訓練日期,20180108 - 20180411
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10030819.960000000894070
真實報酬,30819.960000000894070

夏普值報酬,-0.005618004000000
夏普值風險,0.022029093405989
夏普值,-0.255026564028842

預期報酬,3209.420004163779595
風險,251570.191018075536704
趨勢值,0.012757552837145
找到最佳解世代,24
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](5),CSCO[4](2),GS[8](9),INTC[11](1),KO[14](15),MMM[16](19),MSFT[18](3),NKE[19](4),PFE[20](11),PG[21](27),V[25](8),
Stock#,BA[2](5),CSCO[4](2),GS[8](9),INTC[11](1),KO[14](15),MMM[16](19),MSFT[18](3),NKE[19](4),PFE[20](11),PG[21](27),V[25](8),
張數,2943,22997,3557,20319,19732,3778,10308,14208,24663,9963,7648,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,173.880000000121072,18.589999999967404,205.359999999986030,17.939999999944121,36.760000000009313,216.540000000037253,27.479999999981374,62.160000000032596,11.820000000065193,65.880000000004657,48.719999999972060,
20180108,912945.330000000074506,918518.769999999902211,895893.530000000027940,909090.000000000000000,907708.760000000009313,906143.160000000032596,910017.719999999972060,917188.559999999939464,898978.170000000158325,913872.239999999990687,912761.040000000037253,10003127.279999997466803
20180109,937313.370000000111759,912769.519999999902211,903469.939999999944121,886332.719999999855645,912247.119999999995343,911772.380000000004657,909399.239999999990687,910652.880000000121072,897991.650000000023283,907197.030000000027940,911002.000000000000000,10000157.849999999627471
20180110,942699.060000000055879,917828.859999999869615,904857.170000000041910,863575.439999999944121,909090.000000000000000,911243.459999999962747,905276.039999999920838,912499.920000000041910,899471.430000000051223,901418.489999999990687,910007.760000000009313,9977977.629999998956919
20180111,965831.040000000153668,922198.290000000037253,907702.770000000018626,882065.729999999864958,908498.040000000037253,915663.720000000088476,907956.119999999995343,913494.480000000097789,901691.100000000093132,898230.330000000074506,916585.040000000037253,10039926.660000000149012
20180112,989639.910000000032596,939905.979999999864958,914461.069999999832362,878611.500000000000000,910668.559999999939464,923824.200000000069849,923624.279999999911524,918893.520000000018626,901197.840000000083819,892850.310000000055879,918497.040000000037253,10112184.210000000894070
20180116,986549.760000000242144,932316.969999999972060,919547.579999999958090,876579.599999999976717,918166.720000000088476,924844.260000000125729,910739.279999999911524,901133.520000000018626,902677.620000000111759,898927.739999999990687,920791.439999999944121,10092284.489999998360872
