訓練日期,20190607 - 20190909
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10552027.089999997988343
真實報酬,552027.089999997988343

夏普值報酬,0.046502709000000
夏普值風險,0.014158944650700
夏普值,3.284334401130826

預期報酬,8715.453305396902579
風險,191632.042268139659427
趨勢值,0.045480146233592
找到最佳解世代,89
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](3),AXP[1](13),BA[2](21),INTC[11](11),MCD[15](2),MRK[17](9),PG[21](1),UNH[23](20),UTX[24](25),VZ[26](24),
Stock#,AAPL[0](3),AXP[1](13),BA[2](21),INTC[11](11),MCD[15](2),MRK[17](9),PG[21](1),UNH[23](20),UTX[24](25),VZ[26](24),
張數,5398,8373,2851,22172,4924,12278,9312,4135,7594,17379,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,182.440000000060536,12.609999999986030,325.359999999986030,42.799999999930151,181.799999999930151,79.680000000051223,77.440000000060536,74.300000000046566,98.020000000135042,12.339999999967404,
20190607,1026612.140000000130385,1014066.640000000013970,1008724.059999999939464,1020619.959999999962747,1011965.319999999832362,1012523.559999999939464,1012943.680000000051223,1020468.250000000116415,1003645.120000000228174,994786.300000000046566,10126355.030000001192093
20190610,1039729.280000000144355,1027044.789999999920838,1009009.160000000032596,1037692.399999999906868,991383.000000000000000,1012769.120000000111759,1012478.080000000074506,1026133.199999999953434,972205.960000000079162,975843.189999999944121,10104288.179999999701977
20190611,1051766.820000000298023,1031817.400000000023283,996265.189999999944121,1038801.000000000000000,1001034.039999999920838,1018908.120000000111759,1018624.000000000000000,1016746.750000000116415,933704.380000000121072,987660.909999999916181,10095328.610000001266599
20190612,1048420.060000000055879,1021769.800000000046566,989707.889999999897555,1027049.839999999967404,1009257.119999999995343,1027871.059999999939464,1021417.600000000093132,1011081.800000000046566,942285.600000000093132,996871.779999999911524,10095732.549999998882413
20190613,1048204.140000000130385,1020346.390000000013970,994925.219999999972060,1035475.199999999953434,1007090.559999999939464,1017925.880000000121072,1032871.359999999986030,1012983.900000000023283,947905.160000000149012,1001390.319999999948777,10119118.130000000819564
20190614,1040592.960000000079162,1021518.609999999986030,990078.520000000018626,1024167.479999999864958,1011029.759999999892898,1016452.520000000018626,1035571.840000000083819,1014679.250000000116415,951626.220000000088476,1012860.459999999962747,10118577.620000001043081
20190617,1046800.660000000032596,1016913.459999999962747,1012145.259999999892898,1022837.160000000032596,1003742.239999999990687,1022837.080000000074506,1033616.320000000065193,1017160.250000000000000,943500.640000000130385,1001564.109999999986030,10121117.179999999701977
20190618,1071415.540000000037253,1033492.000000000000000,1066485.319999999832362,1050330.439999999944121,1007189.039999999920838,1037447.900000000023283,1020672.640000000013970,1016043.800000000046566,961650.300000000162981,996350.409999999916181,10261077.390000000596046
20190619,1068284.700000000186265,1043958.250000000000000,1051089.919999999925494,1043678.839999999967404,1007386.000000000000000,1048129.760000000009313,1028308.480000000097789,1034609.950000000069849,962713.460000000195578,1001564.109999999986030,10289723.470000000670552
20190620,1076867.520000000018626,1045967.770000000018626,1069108.239999999757856,1046339.479999999864958,1010192.679999999934807,1038798.479999999981374,1040600.320000000065193,1024561.900000000023283,987545.840000000200234,996524.200000000069849,10336506.429999999701977
20190621,1073196.879999999888241,1044376.900000000023283,1060441.199999999720603,1052325.919999999925494,1005958.039999999920838,1038430.140000000013970,1035571.840000000083819,1043252.100000000093132,977825.520000000135042,1003997.170000000041910,10335375.709999999031425
20190624,1072117.280000000260770,1039436.829999999958090,1066570.850000000093132,1056095.160000000149012,1004283.879999999888241,1049971.459999999962747,1046094.400000000023283,1032335.699999999953434,988684.940000000176951,1012686.670000000041910,10368277.170000001788139
20190625,1055869.299999999813735,1031231.289999999920838,1053256.680000000167638,1038801.000000000000000,1013097.839999999967404,1046656.400000000023283,1040414.080000000074506,1024148.400000000023283,979875.900000000256114,1007994.339999999967404,10291345.230000000447035
