訓練日期,20190531 - 20190830
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10966117.489999998360872
真實報酬,966117.489999998360872

夏普值報酬,0.087911749000000
夏普值風險,0.024592504679999
夏普值,3.574737512259168

預期報酬,18487.283324507545331
風險,255927.365678769245278
趨勢值,0.072236445975504
找到最佳解世代,78
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,7
DIS[6](14),GS[8](10),MCD[15](1),MRK[17](8),PG[21](2),V[25](5),WMT[28](9),
Stock#,DIS[6](14),GS[8](10),MCD[15](1),MRK[17](8),PG[21](2),V[25](5),WMT[28](9),
張數,10806,7624,7170,17928,13562,8777,13979,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,17.800000000046566,62.119999999878928,20.199999999953434,67.959999999962747,85.540000000037253,26.479999999981374,56.989999999990687,
20190531,1426842.040000000037253,1391365.879999999888241,1421616.100000000093132,1420144.839999999850988,1395750.959999999962747,1416019.890000000130385,1418086.750000000000000,9889829.459999999031425
20190603,1431488.620000000111759,1396702.679999999934807,1425272.800000000046566,1438969.239999999990687,1407821.139999999897555,1392058.679999999934807,1425355.829999999841675,9917671.990000000223517
20190604,1456882.719999999972060,1447707.239999999757856,1431367.299999999813735,1453670.199999999953434,1419755.700000000186265,1424796.890000000130385,1433743.229999999981374,10067926.280000001192093
20190605,1468985.439999999944121,1436728.679999999934807,1434952.299999999813735,1464606.280000000027940,1447557.800000000046566,1451654.509999999776483,1459744.169999999925494,10164232.179999999701977
20190606,1482709.060000000055879,1447173.559999999823049,1455888.699999999953434,1460124.280000000027940,1456373.099999999860302,1465083.319999999832362,1469389.679999999934807,10236744.699999999254942
20190607,1491678.040000000037253,1447173.559999999823049,1473311.799999999813735,1478410.839999999850988,1475224.280000000027940,1492555.330000000074506,1482669.729999999981374,10341026.580000000074506
20190610,1481196.219999999972060,1480033.000000000000000,1443341.199999999953434,1478769.400000000139698,1474546.179999999934807,1499313.619999999878928,1503079.069999999832362,10360281.689999999478459
20190611,1459692.280000000260770,1484683.639999999897555,1457394.399999999906868,1487733.400000000139698,1483497.099999999860302,1494837.350000000093132,1508950.250000000000000,10376791.419999999925494
20190612,1466608.120000000111759,1450299.399999999906868,1469368.300000000046566,1500820.839999999850988,1487565.700000000186265,1506071.909999999916181,1521251.769999999785796,10401989.039999999105930
20190613,1531660.240000000223517,1459676.919999999692664,1466213.500000000000000,1486299.160000000149012,1504246.959999999962747,1486411.429999999934807,1518875.340000000083819,10453386.550000000745058
20190614,1530687.700000000186265,1461277.959999999962747,1471949.500000000000000,1484147.800000000046566,1508179.940000000176951,1489132.300000000046566,1524746.519999999785796,10470124.720000000670552
20190617,1523339.620000000111759,1454950.040000000037253,1461337.899999999906868,1493470.359999999869615,1505331.919999999925494,1488254.600000000093132,1526004.629999999888241,10452692.070000000298023
20190618,1504645.240000000223517,1486589.639999999897555,1466356.899999999906868,1514804.679999999934807,1486480.739999999990687,1485797.040000000037253,1532854.340000000083819,10477531.579999998211861
20190619,1522799.319999999832362,1491621.479999999748543,1466643.699999999953434,1530402.040000000037253,1497601.580000000074506,1498172.609999999869615,1532434.969999999972060,10539678.700000001117587
20190620,1534685.920000000158325,1492078.919999999692664,1470730.600000000093132,1516776.759999999776483,1515503.419999999925494,1524942.459999999962747,1542220.269999999785796,10596941.349999997764826
20190621,1515343.179999999934807,1493908.679999999934807,1464564.399999999906868,1516238.919999999925494,1508179.940000000176951,1522309.359999999869615,1553543.260000000009313,10574090.740000000223517
20190624,1504429.120000000111759,1505725.879999999888241,1462126.599999999860302,1533091.239999999990687,1523505.000000000000000,1525907.929999999934807,1555080.949999999953434,10609869.719999998807907
