訓練日期,20120821 - 20121123
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10481855.350000001490116
真實報酬,481855.350000001490116

夏普值報酬,0.039485535000000
夏普值風險,0.021907850023246
夏普值,1.802346417293466

預期報酬,8222.250330646451403
風險,202432.291792909323703
趨勢值,0.040617286193933
找到最佳解世代,58
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
BA[2](23),GS[8](3),HD[9](2),JPM[13](4),KO[14](24),PG[21](7),TRV[22](5),UNH[23](10),V[25](1),VZ[26](13),WBA[27](25),XOM[29](11),
Stock#,BA[2](23),GS[8](3),HD[9](2),JPM[13](4),KO[14](24),PG[21](7),TRV[22](5),UNH[23](10),V[25](1),VZ[26](13),WBA[27](25),XOM[29](11),
張數,11287,7915,14731,22299,21113,12484,12695,15664,26009,19069,23128,9475,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,13.790000000037253,41.800000000046566,0.329999999958090,19.370000000111759,2.890000000013970,26.000000000000000,33.199999999953434,8.199999999953434,4.640000000013970,17.699999999953434,31.159999999916181,6.750000000000000,
20120821,827012.280000000027940,833649.599999999976717,829650.250000000000000,848273.330000000074506,828899.270000000018626,833582.679999999934807,828128.050000000046566,836779.079999999958090,829171.559999999939464,817887.109999999986030,824544.359999999869615,828690.249999999883585,9966271.820000000298023
20120822,821707.390000000013970,828504.850000000093132,834364.169999999925494,843590.540000000037253,818553.900000000023283,834581.399999999906868,830920.949999999953434,845394.279999999911524,833072.910000000032596,812738.479999999864958,822231.559999999823049,831248.500000000000000,9956912.929999999701977
20120823,794167.109999999986030,823835.000000000000000,833038.379999999888241,830211.140000000013970,804619.319999999948777,832459.120000000111759,822669.199999999953434,844611.079999999958090,826830.750000000000000,805682.949999999953434,824775.639999999781139,827269.000000000000000,9870172.690000001341105
20120824,802406.620000000111759,830800.199999999953434,839078.089999999967404,828873.200000000186265,812220.000000000000000,836703.679999999934807,830286.200000000069849,848370.439999999944121,823709.670000000041910,823226.429999999934807,824544.359999999869615,834280.500000000000000,9934503.389999998733401
20120827,805679.849999999976717,832066.600000000093132,834806.099999999976717,830211.140000000013970,805886.100000000093132,837827.239999999990687,827493.300000000046566,855419.239999999990687,830211.920000000041910,815408.139999999897555,823387.959999999962747,831343.250000000000000,9929744.839999999850988
20120828,807260.030000000027940,831354.250000000000000,832743.760000000009313,827981.240000000223517,802296.890000000013970,836329.159999999916181,823177.000000000000000,851033.319999999948777,828391.290000000037253,813691.929999999934807,818762.359999999869615,834754.250000000000000,9907779.480000000447035
20120829,806357.070000000065193,835311.750000000000000,837310.369999999995343,831772.070000000065193,790895.869999999995343,834831.080000000074506,822669.199999999953434,855889.159999999916181,832552.729999999981374,821700.910000000032596,816449.559999999823049,832859.250000000000000,9918603.020000001415610
20120830,799359.130000000004657,828900.600000000093132,834069.549999999930151,822852.470000000088476,784139.710000000079162,834955.919999999925494,818733.749999999883585,856672.359999999869615,823969.760000000009313,815598.829999999958090,814368.039999999920838,826226.750000000000000,9859850.869999999180436
20120831,805905.590000000083819,836815.600000000093132,835984.579999999958090,828204.230000000097789,789629.089999999967404,838825.959999999962747,821907.499999999883585,850563.399999999906868,833853.180000000051223,818840.559999999939464,827088.439999999827705,827174.250000000000000,9914796.379999998956919
